N	3gram	Medvedev_S_1	Vladivir
1	в том что	2	10
2	в конце концов	2	5
3	и в этом	1	5
4	в настоящее время	1	3
5	то что в	1	3
6	во всяком случае	1	3
7	с одной стороны	1	3
8	в то же	1	3
9	на первый план	1	2
10	и в то	1	2
11	а с другой	1	2
12	в связи с	1	2
13	то же время	1	2
14	не может не	1	1
15	как то что	1	1
16	ровно ничего не	1	1
17	том что это	1	1
18	а вот в	1	1
19	в том и	1	1
20	о том как	1	1
21	сама по себе	1	1
22	только то что	1	1
23	и заключается что	2	1
24	это вовсе не	1	1
25	на точке зрения	1	1
26	благодаря тому что	1	1
27	что это вовсе	1	1
28	в этой области	1	1
29	трудно представить себе	1	1
30	и никак не	1	1
31	в противном случае	1	1
32	том и заключается	1	1
33	в его системе	1	1
34	сказать и о	1	1
35	это и есть	1	1
36	выходит за пределы	1	1
37	не выходит за	1	1
38	бы он ни	1	1
39	прежде всего не	1	1
40	то же самое	1	1
