N	3gram	Losev_Vesc_1	DiskursI
1	в данном случае	2	6
2	в том что	4	6
3	в этом отношении	1	4
4	в то же	1	4
5	с одной стороны	3	4
6	не может быть	6	3
7	о том что	4	3
8	и того же	1	2
9	одной стороны и	1	2
10	подобно тому как	4	2
11	с точки зрения	3	2
12	в основе своей	2	2
13	одно и то	4	2
14	и то что	3	2
15	содержит в себе	4	2
16	и то же	4	2
17	и как бы	1	2
18	по природе своей	1	2
19	дело в том	2	2
20	в свое время	2	2
21	одного и того	1	2
22	но тут же	1	1
23	по своей природе	1	1
24	ни о чем	1	1
25	в той или	2	1
26	мы имеем дело	2	1
27	в самом деле	4	1
28	с другой стороны	2	1
29	можно говорить о	2	1
30	бы то ни	4	1
31	имеем дело не	2	1
32	только то что	2	1
33	но и здесь	1	1
34	предполагает со стороны	1	1
35	уже было сказано	1	1
36	и в частности	1	1
37	в применении к	1	1
38	дело не с	2	1
39	то ни было	4	1
40	как будто бы	1	1
41	во втором случае	1	1
42	о чем не	1	1
43	и может не	1	1
44	не в том	1	1
45	во всяком случае	2	1
46	принципиально не может	1	1
47	тут все дело	1	1
48	равно как и	2	1
49	можно сказать что	3	1
50	и есть не	2	1
51	во всем что	1	1
52	тем не менее	3	1
53	все то что	1	1
54	здесь как и	1	1
55	по крайней мере	4	1
56	в себе не	1	1
