N	2gram	Nazirov_Tr_1	Literetu
1	не только	8	24
2	при этом	3	19
3	но и	4	17
4	в том	2	16
5	а не	1	16
6	в частности	2	15
7	том что	4	14
8	в году	9	13
9	тогда как	1	13
10	может быть	7	13
11	и не	7	12
12	в этом	9	12
13	в своем	3	11
14	своего рода	3	11
15	прежде всего	4	11
16	то что	4	10
17	в целом	4	8
18	не в	2	8
19	и в	18	8
20	только в	1	8
21	как это	3	8
22	я и	1	7
23	я не	4	7
24	отказ от	1	7
25	как бы	7	7
26	в себе	4	7
27	не менее	1	7
28	в его	3	7
29	уже не	2	7
30	и я	2	6
31	то есть	3	6
32	как и	5	6
33	и сам	3	6
34	того что	1	6
35	связи с	1	6
36	xix века	1	6
37	одним из	1	5
38	то же	5	5
39	отличие от	2	5
40	как в	3	5
41	не столько	1	5
42	в отличие	2	5
43	в то	5	5
44	а также	1	5
45	же время	6	5
46	что он	6	5
47	уже в	3	5
48	не может	5	5
49	в данном	2	5
50	с этой	1	5
51	я в	1	5
52	с его	2	5
53	тем самым	3	5
54	в своей	1	4
55	еще не	4	4
56	столь же	2	4
57	но не	1	4
58	в этой	4	4
59	все же	5	4
60	представляет собой	1	4
61	перестает быть	1	4
62	не как	1	4
63	с собой	1	4
64	лишь в	1	4
65	и его	6	4
66	ведет к	1	4
67	данном случае	2	4
68	никогда не	2	4
69	так и	5	4
70	еще в	2	4
71	в конце	3	4
72	друг друга	2	4
73	о себе	1	4
74	в связи	1	4
75	это не	5	4
76	например в	1	3
77	в сфере	1	3
78	и есть	1	3
79	исходит из	1	3
80	века в	1	3
81	более чем	1	3
82	такие как	1	3
83	в самом	2	3
84	бы не	1	3
85	таким образом	1	3
86	той же	1	3
87	его в	2	3
88	в душе	2	3
89	он и	2	3
90	несмотря на	5	3
91	не мог	2	3
92	но в	6	3
93	что ему	1	3
94	одна из	2	3
95	в области	1	3
96	к себе	1	3
97	в виду	1	3
98	нуждается в	1	3
99	не сводится	1	3
100	по своей	1	3
101	один из	3	3
102	потому что	2	3
103	одно из	1	3
104	у него	6	3
105	и даже	4	3
106	и др	1	3
107	не было	1	3
108	что в	4	3
109	во всяком	1	3
110	чтобы не	1	2
111	человека и	1	2
112	и то	2	2
113	самом деле	1	2
114	к своей	1	2
115	от самого	1	2
116	должна быть	1	2
117	на себя	1	2
118	х годов	1	2
119	могло быть	1	2
120	отнюдь не	3	2
121	все эти	3	2
