N	2gram	Tiupa_Anal_2	VelikijI
1	и не	12	20
2	и в	16	16
3	так как	1	9
4	то что	7	9
5	еще не	2	8
6	а не	10	7
7	и потому	1	7
8	не есть	2	6
9	на себя	5	5
10	но и	12	5
11	того что	2	5
12	хотя и	4	5
13	в мире	6	5
14	все это	4	5
15	как бы	10	5
16	ты не	2	5
17	в образе	1	4
18	говорить о	6	4
19	в его	2	4
20	к личности	1	4
21	и я	2	4
22	в этом	18	4
23	потому что	1	4
24	в нем	1	4
25	так и	15	4
26	что все	2	4
27	как и	14	4
28	в котором	2	4
29	и все	3	4
30	это еще	1	4
31	все что	2	4
32	этого мира	1	3
33	и что	1	3
34	нас и	1	3
35	хотя бы	1	3
36	лишь в	9	3
37	в чем	1	3
38	с его	1	3
39	во всех	4	3
40	личность человеческая	1	3
41	что и	3	3
42	и будет	1	3
43	в том	12	3
44	тот же	1	3
45	но в	6	3
46	бы и	1	3
47	все эти	1	3
48	за ним	1	3
49	от которого	2	3
50	в конце	4	3
51	в своей	2	3
52	в жизни	1	3
53	ни в	1	3
54	в них	1	3
55	если не	1	3
56	в этих	2	3
57	что я	1	3
58	не в	4	3
59	тому что	1	3
60	но это	1	3
61	не имеет	2	3
62	никогда не	3	3
63	к счастью	1	3
64	личности и	2	3
65	превращается в	2	3
66	и для	2	3
67	что ты	1	3
68	к тому	7	3
69	что в	2	3
70	а между	1	2
71	и то	3	2
72	но мы	1	2
73	превыше всего	1	2
74	и сам	3	2
75	и т	1	2
76	можно было	3	2
77	и за	3	2
78	его не	1	2
79	и свободы	2	2
80	с ним	2	2
81	мы это	1	2
82	своей истории	1	2
83	и во	2	2
84	так для	1	2
85	между тем	2	2
86	вслед за	2	2
87	не с	4	2
88	его к	1	2
89	только в	4	2
90	в себя	4	2
91	уже не	4	2
92	не только	16	2
93	на этих	1	2
94	вера в	1	2
95	его и	1	2
96	не так	4	2
97	для него	4	2
98	не к	1	2
99	людей не	1	2
100	тем что	3	2
101	это не	1	2
102	прежде всего	3	2
103	все равно	1	2
104	один из	2	2
105	для человека	1	2
106	от свободы	1	2
107	и тогда	1	2
108	мира в	1	2
109	зачем же	1	2
110	значения и	1	2
111	самого себя	1	2
112	да и	1	2
113	о свободе	2	2
114	одна из	1	2
115	том что	12	2
116	тот кто	2	2
117	для нас	1	2
118	от него	1	2
119	ее в	1	2
120	а в	3	2
121	но не	4	2
122	могут быть	10	2
123	всего в	2	2
124	и своих	1	1
125	речь идет	2	1
126	как мы	3	1
127	в виду	1	1
128	для себя	1	1
129	в ее	1	1
130	в словах	3	1
131	и до	2	1
132	роль в	2	1
133	значение в	1	1
134	если они	1	1
135	то же	4	1
136	их и	1	1
137	нам уже	1	1
138	в результате	3	1
139	это только	2	1
140	я не	1	1
141	и ее	1	1
142	по смыслу	1	1
143	не был	3	1
144	о судьбе	1	1
145	в их	3	1
146	и на	6	1
147	он был	2	1
148	в последних	1	1
149	оно ни	1	1
150	это имеет	1	1
151	личности есть	1	1
152	к нему	1	1
153	власти одного	1	1
154	от них	1	1
155	могут и	1	1
156	тогда как	19	1
157	себе и	1	1
158	бы в	3	1
159	крайней мере	3	1
160	это лишь	1	1
161	и уж	1	1
162	как в	4	1
163	это ни	1	1
164	в своем	4	1
165	я был	1	1
166	в лицах	1	1
167	известном смысле	1	1
168	что очень	1	1
169	в двух	2	1
170	мы видим	1	1
171	с ними	3	1
172	ли он	1	1
173	со своей	1	1
174	в самом	6	1
175	в которой	1	1
176	в целом	8	1
177	в этой	9	1
178	в известном	1	1
179	же и	1	1
180	свободы но	1	1
181	я в	3	1
182	уже в	1	1
183	в которую	1	1
184	то и	1	1
185	и если	3	1
186	по законам	1	1
187	по словам	1	1
188	или даже	2	1
189	с вечностью	1	1
190	в стадо	1	1
191	в понимании	1	1
192	вовсе не	2	1
193	себя от	1	1
194	нашего времени	4	1
195	у него	4	1
196	не случайно	8	1
197	и частей	1	1
198	и по	1	1
199	на этом	4	1
200	бы от	1	1
201	человека в	1	1
202	тут не	1	1
203	бы это	1	1
204	в состоянии	2	1
205	было не	1	1
206	не способного	1	1
207	с другой	6	1
208	хоть и	1	1
209	есть не	1	1
210	в глазах	1	1
211	в следующих	1	1
212	миру и	1	1
213	лишь на	1	1
214	еще и	1	1
215	с небом	1	1
216	и тем	4	1
217	нового времени	1	1
218	говорит о	5	1
219	и возможны	1	1
220	может ли	2	1
221	было для	1	1
222	жизни но	2	1
223	о чем	2	1
224	и своим	1	1
225	таким же	1	1
226	себя за	1	1
227	вместе с	2	1
228	так же	2	1
229	ко всем	1	1
230	как это	6	1
231	то есть	9	1
232	с каким-то	1	1
233	у нас	1	1
234	было написано	4	1
235	что тот	1	1
236	ведет к	1	1
237	в одном	2	1
238	о личности	2	1
239	но я	1	1
240	почему мы	1	1
241	по крайней	3	1
242	с тремя	1	1
243	и смерти	4	1
244	этого слова	3	1
245	с этой	1	1
246	раз и	1	1
247	так ли	1	1
248	к ним	1	1
249	и другое	1	1
250	на котором	2	1
251	тому кто	1	1
252	свободу личности	1	1
253	всех на	1	1
254	ничего не	9	1
255	человек и	1	1
256	в разных	1	1
257	жизни не	1	1
258	может быть	6	1
259	пути и	1	1
260	как она	1	1
261	будто бы	1	1
262	это слово	1	1
263	в мировом	1	1
264	на него	2	1
265	в сознании	4	1
266	уже и	2	1
267	к ее	1	1
268	что на	3	1
269	может и	1	1
270	другой стороны	2	1
271	от природы	1	1
272	есть то	1	1
273	к этому	2	1
274	жизни без	1	1
275	нас а	1	1
276	многих или	1	1
277	это в	1	1
278	в противоположность	2	1
279	но к	1	1
280	отказаться от	1	1
281	себя и	1	1
282	она не	2	1
283	в роли	2	1
