N	2gram	Bakhtin_sl_1	Tvorches
1	и в	41	20
2	в романе	21	15
3	и т	28	13
4	в романах	2	13
5	не только	16	13
6	т д	5	11
7	никогда не	3	11
8	как бы	12	11
9	таким образом	9	10
10	в то	14	10
11	в его	13	10
12	и его	14	9
13	и не	16	9
14	при этом	6	8
15	и с	4	8
16	в том	3	8
17	может быть	14	8
18	в этом	12	8
19	прежде всего	8	8
20	но и	16	8
21	то же	14	7
22	это не	6	7
23	же время	12	7
24	потому что	2	7
25	не может	14	7
26	в целом	2	6
27	как и	4	6
28	в своей	7	6
29	так и	11	6
30	у него	3	6
31	именно в	3	6
32	а не	15	6
33	в бесах	1	6
34	в основном	3	6
35	все это	5	6
36	например в	2	5
37	еще не	4	5
38	и на	14	5
39	но не	2	5
40	все же	7	5
41	в этой	1	5
42	и сам	3	5
43	в творческом	1	5
44	то есть	26	5
45	о том	3	5
46	и даже	6	5
47	но это	1	5
48	так же	2	5
49	мы не	2	4
50	все эти	9	4
51	что они	2	4
52	как в	8	4
53	хотя и	2	4
54	но в	8	4
55	не в	7	4
56	на его	8	4
57	что она	1	4
58	если бы	1	4
59	ничего не	4	4
60	в духе	2	4
61	в известной	2	4
62	мы видим	2	4
63	в душе	1	4
64	а в	6	4
65	и потому	4	4
66	и от	4	4
67	том что	2	4
68	но у	1	4
69	одним из	4	3
70	же как	2	3
71	и через	1	3
72	а с	2	3
73	в одной	1	3
74	в письмах	1	3
75	в себе	3	3
76	в нем	30	3
77	он не	3	3
78	в плане	6	3
79	человека в	1	3
80	а затем	1	3
81	его в	3	3
82	но уже	1	3
83	в самом	5	3
84	в котором	2	3
85	в их	4	3
86	место в	1	3
87	однако этот	2	3
88	в которых	1	3
89	одна из	2	3
90	и это	1	3
91	с ним	7	3
92	до сих	2	3
93	между тем	2	3
94	романа и	5	3
95	уже не	2	3
96	в начале	1	3
97	для него	3	3
98	у нее	1	3
99	так как	3	3
100	как у	1	3
101	и др	14	3
102	что не	1	3
103	xx века	2	3
104	вместе с	1	3
105	с этой	3	3
106	сих пор	2	3
107	нет ничего	1	3
108	один из	4	3
109	не является	2	3
110	одной из	3	3
111	к этому	2	3
112	в таком	1	3
113	как известно	1	2
114	не должны	2	2
115	от этой	2	2
116	и есть	1	2
117	по преимуществу	4	2
118	и он	1	2
119	роман и	5	2
120	в ее	2	2
121	героя романа	1	2
122	нет и	1	2
123	так что	2	2
124	в истории	3	2
125	и наконец	4	2
126	в этот	1	2
127	в которой	4	2
128	бы не	1	2
