N	4gram	Bakhtin_Pr_1	Analitik
1	в то же время	9	6
2	бы то ни было	1	3
3	в том что он	4	2
4	но в то же	5	2
5	а в то же	2	2
6	какой бы то ни	1	2
7	рождается в точке соприкосновения	1	1
8	в точке соприкосновения разных	1	1
9	оно и не может	1	1
10	мы имеем в виду	1	1
11	событийна и рождается в	1	1
12	в большей или меньшей	1	1
13	бы оно ни было	1	1
14	в пределы одного сознания	2	1
15	и рождается в точке	1	1
16	то же время оно	1	1
17	точке соприкосновения разных сознаний	1	1
18	большей или меньшей степени	1	1
