N	3gram	Berdyaev_M_2	Psycholo
1	в том что	2	9
2	не может быть	8	8
3	на то что	1	8
4	о том что	2	7
5	подобно тому как	2	5
6	для того чтобы	4	5
7	так же как	3	4
8	как и в	2	4
9	только тогда когда	1	4
10	и той же	2	3
11	до сих пор	3	3
12	одной и той	2	3
13	в конце концов	1	3
14	что у него	1	3
15	потому что он	2	2
16	с точки зрения	1	2
17	в этом отношении	1	2
18	мы увидим что	2	2
19	от того что	3	2
20	не означает что	1	2
21	смысле этого слова	1	2
22	сама по себе	1	2
23	на самом деле	1	2
24	что и в	4	2
25	не хотел этим	1	1
26	друг к другу	5	1
27	а следовательно и	1	1
28	в прошлое и	1	1
29	мы видим в	1	1
30	которые принадлежат к	1	1
31	потому что в	1	1
32	но так как	1	1
33	оно не может	1	1
34	есть прежде всего	5	1
35	удивительно что и	1	1
36	том что он	1	1
37	революции а не	1	1
38	же как и	3	1
39	по сравнению с	1	1
40	и в той	1	1
41	тут не будет	1	1
42	но к чему	1	1
43	а также в	1	1
44	а может быть	1	1
45	не до конца	2	1
46	у него есть	1	1
47	в той мере	1	1
48	должны быть признаны	1	1
49	внешних условий все	1	1
50	тогда когда человек	1	1
51	он никогда не	1	1
52	в такой степени	2	1
53	все равно что	2	1
54	как бы его	2	1
55	не потому что	1	1
56	между тем как	1	1
57	лежит в основе	1	1
58	склонен думать что	1	1
59	к другу и	2	1
60	и в этом	3	1
61	и не было	1	1
62	этим сказать что	1	1
63	не могу не	1	1
64	это и есть	3	1
65	одни и те	1	1
66	приводит нас к	1	1
67	мере в какой	1	1
68	который может быть	1	1
69	та или иная	1	1
70	но я не	1	1
71	что иное как	3	1
72	хотел этим сказать	1	1
73	и те же	2	1
74	и там и	6	1
75	не что иное	3	1
76	так поступали те	1	1
77	той мере в	1	1
78	именно потому что	1	1
79	там и здесь	6	1
