N	3gram	Voloshinov_1	NovoeSre
1	в высшей степени	2	6
2	мы живем в	1	5
3	не может быть	3	4
4	в наше время	1	3
5	со всех сторон	1	3
6	равно как и	1	2
7	это совсем не	1	2
8	большую роль в	1	2
9	с одной стороны	1	2
10	она не может	1	2
11	только потому что	1	1
12	на протяжении всей	5	1
13	мы должны перейти	1	1
14	есть прежде всего	1	1
15	в эпоху упадка	1	1
16	жизни и творчества	2	1
17	до сих пор	3	1
18	и не может	1	1
19	в эту эпоху	1	1
20	в зависимости от	2	1
21	мы конечно не	1	1
22	в отличие от	1	1
23	в свою противоположность	1	1
24	в основе их	1	1
25	но и в	1	1
26	но это совсем	1	1
27	от того чтобы	1	1
28	еще не знает	1	1
29	вообще не существует	1	1
30	как будто бы	1	1
31	не могут быть	3	1
32	то что он	1	1
33	во всяком случае	3	1
34	о том что	1	1
35	в то время	1	1
36	ни в чем	2	1
37	это и есть	1	1
38	не в силах	2	1
39	других людей и	1	1
40	выходит за пределы	1	1
41	в большинстве случаев	4	1
42	и быть не	1	1
43	чтобы разобраться в	2	1
44	и совсем не	1	1
45	быть не может	1	1
46	в том что	4	1
