N	2gram	Savitsky_E_1	Problema
1	то есть	6	46
2	в его	2	43
3	и не	14	42
4	и в	37	38
5	не может	9	27
6	может быть	6	26
7	как бы	6	22
8	по отношению	1	21
9	отнюдь не	9	19
10	и с	2	17
11	и его	1	16
12	в этом	12	15
13	в нем	1	15
14	и т	1	14
15	только в	9	13
16	прежде всего	9	13
17	независимо от	4	13
18	но не	5	12
19	за пределы	1	12
20	во всех	6	11
21	в области	11	11
22	и для	3	11
23	таким образом	2	10
24	в их	11	10
25	к нему	2	10
26	не только	18	9
27	не имеет	4	9
28	но и	14	9
29	и как	2	8
30	входит в	1	8
31	было бы	8	8
32	точки зрения	23	8
33	место в	3	8
34	для нее	1	8
35	в том	11	8
36	то что	6	8
37	в самом	4	7
38	вообще не	3	7
39	как и	7	7
40	не в	5	7
41	как мы	5	7
42	с другой	7	7
43	между тем	8	7
44	отметить что	3	7
45	в своей	8	7
46	что в	21	7
47	на основе	2	6
48	там где	3	6
49	и наконец	2	6
50	в пределах	25	6
51	не к	2	6
52	с точки	17	6
53	не есть	2	6
54	дело с	1	6
55	мы можем	3	6
56	человеческой культуры	2	6
57	все же	1	6
58	а в	2	6
59	себя как	1	5
60	тем как	1	5
61	отличие от	1	5
62	в своем	14	5
63	все эти	1	5
64	при этом	1	5
65	то же	15	5
66	в них	3	5
67	рядом с	1	5
68	далеко не	2	5
69	в отличие	1	5
70	творчества и	1	5
71	так и	10	5
72	в основе	1	5
73	и о	1	5
74	никогда не	3	5
75	не нужно	2	5
76	с ним	1	5
77	и прежде	3	5
78	конечно не	1	5
79	большинстве случаев	3	5
80	в большинстве	2	5
81	не на	4	5
82	а не	2	5
83	могут быть	2	5
84	должно быть	1	5
85	имеет место	2	5
86	мы здесь	1	4
87	должна быть	2	4
88	в ней	4	4
89	относится к	1	4
90	как в	3	4
91	но в	14	4
92	в нашем	1	4
93	в себе	9	4
94	в данном	3	4
95	не менее	1	4
96	но они	1	4
97	тем самым	5	4
98	в то	16	4
99	известной степени	3	4
100	должны быть	1	4
101	в ее	8	4
102	данном случае	2	4
103	можно было	3	4
104	о том	3	4
105	которых мы	1	4
106	с ними	1	4
107	в других	2	4
108	и только	3	4
109	к которому	1	4
110	что не	1	4
111	более того	1	4
112	и потому	5	4
113	в более	1	4
114	хотя бы	15	4
115	между ними	2	4
116	сказать что	4	4
117	другой стороны	2	4
118	также и	7	3
119	например в	1	3
120	культурного творчества	2	3
121	противном случае	1	3
122	которую мы	5	3
123	говорить о	1	3
124	на них	2	3
125	бы то	4	3
126	мы будем	1	3
127	точка зрения	2	3
128	значение имеет	1	3
