N	2gram	Medvedev_S_1	StatiiOP
1	и в	3	44
2	в том	5	36
3	что в	2	30
4	том что	2	29
5	в этом	5	21
6	вовсе не	1	19
7	не только	3	18
8	то что	2	18
9	было бы	2	17
10	о том	1	17
11	а в	1	17
12	и не	1	16
13	может быть	2	15
14	в области	1	14
15	в данном	1	14
16	не в	3	12
17	в этой	1	11
18	что он	1	10
19	только в	2	10
20	но и	2	10
21	как и	1	9
22	в то	1	9
23	так и	1	9
24	в его	3	9
25	с другой	1	9
26	все же	1	8
27	но ведь	3	8
28	это не	1	8
29	и его	1	8
30	не может	1	8
31	таким образом	2	7
32	для нас	3	7
33	прежде всего	1	7
34	в своей	1	6
35	всяком случае	1	6
36	именно в	1	6
37	хотя бы	1	6
38	во всяком	1	6
39	вряд ли	1	5
40	то же	2	5
41	в целом	1	5
42	все эти	1	5
43	и по	1	5
44	в котором	1	5
45	этой области	1	5
46	никогда не	1	5
47	стр и	1	5
48	тем что	1	5
49	все это	7	5
50	это и	2	4
51	столь же	1	4
52	что это	1	4
53	что она	1	4
54	том как	1	4
55	для изучения	1	4
56	дело не	2	4
57	же время	1	4
58	как будто	2	4
59	и что	2	4
60	не было	1	4
61	даже не	1	4
62	к которому	2	4
63	в частности	2	4
64	как бы	2	4
65	стр в	1	4
66	тем более	2	4
67	тем же	1	3
68	должна быть	2	3
69	еще не	2	3
70	в чем	1	3
71	но не	1	3
72	по отношению	2	3
73	же это	1	3
74	в каждом	1	3
75	будто в	1	3
76	даже в	1	3
77	тому что	1	3
78	в конце	2	3
79	между тем	1	3
80	и только	3	3
81	с одной	1	3
82	в виде	1	3
83	а с	1	3
84	на этот	1	3
85	эти вопросы	1	3
86	в результате	2	3
87	отношению к	2	3
88	работы в	1	3
89	мы не	1	2
90	в сущности	1	2
91	литературы и	2	2
92	за пределы	2	2
93	более чем	3	2
94	чуть ли	1	2
95	но именно	1	2
96	и более	1	2
97	ни были	1	2
98	что все	1	2
99	его в	1	2
100	это вовсе	1	2
101	ничего не	1	2
102	что на	1	2
103	ли не	1	2
104	стр но	1	2
105	нужно было	2	2
106	для этого	1	2
107	может не	1	2
108	должно было	1	2
109	крайней мере	1	2
110	история литературы	1	2
111	конечно не	1	2
112	у него	1	2
113	еще и	1	2
114	одной стороны	1	2
115	по крайней	1	2
116	ни на	1	2
117	и потому	1	2
118	по существу	2	2
119	истории литературы	10	2
120	в этих	1	2
121	а между	1	1
122	художественных произведений	1	1
123	и есть	1	1
124	что эти	1	1
125	полагает что	1	1
126	в лучшем	1	1
127	этом не	1	1
128	от друга	1	1
129	между собой	1	1
130	время в	1	1
131	не исчерпываются	1	1
132	но как	1	1
133	очевидно что	2	1
134	друг от	1	1
135	в свои	1	1
136	утверждает в	1	1
137	они ни	1	1
138	перед нами	1	1
139	лучшем случае	1	1
140	право на	1	1
141	иначе и	1	1
142	наука а	1	1
143	бы они	1	1
144	так называемым	1	1
145	в таких	1	1
146	на все	1	1
147	в них	1	1
148	далеко не	2	1
149	на основании	1	1
150	иначе говоря	1	1
151	одно дело	2	1
152	представить себе	1	1
153	место в	1	1
154	том и	1	1
155	быть не	1	1
156	по себе	1	1
157	и принципов	1	1
158	хотелось бы	1	1
159	в процессе	1	1
160	тогда и	1	1
161	но только	1	1
162	какой же	1	1
163	к изучению	1	1
164	больше того	1	1
165	и стиля	1	1
166	когда мы	1	1
167	опираясь на	1	1
168	и о	1	1
169	ни одно	1	1
170	не наука	1	1
171	изучения и	1	1
172	только то	1	1
173	против этого	1	1
174	образом в	1	1
175	настоящее время	1	1
176	литературе о	1	1
177	которая должна	1	1
178	или нет	1	1
179	наше время	1	1
180	именно на	1	1
181	стр очевидно	1	1
182	серьезно и	1	1
183	ведь это	2	1
184	наука о	1	1
185	что таким	1	1
186	не один	1	1
187	знания нельзя	1	1
188	в наше	1	1
189	в настоящее	1	1
190	бы в	1	1
191	конце концов	2	1
192	пришлось бы	1	1
193	только поэзия	1	1
194	они не	1	1
