N	2gram	Propp_Isto_1	Sotsiolo
1	все это	4	7
2	в том	9	5
3	в этом	8	5
4	и только	2	3
5	для нас	13	3
6	не только	12	3
7	и в	28	3
8	но ведь	1	3
9	не в	9	3
10	в его	5	3
11	метод и	1	2
12	но и	10	2
13	и мы	2	2
14	было бы	7	2
15	к которому	5	2
16	она может	1	2
17	должна быть	5	2
18	только в	11	2
19	дело не	5	2
20	нашей науки	1	2
21	нужно было	1	2
22	в результате	1	2
23	том что	7	2
24	в частности	2	2
25	как будто	4	2
26	то что	9	2
27	главным образом	1	2
28	или даже	3	2
29	и что	10	2
30	еще не	7	2
31	только как	1	2
32	таким образом	8	2
33	это и	1	2
34	отношению к	3	2
35	в конце	1	2
36	что в	12	2
37	может быть	25	2
38	как бы	2	2
39	по отношению	3	2
40	по существу	5	2
41	то же	12	2
42	не из	1	1
43	право на	2	1
44	же не	3	1
45	противном случае	1	1
46	быть не	1	1
47	по себе	3	1
48	даже в	4	1
49	в этой	6	1
50	тому что	1	1
51	отнюдь не	1	1
52	даже не	2	1
53	изучения и	1	1
54	с другой	6	1
55	его в	6	1
56	дает нам	1	1
57	только для	2	1
58	с ним	2	1
59	это не	7	1
60	на этот	2	1
61	именно в	3	1
62	и история	1	1
63	все же	10	1
64	в противном	1	1
65	один из	4	1
66	и есть	1	1
67	перед нами	3	1
68	в то	3	1
69	что таким	1	1
70	тем же	1	1
71	еще и	2	1
72	только то	1	1
73	а с	2	1
74	том как	2	1
75	тем что	3	1
76	вопросом о	1	1
77	и как	2	1
78	и затем	1	1
79	что эти	1	1
80	исследование и	1	1
81	что он	10	1
82	тогда и	1	1
83	прежде всего	10	1
84	бы он	1	1
85	в них	1	1
86	так и	9	1
87	не было	1	1
88	одной стороны	4	1
89	те же	1	1
90	и не	9	1
91	в любой	1	1
92	никогда не	14	1
93	на основании	1	1
94	зависит от	2	1
95	основной вопрос	2	1
96	именно такого	1	1
97	мы не	10	1
98	со своими	1	1
99	ничего не	2	1
100	между собою	1	1
101	мы еще	3	1
102	и ценное	1	1
103	его слишком	1	1
104	не мешает	1	1
105	связь между	3	1
106	все эти	4	1
107	именно на	2	1
108	как и	4	1
109	между собой	4	1
110	или нет	1	1
111	бы в	2	1
112	для этого	3	1
113	мы должны	13	1
114	в таких	2	1
115	пришлось бы	1	1
116	но она	1	1
117	образом в	1	1
118	конечно не	2	1
119	в связи	4	1
120	на первый	2	1
121	и его	3	1
122	в этих	7	1
123	связи с	4	1
124	или не	1	1
125	хотя бы	4	1
126	вступает в	2	1
127	всего должна	1	1
128	в целом	2	1
129	не может	15	1
130	в своей	1	1
131	только тогда	1	1
132	и должно	3	1
133	а в	7	1
134	еще недостаточно	1	1
135	что она	5	1
136	о том	9	1
137	не дает	2	1
138	в области	2	1
139	и потому	2	1
140	в котором	3	1
141	никак не	1	1
142	между ними	2	1
143	точке зрения	1	1
144	происходит не	1	1
145	существу своему	1	1
146	по необходимости	1	1
147	может не	1	1
148	столь же	2	1
149	время в	1	1
150	и связь	1	1
151	не выходит	2	1
152	себе из	1	1
153	когда мы	2	1
154	в силу	5	1
155	должно было	1	1
156	в конечном	2	1
157	что это	8	1
158	ними в	1	1
159	вовсе не	2	1
160	ли не	1	1
161	же самое	3	1
162	с одной	4	1
163	но не	5	1
164	у него	1	1
165	для изучения	6	1
166	в виде	2	1
167	этого и	1	1
168	между тем	2	1
169	но как	1	1
170	и по	3	1
171	это происходит	2	1
172	и более	1	1
173	во всяком	1	1
174	и будет	1	1
175	что данный	2	1
176	они не	4	1
177	нам право	1	1
