N	2gram	Kanaev_Sov_1	Morfolog
1	может быть	12	52
2	и пр	2	40
3	таким образом	11	20
4	не может	17	17
5	могут быть	2	15
6	с этим	2	14
7	и в	7	13
8	в этом	7	13
9	так как	4	12
10	связи с	1	11
11	мы видим	2	11
12	видим что	1	10
13	то же	3	9
14	мы имеем	1	9
15	этом случае	1	9
16	прежде всего	5	9
17	а не	3	9
18	в связи	1	9
19	и не	6	9
20	а затем	1	8
21	с другой	1	8
22	по существу	1	8
23	в результате	6	8
24	вопрос о	4	7
25	или же	2	7
26	все же	3	7
27	но если	1	7
28	но не	1	6
29	это не	4	6
30	не могут	2	6
31	в том	4	6
32	а в	4	6
33	мы не	9	5
34	во всех	1	5
35	не менее	2	5
36	или в	1	5
37	один из	1	5
38	если мы	4	5
39	как бы	4	5
40	можно наблюдать	1	5
41	эта функция	1	4
42	к началу	1	4
43	что его	1	4
44	если в	1	4
45	хотя и	1	4
46	ни одна	2	4
47	не только	4	4
48	на его	2	4
49	на этом	2	4
50	следующим образом	3	4
51	его в	1	4
52	было бы	3	4
53	вовсе не	1	4
54	как и	6	4
55	несмотря на	1	4
56	точки зрения	12	4
57	с точки	5	4
58	тем не	2	4
59	на котором	2	4
60	ничего не	6	4
61	очень часто	1	4
62	как мы	2	4
63	по отношению	1	4
64	случае не	1	4
65	в некоторых	2	4
66	там где	1	4
67	так же	1	4
68	оно может	1	4
69	отношению к	1	4
70	что в	2	4
71	самом деле	2	3
72	на самом	1	3
73	в первом	3	3
74	и для	1	3
75	между собой	3	3
76	из приведенных	1	3
77	независимо от	1	3
78	но в	3	3
79	к чему	2	3
80	в целом	4	3
81	в нашем	2	3
82	он должен	2	3
83	и по	2	3
84	но все	2	3
85	из них	4	3
86	ни в	1	3
87	в один	2	3
88	том что	1	3
89	в то	1	3
90	реагирует на	1	3
91	раз он	1	3
92	если бы	1	3
93	он не	1	3
94	во втором	1	3
95	значит что	1	3
96	к нему	1	3
97	в какой	1	3
98	в начале	1	3
99	их по	1	3
100	мы можем	6	3
101	не является	1	3
102	из которых	2	3
103	форма в	2	3
104	но это	1	3
105	кроме того	1	3
106	это уже	1	3
107	мы должны	4	3
108	же в	1	3
109	если же	2	3
110	можно назвать	2	3
111	живое существо	1	2
112	пойти в	2	2
113	тем же	2	2
114	как особого	1	2
115	мы получаем	3	2
116	для наших	1	2
117	совсем не	1	2
118	друг на	1	2
119	и к	3	2
120	та же	1	2
121	можно было	1	2
122	в другом	1	2
123	мы уже	1	2
124	обоих случаях	1	2
125	в ином	1	2
126	этого не	1	2
127	на друга	1	2
128	и тогда	1	2
129	и при	1	2
130	что такое	2	2
131	настоящее время	2	2
132	и более	1	2
133	таких случаев	1	2
134	все эти	5	2
135	что эта	1	2
136	в обоих	1	2
137	не имеет	1	2
138	одна из	3	2
139	и его	1	2
140	можно взять	1	2
141	и что	2	2
142	из двенадцати	1	2
143	ясно что	3	2
144	о том	1	2
145	с одной	2	2
146	может не	3	2
147	образом если	1	2
148	и только	1	2
149	как например	1	2
150	быть и	2	2
151	к различным	1	2
152	этот вопрос	1	2
153	или иные	1	2
154	только в	1	2
155	наших целей	1	2
156	уже не	2	2
157	в большинстве	1	2
158	в виде	2	2
159	его и	1	2
160	как их	1	2
161	из двух	3	2
162	b в	1	2
163	а на	2	2
164	элемент может	1	2
165	не знает	1	2
166	сказать что	1	2
167	вторая половина	2	2
168	он приводит	2	2
169	одной стороны	1	2
170	благодаря этому	1	2
171	но для	1	2
172	их на	1	2
173	случае он	1	2
174	в настоящее	2	2
175	в отдельных	1	2
176	или нет	1	2
177	одной из	1	2
178	в свое	1	2
179	к этому	1	2
180	вроде следующего	1	1
181	переносятся на	1	1
182	будем же	1	1
183	функции в	1	1
184	он может	3	1
185	между двумя	1	1
186	приводится к	1	1
187	быть действительно	1	1
188	их и	1	1
189	есть не	1	1
190	она в	1	1
191	элементы и	1	1
192	это совершенно	1	1
193	что это	2	1
194	что иное	1	1
195	затем он	1	1
196	кто же	1	1
197	может дать	2	1
198	принадлежит и	1	1
199	произошло в	1	1
200	мы будем	1	1
201	но как	1	1
202	явлений и	1	1
203	отличие от	2	1
204	это или	1	1
205	же вопрос	1	1
206	в гости	1	1
207	дает следующий	1	1
208	дает нам	2	1
209	мы имели	1	1
210	более и	1	1
211	и наконец	5	1
212	но эта	1	1
213	главе мы	1	1
214	развития все	1	1
215	в этот	1	1
216	то нет	1	1
217	в которой	2	1
218	к другому	1	1
219	из этих	2	1
220	одном случае	1	1
221	не в	3	1
222	в этой	3	1
223	остановиться на	1	1
224	нами в	1	1
225	и тот	1	1
226	но ведь	1	1
227	что она	3	1
228	быть поняты	1	1
229	этом с	1	1
230	свою собственную	2	1
231	необходимо для	1	1
232	быть поставлен	1	1
233	извне мы	1	1
234	наука не	1	1
235	по его	1	1
236	в каждом	8	1
237	то ни	2	1
238	через все	1	1
239	и может	1	1
240	в совершенно	1	1
241	конечно в	2	1
242	те или	1	1
243	чему мы	1	1
244	мы постараемся	1	1
245	отличать от	1	1
246	нет в	1	1
247	оно имеет	1	1
248	чем в	1	1
249	и становится	1	1
250	том как	1	1
251	и их	1	1
252	это делает	1	1
253	в первый	1	1
254	которые в	1	1
255	такую же	1	1
256	при этом	3	1
257	силу и	1	1
258	все это	3	1
259	без всяких	1	1
260	она не	1	1
261	с №	1	1
262	от различных	1	1
263	что с	1	1
264	самого начала	3	1
265	из одной	1	1
266	как его	1	1
267	вытекает из	1	1
268	под углом	1	1
269	же время	1	1
270	этих двух	2	1
271	или как	1	1
272	быть разложена	1	1
273	к концу	1	1
274	законам что	1	1
275	углом зрения	1	1
276	с другом	2	1
277	у нас	3	1
278	такие же	2	1
