N	3gram	Bakhtin_Pr_3	VrazhdaK
1	то же время	5	4
2	в то же	5	4
3	в связи с	1	3
4	с точки зрения	2	2
5	но в то	1	2
6	не может быть	1	2
7	в том что	3	2
8	а между тем	2	1
9	то что я	1	1
10	равно как и	1	1
11	в котором он	1	1
12	в этом смысле	1	1
13	в соответствии с	2	1
14	был знаком и	1	1
15	до сих пор	5	1
16	и не может	1	1
17	преступлении и наказании	2	1
18	в той же	1	1
19	и далее я	1	1
20	я думаю не	1	1
21	к творчеству достоевского	1	1
22	в этом отношении	1	1
23	говорит о себе	1	1
24	как он сам	1	1
25	в преступлении и	2	1
26	по крайней мере	1	1
27	и то что	1	1
28	записках из подполья	1	1
29	может быть и	2	1
30	и в то	2	1
31	к вопросу о	1	1
32	в конце концов	1	1
33	к этому образу	1	1
34	но при этом	1	1
35	это никогда не	1	1
36	в бесах это	1	1
37	петра верховенского с	1	1
38	во всяком случае	1	1
39	достоевский находил в	1	1
40	с другой стороны	1	1
41	некоторых его произведений	1	1
42	в мире а	1	1
43	записки из подполья	2	1
44	тем не менее	2	1
45	что они не	1	1
46	человечества и в	1	1
47	о том что	2	1
48	и никогда не	1	1
