N	3gram	Losev_Prob_2	VrazhdaK
1	в то же	4	4
2	в связи с	5	3
3	не может быть	3	2
4	в том что	4	2
5	это то что	4	1
6	далеко не все	1	1
7	в этом смысле	5	1
8	был знаком и	1	1
9	что это за	1	1
10	на первый план	3	1
11	но для нас	1	1
12	до сих пор	4	1
13	и не может	1	1
14	в этом отношении	1	1
15	что в нем	1	1
16	но это не	1	1
17	точно так же	3	1
18	только при помощи	1	1
19	года в москве	1	1
20	по крайней мере	6	1
21	и то что	7	1
22	может быть и	2	1
23	и в то	1	1
24	не имеет никаких	2	1
25	о том как	1	1
26	так же как	1	1
27	в свете этой	1	1
28	тем что он	1	1
29	все равно не	1	1
30	на первый взгляд	1	1
31	в конце концов	7	1
32	в разные периоды	1	1
33	и то же	1	1
34	по нашему мнению	1	1
35	в известном смысле	1	1
36	и в этом	3	1
37	или по крайней	3	1
38	а с другой	1	1
39	во всяком случае	10	1
40	с другой стороны	5	1
41	связи с этим	2	1
42	тем не менее	12	1
43	о котором уже	1	1
44	заключается в том	2	1
45	в то время	1	1
46	это и есть	2	1
47	о том что	14	1
48	тех пор мы	1	1
49	не только не	2	1
50	я не знаю	1	1
51	на то что	4	1
52	имеется в виду	2	1
