N	3gram	Berdyaev_N_1	Myshleni
1	в том что	1	15
2	с другой стороны	2	9
3	с одной стороны	2	8
4	о том что	1	6
5	вместе с тем	2	5
6	так же как	2	5
7	не может быть	4	5
8	в то время	1	5
9	же как и	1	4
10	до сих пор	1	4
11	то время как	1	4
12	в высшей степени	6	4
13	такой же мере	1	3
14	можно было бы	1	3
15	в том чтобы	1	3
16	в такой же	1	3
17	во всяком случае	1	3
18	по своей природе	1	2
19	бы сказать что	1	2
20	есть прежде всего	1	2
21	в известном смысле	1	2
22	в зависимости от	1	2
23	в значительной степени	1	2
24	я не могу	1	2
25	мы не хотим	1	2
26	не право и	1	1
27	говорит что в	1	1
28	но все время	1	1
29	в этом смысле	2	1
30	играют большую роль	1	1
31	и не может	1	1
32	но и потому	1	1
33	в отличие от	1	1
34	в свою противоположность	1	1
35	наряду с этим	1	1
36	но и в	1	1
37	не быть в	1	1
38	том числе и	1	1
39	то что в	1	1
40	не только в	1	1
41	к вопросу о	1	1
42	и на их	1	1
43	общественной жизни как	1	1
44	и потому что	1	1
45	сказать что все	1	1
46	не в силах	1	1
47	и пр в	1	1
48	того чтобы быть	1	1
49	это значит что	1	1
50	не имеет никакой	1	1
51	и вместе с	1	1
52	только для себя	1	1
53	своей природе и	1	1
54	он не имеет	2	1
55	которые могут быть	1	1
56	заключает в себе	1	1
57	когда мы говорим	2	1
58	в том числе	1	1
59	как и в	1	1
60	она не может	2	1
