N	3gram	Tiupa_Narr_1	formyVre
1	с точки зрения	2	8
2	в связи с	2	7
3	не только в	2	5
4	в том же	1	4
5	то же время	3	4
6	в то же	3	4
7	как мы уже	1	4
8	друг с другом	1	4
9	и в особенности	1	3
10	в том числе	6	3
11	и в то	1	3
12	точки зрения не	1	3
13	между вещами и	1	3
14	и прежде всего	1	3
15	в том что	8	3
16	что в этом	1	2
17	прежде всего в	1	2
18	то же самое	1	2
19	пространства и времени	1	2
20	до сих пор	1	2
21	сами по себе	2	2
22	том числе и	4	2
23	может быть и	1	2
24	то что было	1	2
25	в этом отношении	3	2
26	в этом ряду	2	2
27	на протяжении всего	1	2
28	друг от друга	1	2
29	тем более что	1	2
30	и того же	1	1
31	не может не	2	1
32	в той или	2	1
33	никогда не было	1	1
34	он ни был	1	1
35	быть осуществлено только	1	1
36	об этом свидетельствует	1	1
37	на самом деле	1	1
38	есть прежде всего	1	1
39	том что он	1	1
40	картины мира и	1	1
41	тот или иной	1	1
42	как то что	1	1
43	в отличие от	5	1
44	мира в котором	1	1
45	как мы увидим	1	1
46	по аналогии с	1	1
47	он не мог	1	1
48	значении этого слова	2	1
49	с этой точки	1	1
50	не переставая быть	1	1
51	из уст в	1	1
52	как и в	1	1
53	в данном случае	4	1
54	с одной стороны	7	1
55	на первый взгляд	2	1
56	тем что как	1	1
57	в себя и	2	1
58	необходимо указать на	1	1
59	в историческом событии	1	1
60	а также и	1	1
61	его в иной	1	1
62	или иной форме	1	1
63	приходит к умирающему	1	1
64	с другой стороны	4	1
65	уст в уста	1	1
66	не может быть	5	1
67	прежде всего к	1	1
68	именно в том	2	1
69	этой точки зрения	2	1
70	в себе самом	1	1
71	бы он ни	1	1
72	человеческой жизни в	1	1
73	и как бы	1	1
74	с точкой зрения	2	1
75	то есть в	2	1
76	его жизни и	1	1
77	в это же	1	1
78	в свою очередь	3	1
79	ни для кого	1	1
80	о том что	6	1
81	ни с чем	1	1
82	времени и пространстве	5	1
83	может показаться что	1	1
84	но все же	4	1
85	можно сказать что	4	1
86	состоит именно в	2	1
87	существенную роль в	1	1
88	одного и того	1	1
89	если же в	1	1
90	на свет и	1	1
91	с другом и	1	1
92	как мы видели	1	1
93	той или иной	4	1
