N	3gram	Potebnia_M_3	Problemy
1	до сих пор	3	8
2	не может быть	3	8
3	по отношению к	5	5
4	то же время	5	5
5	в то же	5	5
6	друг с другом	1	5
7	в самом деле	1	4
8	в одном слове	1	3
9	более или менее	3	3
10	сам по себе	5	3
11	с другой стороны	4	3
12	нам кажется что	1	3
13	как и в	2	3
14	по себе еще	1	2
15	и в словах	1	2
16	мы уже сказали	1	2
17	друг в друге	1	2
18	и в других	1	2
19	сами по себе	1	2
20	в строгом смысле	1	2
21	но и в	4	2
22	того и другого	1	2
23	в том что	16	2
24	слово может быть	4	2
25	о том что	1	2
26	в свое время	1	2
27	можно сказать что	2	2
28	как мы уже	1	2
29	сама по себе	2	2
30	в себе самом	1	2
31	точек зрения и	1	2
32	себе еще не	1	2
33	и в поэзии	1	1
34	представим себе что	1	1
35	одним и тем	3	1
36	с большим количеством	1	1
37	в этом последнем	2	1
38	понимают друг друга	1	1
39	но именно эти	1	1
40	образов и по	1	1
41	том что он	2	1
42	по мере того	3	1
43	те же самые	1	1
44	а между тем	2	1
45	в том же	2	1
46	одной стороны и	1	1
47	но это значение	1	1
48	бы ни было	1	1
49	в сознании и	2	1
50	и следовательно к	1	1
51	живет только в	1	1
52	лишь тогда когда	1	1
53	а может быть	1	1
54	и все что	1	1
55	между этими суждениями	1	1
56	нет но на	1	1
57	то уже в	1	1
58	рано или поздно	1	1
59	более глубокое и	1	1
60	одно и то	5	1
61	в данном случае	1	1
62	и тем же	3	1
63	мы не знаем	2	1
64	с одной стороны	3	1
65	себе не только	1	1
66	и то же	5	1
67	если мы не	1	1
68	то что мы	2	1
69	к отдельному слову	1	1
70	людей и на	1	1
71	предмет о котором	1	1
72	так или иначе	1	1
73	он уже не	1	1
74	а не как	1	1
75	к тому же	1	1
76	один из его	1	1
77	таким образом и	1	1
78	самом деле в	1	1
79	этого слова и	2	1
80	гораздо сложнее и	1	1
81	здесь не только	1	1
82	у него в	1	1
83	их в наглядный	1	1
84	над всеми остальными	3	1
85	так и в	2	1
86	его жизни и	1	1
87	мере того как	3	1
88	в собственном смысле	2	1
89	не только в	4	1
90	человеческой мысли не	1	1
91	друг от друга	1	1
92	определенное место в	1	1
93	после того как	1	1
94	к тому что	2	1
95	вместе с нею	1	1
96	с первым и	1	1
97	то есть к	3	1
