N	2gram	Bakhtin_Pr_1	NovoeSre
1	а не	22	17
2	и в	29	16
3	не может	12	16
4	нового времени	3	12
5	и не	31	11
6	и есть	2	10
7	истории и	1	9
8	что в	8	9
9	как не	8	8
10	в том	8	8
11	жизни и	2	8
12	он не	5	8
13	в этом	22	7
14	может быть	24	7
15	не будет	1	7
16	как и	12	7
17	высшей степени	1	6
18	с его	9	6
19	не в	7	6
20	ни в	3	6
21	в высшей	1	6
22	никогда не	3	6
23	лишь в	1	6
24	но это	4	6
25	не знает	3	6
26	воля к	2	6
27	должен быть	1	5
28	в ней	2	5
29	и к	2	5
30	не только	15	5
31	в жизни	2	5
32	все это	6	5
33	в нем	19	5
34	со всех	1	4
35	не во	3	4
36	о том	1	4
37	и мы	1	4
38	перестает быть	4	4
39	в них	3	4
40	то что	15	4
41	это не	9	4
42	прежде всего	7	4
43	не было	4	4
44	должно быть	4	4
45	и потому	6	4
46	воли к	1	4
47	и для	4	4
48	не имеет	1	4
49	и все	1	4
50	потому что	8	4
51	с другой	3	3
52	смысле слова	1	3
53	в ее	1	3
54	должна быть	5	3
55	вопрос о	2	3
56	еще не	5	3
57	во всех	1	3
58	за пределы	7	3
59	в истории	2	3
60	как в	6	3
61	конечно не	2	3
62	всех сферах	1	3
63	не значит	4	3
64	к ним	1	3
65	подобно тому	3	3
66	перейти к	1	3
67	в мире	6	3
68	но и	14	3
69	это было	1	3
70	не есть	2	3
71	и пр	3	3
72	в своей	8	3
73	тому как	3	3
74	в россии	2	3
75	она не	7	3
76	не существует	1	3
77	жизни не	2	3
78	в основе	4	3
79	в духе	3	3
80	к тому	1	3
81	сказать что	3	3
82	и это	5	2
83	же как	1	2
84	века но	1	2
85	это и	5	2
86	время как	1	2
87	роль в	1	2
88	переживает кризис	1	2
89	переход к	1	2
90	можно было	2	2
91	так и	7	2
92	времени и	1	2
93	мы не	1	2
94	мира и	7	2
95	и с	4	2
96	культуры нового	1	2
97	для этого	1	2
98	мира а	1	2
99	я не	3	2
100	жизни как	1	2
101	вот почему	1	2
102	жизни ни	1	2
103	и что	2	2
104	и на	7	2
105	времени в	1	2
106	но не	9	2
107	в свои	1	2
108	все время	2	2
109	с этим	2	2
110	нового типа	2	2
111	хотя и	1	2
112	но в	7	2
113	духа в	1	2
114	который в	1	2
115	все эти	9	2
116	себя в	1	2
117	с их	5	2
118	в себе	7	2
119	уже не	13	2
120	у него	5	2
121	что она	6	2
122	что все	1	2
123	нет и	1	2
124	и даже	2	2
125	этом смысле	10	2
126	бытия в	3	2
127	к более	2	2
128	зависит от	1	2
129	том что	7	2
130	так же	6	2
131	место в	1	2
132	к содержанию	1	2
133	не знал	1	2
134	мысли и	5	2
135	центр тяжести	1	2
136	такого рода	1	2
137	мир и	5	2
138	другой стороны	3	2
139	по существу	3	2
140	не могли	1	2
141	том и	1	2
142	xviii века	1	2
143	ни одна	1	2
144	как будто	3	2
145	этот мир	3	2
146	будет и	1	2
147	такой же	1	2
148	в смысле	2	2
149	в то	10	2
150	одна из	3	2
151	мысли в	2	2
152	того чтобы	1	2
153	и от	2	2
154	самой жизни	1	2
155	и весь	1	2
156	хотя бы	2	2
157	все они	1	2
158	познания и	1	2
159	а в	7	2
160	я называю	1	2
161	могут быть	6	2
162	от этой	1	1
163	также что	1	1
164	оно может	2	1
165	лишь там	2	1
166	становится в	1	1
167	людей в	1	1
168	ни одно	1	1
169	для себя	2	1
170	он может	3	1
171	воля не	1	1
172	характер и	1	1
173	чтобы быть	1	1
174	этого мира	6	1
175	по преимуществу	2	1
176	приводит к	3	1
177	и до	3	1
178	можно лишь	1	1
179	сама идея	1	1
180	на западе	2	1
181	и про	1	1
182	слова а	2	1
183	почвы и	3	1
184	времени он	1	1
185	значение они	1	1
186	мы уже	2	1
187	по природе	1	1
188	конечно есть	1	1
189	во многом	1	1
190	создать не	1	1
191	мир не	1	1
192	героя но	2	1
193	это делали	1	1
194	человека это	1	1
195	с ним	5	1
196	можно сказать	1	1
197	о самом	1	1
198	оно есть	1	1
199	на себя	2	1
200	то это	1	1
201	разобраться в	2	1
202	в виду	1	1
203	во внешних	1	1
204	зависимости от	5	1
205	не способен	1	1
206	собрать в	1	1
207	на их	1	1
208	он стремился	1	1
209	в какие	1	1
210	и мира	1	1
211	и во	2	1
212	все в	3	1
213	не могут	6	1
214	своего рода	1	1
215	к нему	6	1
216	то он	2	1
217	есть своя	1	1
218	в его	24	1
219	менее всего	6	1
220	к своеобразному	1	1
221	себе и	3	1
222	ее он	2	1
223	и только	1	1
224	значение для	1	1
225	последних пределов	1	1
226	путь которым	1	1
227	и ложь	1	1
228	и она	1	1
229	вся жизнь	1	1
230	нет надобности	1	1
231	к ложным	1	1
232	к которому	1	1
233	в своем	8	1
234	как например	2	1
235	и нет	2	1
236	известном смысле	1	1
237	космоса но	1	1
238	глубже чем	1	1
239	человека в	4	1
240	единого духа	4	1
241	что он	8	1
242	церковь как	1	1
243	только в	10	1
244	и объединения	1	1
245	от этого	1	1
246	и групп	1	1
247	в самом	10	1
248	мира эти	1	1
249	он действует	1	1
250	бы сказать	1	1
251	то время	1	1
252	он в	3	1
253	из этих	1	1
254	тоже не	2	1
255	в известном	1	1
256	было так	1	1
257	же и	2	1
258	к идее	2	1
259	и у	3	1
260	мира но	2	1
261	уже в	3	1
262	в большинстве	2	1
263	человеческого духа	2	1
264	вообще не	1	1
265	него и	1	1
266	от других	1	1
267	идей и	1	1
268	вступить на	1	1
269	в статье	1	1
270	вера в	1	1
271	большинстве случаев	2	1
272	из них	1	1
273	бы к	2	1
274	все еще	1	1
275	мир в	3	1
276	борьбу за	1	1
277	для того	1	1
278	и их	1	1
279	всяком случае	3	1
280	и когда	1	1
281	к одному	1	1
282	иная форма	1	1
283	сами по	3	1
284	духа как	1	1
285	в конце	6	1
286	не для	1	1
