N	2gram	Losev_Dial_2	SlovoVZh
1	не может	9	16
2	может быть	20	14
3	точки зрения	12	14
4	как бы	14	13
5	и его	5	13
6	таким образом	4	12
7	и в	19	12
8	и не	30	10
9	так как	14	9
10	прежде всего	8	8
11	сказать что	10	7
12	в ней	2	6
13	в том	14	6
14	только в	5	6
15	при этом	4	6
16	в нем	10	6
17	слова и	1	6
18	все время	3	6
19	должна быть	5	5
20	то же	12	5
21	в виду	5	5
22	можно сказать	5	5
23	отнюдь не	6	5
24	как в	2	5
25	но в	2	5
26	и др	1	5
27	в жизни	2	5
28	а не	16	5
29	как и	10	5
30	что мы	2	5
31	и следовательно	5	5
32	том что	10	5
33	никогда не	9	5
34	поэтическое произведение	2	5
35	хотя бы	4	5
36	то что	14	5
37	на самом	2	4
38	зависимости от	2	4
39	литературы и	1	4
40	к нему	4	4
41	за пределы	4	4
42	в литературе	1	4
43	в этом	8	4
44	все же	4	4
45	в самом	5	4
46	уже не	3	4
47	не только	19	4
48	от того	4	4
49	так и	10	4
50	с другой	5	4
51	что не	6	4
52	не в	8	4
53	его в	3	4
54	и к	7	4
55	жизни и	6	4
56	и на	1	4
57	здесь не	1	3
58	самом деле	4	3
59	в котором	1	3
60	ведь и	1	3
61	ясно что	4	3
62	еще не	4	3
63	мы не	1	3
64	и вообще	6	3
65	о том	5	3
66	бы то	1	3
67	но и	12	3
68	между тем	2	3
69	точка зрения	1	3
70	только ему	1	3
71	нуждается в	3	3
72	того что	6	3
73	быть и	4	3
74	когда он	1	3
75	и ее	1	3
76	все эти	2	3
77	только на	1	3
78	конечно не	6	3
79	в себе	15	3
80	в поэзии	7	3
81	да и	6	3
82	не к	1	3
83	и по	4	3
84	то ни	1	3
85	и с	5	3
86	до сих	2	3
87	ни в	10	3
88	в некоторых	2	3
89	и пр	5	3
90	в них	1	3
91	и уже	3	3
92	в своей	8	3
93	так же	2	3
94	тем не	2	3
95	и более	3	3
96	из этого	1	3
97	по себе	18	3
98	сих пор	2	3
99	не менее	3	3
100	все это	4	3
101	но для	1	3
102	и проч	1	3
103	бы мы	1	3
104	сколько бы	1	3
105	это как	3	3
106	ее и	1	3
107	с ним	4	3
108	или не	2	3
109	в каком	4	3
110	на границе	1	3
111	от этой	1	2
112	как не	2	2
113	и то	7	2
114	как это	7	2
115	опираясь на	1	2
116	и самое	1	2
117	и совершенно	2	2
118	те же	1	2
119	вещи и	3	2
120	со всех	1	2
121	и значение	1	2
122	мы имеем	3	2
123	мы в	2	2
124	и здесь	1	2
125	искусства и	1	2
126	возможна только	1	2
127	не остается	1	2
128	и та	6	2
129	но мы	2	2
130	и что	5	2
131	в чем	3	2
132	данном случае	2	2
133	в данном	3	2
134	в его	1	2
135	что и	5	2
136	в психике	1	2
137	и содержания	1	2
138	нашего сознания	1	2
139	независимо от	4	2
140	поскольку они	1	2
141	в своем	4	2
142	кроме того	3	2
143	в какой	2	2
144	и потому	5	2
145	с одной	2	2
146	уже в	4	2
147	тому же	1	2
148	в душе	7	2
149	он не	4	2
150	допустим что	1	2
151	в зависимости	2	2
152	к ним	1	2
153	мы можем	1	2
154	но что	7	2
155	из него	1	2
156	форма в	1	2
157	одно и	4	2
158	но все	2	2
159	в особенности	1	2
160	на все	2	2
161	это не	10	2
162	может стать	1	2
163	мы никогда	1	2
164	форму и	1	2
165	как же	3	2
166	оно не	1	2
167	делает его	1	2
168	себя и	1	2
169	одной стороны	1	2
170	можем сказать	1	2
171	зависит от	2	2
172	другой стороны	4	2
173	его как	1	2
174	была бы	3	2
175	там где	1	2
176	смысл и	2	2
177	нет ничего	1	2
178	ни на	2	2
179	вместе с	2	2
180	к его	1	2
181	но не	6	2
182	общего с	1	2
183	несравненно более	1	2
184	быть только	2	2
185	с этой	1	2
186	она не	8	2
187	еще раз	1	2
188	с точки	8	2
189	тогда когда	6	2
190	в то	6	2
191	и притом	7	2
192	на него	2	2
193	ясность и	1	2
194	ничего не	3	2
195	а к	1	2
196	и все	12	2
197	но зато	1	2
198	и поэтическое	1	2
199	все они	1	2
200	в этих	3	2
201	есть уже	2	2
202	но это	7	2
203	бы оно	1	2
204	стороны и	1	2
205	но этот	1	2
206	могут быть	4	2
207	как только	3	2
208	же самое	2	2
209	что в	7	2
210	как на	1	2
211	не есть	47	2
