N	4gram	Tiupa_Hudo_1	Problemy
1	в то же время	5	5
2	мы имеем в виду	3	3
3	в том числе и	1	3
4	в преступлении и наказании	1	2
5	по себе еще не	1	2
6	сопоставлены или противопоставлены в	1	1
7	том под каким диалогическим	1	1
8	они сопоставлены или противопоставлены	1	1
9	в той или иной	2	1
10	углом они сопоставлены или	1	1
11	было и не могло	1	1
12	языковых стилей социальных диалектов	1	1
13	но в отличие от	1	1
14	одно и то же	3	1
15	иметь в виду что	1	1
16	в самом наличии определенных	1	1
17	наличии определенных языковых стилей	1	1
18	каким диалогическим углом они	1	1
19	диалогическим углом они сопоставлены	1	1
20	в том под каким	1	1
21	не в самом наличии	1	1
22	и не могло быть	2	1
23	или противопоставлены в произведении	1	1
24	не было и не	1	1
25	и в то же	1	1
26	сама по себе еще	1	1
27	определенных языковых стилей социальных	1	1
28	под каким диалогическим углом	1	1
29	дело не в самом	1	1
30	самом наличии определенных языковых	1	1
