N	3gram	Propp_Morf_1	RusskieA
1	в том что	3	18
2	состоит в том	2	13
3	для того чтобы	2	6
4	в этом случае	8	6
5	в данном случае	1	6
6	и т д	39	5
7	о том что	1	4
8	и в других	1	4
9	подобно тому как	5	3
10	в этих случаях	11	3
11	можно предположить что	1	3
12	не может быть	9	3
13	в этом и	1	2
14	мы не можем	1	2
15	с одной стороны	1	2
16	и в некоторых	1	2
17	к земле и	1	2
18	бросается в глаза	1	2
19	и многие другие	1	2
20	мы не будем	2	2
21	для этой цели	1	2
22	после того как	1	2
23	тем не менее	4	2
24	в то время	3	2
25	к этому прибавляется	1	1
26	к заключению что	1	1
27	не входит в	1	1
28	о том как	1	1
29	одна из них	1	1
30	сюда же относится	1	1
31	здесь мы имеем	1	1
32	к этому же	1	1
33	тем и другим	2	1
34	и сл в	1	1
35	тех случаях когда	2	1
36	во многих отношениях	1	1
37	это еще не	1	1
38	на этом основании	1	1
39	без всякого изменения	1	1
40	но это не	1	1
41	может быть и	2	1
42	потому что в	1	1
43	на то что	2	1
44	иметь в виду	1	1
45	дело не в	2	1
46	мы должны будем	1	1
47	можно наблюдать что	1	1
48	как и в	2	1
49	все же в	1	1
50	того или другого	1	1
51	ни одна из	1	1
52	еще не все	1	1
53	т е не	1	1
54	на первый взгляд	3	1
55	из ряда других	1	1
56	можно показать что	2	1
57	отличие от других	1	1
58	то же происходит	1	1
59	нужно заметить что	1	1
60	может быть поставлен	1	1
61	если это не	1	1
62	вне связи с	2	1
63	в настоящее время	3	1
64	нужно иметь в	1	1
65	более или менее	2	1
66	этот случай встречается	1	1
67	есть и другие	2	1
68	то что в	2	1
69	в этом отношении	1	1
70	так как эти	1	1
71	с того что	2	1
72	оно как бы	1	1
73	правильнее было бы	1	1
74	можно сказать что	1	1
75	животных и т	1	1
76	в поле или	1	1
77	далеко не все	3	1
78	по существу не	1	1
79	или во всяком	1	1
80	т д с	1	1
81	между собой и	1	1
82	то время как	3	1
83	которые таким образом	1	1
84	в какой степени	1	1
85	как мы увидим	4	1
86	в научной литературе	1	1
87	в церковь и	1	1
88	но так как	1	1
89	могут рассматриваться как	1	1
90	там где есть	1	1
91	во всяком случае	2	1
92	в тех случаях	2	1
93	и таким образом	2	1
94	с другой стороны	4	1
95	один из них	1	1
96	бы пойти в	1	1
97	бы совсем не	1	1
