N	2gram	Vinokur_St_1	VerxiiNi
1	и в	44	26
2	таким образом	7	22
3	с тем	1	18
4	в этом	21	15
5	вместе с	1	15
6	точки зрения	11	13
7	как бы	4	12
8	в том	36	11
9	из этих	6	10
10	не только	18	10
11	и с	3	10
12	может быть	15	10
13	в области	14	9
14	так как	5	9
15	но и	10	9
16	что в	30	9
17	но не	3	8
18	и у	2	8
19	с другой	9	8
20	и не	16	8
21	как на	1	8
22	но в	10	7
23	связанные с	3	7
24	но все	4	7
25	из них	8	7
26	том что	29	7
27	потому что	6	7
28	в эпоху	2	7
29	к нему	2	7
30	с одной	3	7
31	то что	18	7
32	а с	3	7
33	одной стороны	2	7
34	того же	3	6
35	представление о	4	6
36	все же	8	6
37	все эти	5	6
38	в себе	2	6
39	всяком случае	6	6
40	с точки	8	6
41	в отношении	9	6
42	к тому	1	6
43	так и	9	6
44	о том	17	6
45	в конце	3	6
46	что и	6	6
47	несмотря на	2	6
48	и потому	2	6
49	все это	5	6
50	во всяком	6	6
51	отношение к	2	5
52	сих пор	7	5
53	и к	1	5
54	лишь в	3	5
55	по крайней	2	5
56	не имеет	4	5
57	того чтобы	11	5
58	никогда не	5	5
59	для того	10	5
60	образом в	1	5
61	в его	9	5
62	крайней мере	2	5
63	до сих	7	5
64	а не	16	5
65	и для	3	5
66	так же	5	5
67	одной из	1	5
68	том числе	2	5
69	в котором	5	4
70	то же	5	4
71	при жизни	1	4
72	в течение	1	4
73	целый ряд	2	4
74	в самом	7	4
75	в этой	11	4
76	и по	5	4
77	что все	2	4
78	то есть	2	4
79	должен был	2	4
80	он не	2	4
81	далеко не	1	4
82	и тогда	2	4
83	в которых	5	4
84	в то	9	4
85	очень мало	3	4
86	в нем	5	4
87	а в	17	4
88	числе и	2	4
89	что оно	3	4
90	и что	4	4
91	и только	3	4
92	только в	10	4
93	на этот	3	4
94	не может	8	4
95	из которых	1	4
96	в так	1	4
97	и от	1	4
98	в этих	2	4
99	во время	3	4
100	что он	10	4
101	в виде	3	4
102	же как	3	3
103	большей частью	1	3
104	если в	2	3
105	к сожалению	3	3
106	в своем	2	3
107	в которой	4	3
108	что это	4	3
109	так или	2	3
110	и те	2	3
111	при этом	2	3
112	верхом и	1	3
113	всегда и	1	3
114	и при	1	3
115	оказывается что	1	3
116	тем не	2	3
117	если бы	9	3
118	не менее	5	3
119	как о	2	3
120	к концу	2	3
121	в других	2	3
122	и о	1	3
123	с самого	1	3
124	ясно что	10	3
125	можно сказать	1	3
126	того что	9	3
127	но с	3	3
128	хотя бы	6	3
129	в качестве	4	3
130	так что	6	3
131	из которого	2	3
132	уже не	1	3
133	что эти	1	3
134	для него	6	3
135	в одном	1	3
136	к ним	1	3
137	случае не	2	3
138	и даже	5	3
139	или иначе	2	3
140	с ней	1	3
141	каждая из	1	3
142	с этой	3	3
143	и таким	1	3
144	в результате	3	3
145	у них	1	3
146	конце концов	1	3
147	отношению к	3	3
148	и другие	1	3
149	к этому	1	3
150	в таком	3	3
151	точно так	1	3
152	не должны	1	2
153	и это	2	2
154	его не	1	2
155	смотреть на	1	2
156	мы имеем	2	2
157	так чтобы	1	2
158	еще не	3	2
159	и на	1	2
160	бы то	1	2
161	с его	1	2
162	во всех	8	2
163	в новом	4	2
164	этого последнего	1	2
165	или иное	3	2
166	общего с	3	2
167	что именно	1	2
168	некоторые из	1	2
169	еще на	1	2
170	ни один	2	2
171	он в	1	2
172	на то	4	2
173	не могла	2	2
174	с именем	1	2
175	не как	1	2
176	то ни	1	2
177	на все	1	2
178	с целью	1	2
179	в глазах	1	2
180	в них	1	2
181	не всегда	2	2
182	но если	4	2
183	и сейчас	4	2
184	что о	3	2
185	которые в	2	2
186	не в	12	2
187	в россии	4	2
188	вплоть до	5	2
189	тогда когда	1	2
190	не могло	1	2
191	в разных	1	2
192	больше чем	2	2
193	же время	4	2
194	с одним	1	2
195	и является	1	2
196	и после	1	2
197	так например	7	2
198	этом отношении	7	2
199	не потому	1	2
200	начиная с	2	2
201	не могут	1	2
202	и другой	1	2
203	отличается от	1	2
204	той или	1	2
205	пор еще	1	2
206	ничего общего	3	2
207	но при	1	2
208	то или	3	2
209	можно только	1	2
210	для этого	2	2
211	на востоке	1	2
212	мысль о	1	2
213	в виду	1	2
214	с того	1	2
215	а также	2	2
216	в пользу	2	2
217	должно было	2	2
218	между тем	3	2
219	быть даже	1	2
220	еще только	1	2
221	быть и	2	2
222	по своей	2	2
223	тот же	1	2
224	положение в	1	2
225	со всеми	2	2
226	конечно не	2	2
227	уже в	2	2
228	в начале	3	2
229	свидетельствует о	2	2
230	одно из	2	2
231	за которые	1	2
232	или иной	1	2
233	и из	1	2
234	именно в	6	2
235	к которому	4	2
236	прежде всего	7	2
237	связано с	1	2
238	превращается в	2	2
239	не было	4	2
240	от подлинной	1	2
241	его смерти	1	2
242	и все	2	2
243	так называемой	2	2
244	в одно	1	2
245	если не	2	2
246	должна была	4	2
247	виде в	1	2
248	уже давно	1	2
249	чем все	1	2
250	по существу	2	2
251	никем не	2	2
252	что мы	5	2
253	тем и	1	2
254	при таком	2	2
255	о котором	2	2
256	и перед	2	2
257	в процессе	1	2
258	сказать что	7	2
259	к его	1	2
260	из этого	1	2
261	жизни и	5	2
262	можно назвать	2	2
263	как известно	1	1
264	вряд ли	5	1
265	можно говорить	1	1
266	этого в	1	1
267	речь идет	4	1
268	чтобы не	1	1
269	а между	1	1
270	самом деле	11	1
271	показаться что	1	1
272	это и	4	1
273	мере в	2	1
274	и есть	1	1
275	тем же	3	1
276	в первом	2	1
277	и до	1	1
278	и этот	1	1
279	особое положение	1	1
280	и могут	1	1
281	той же	5	1
282	их и	1	1
283	а как	2	1
284	далее в	2	1
285	мы не	2	1
286	существует что	1	1
287	бы и	4	1
288	этом не	1	1
289	в сущности	2	1
290	время как	2	1
291	совпадает с	2	1
292	очень давно	1	1
293	в ней	3	1
294	от всей	1	1
295	двух или	1	1
296	на них	1	1
297	за это	1	1
298	быть в	2	1
299	что его	1	1
300	в чем	3	1
301	к нам	1	1
302	в сторону	2	1
303	по отношению	3	1
304	что так	3	1
305	общего правила	1	1
306	что они	7	1
307	себя в	1	1
308	смотрел на	1	1
309	как по	1	1
310	идет о	2	1
311	материалом для	1	1
312	в одной	1	1
313	которыми можно	1	1
314	как в	13	1
315	как к	3	1
316	с их	1	1
317	это был	1	1
318	что касается	3	1
319	на человека	1	1
320	это тоже	1	1
321	которых является	1	1
322	от этого	2	1
323	то в	3	1
324	не приходится	1	1
325	а во-вторых	1	1
326	бы с	1	1
327	то время	2	1
328	чуть ли	2	1
329	в нашем	1	1
330	не обнаруживает	1	1
331	думать что	2	1
332	имеет для	1	1
333	если он	1	1
334	время и	1	1
335	но именно	2	1
336	времени эти	1	1
337	всех этих	2	1
338	в первую	2	1
339	объясняется и	1	1
340	он должен	2	1
341	дела не	1	1
342	в корне	1	1
343	и более	2	1
344	чтобы в	1	1
345	что она	4	1
346	том же	1	1
347	в одну	1	1
348	факт что	1	1
349	задний план	3	1
350	бы быть	1	1
351	а по	1	1
352	его в	2	1
353	входит в	1	1
354	это было	1	1
355	заключается в	4	1
356	было в	1	1
357	первую очередь	2	1
358	это не	8	1
359	было бы	17	1
360	в свой	2	1
361	к нашей	1	1
362	и смерти	1	1
363	ни в	3	1
364	о которых	1	1
365	соответствии с	1	1
366	в слове	5	1
367	как и	9	1
368	во внимание	1	1
369	ни с	3	1
370	чем в	3	1
371	на одну	1	1
372	эпохи с	1	1
373	зато в	2	1
374	она была	1	1
375	перед собой	2	1
376	особенно сильно	1	1
377	много таких	1	1
378	от своего	1	1
379	чтобы заполнить	1	1
380	в своей	6	1
381	что такое	1	1
382	интерес и	1	1
383	никто не	4	1
384	в такой	2	1
385	знает и	2	1
386	слова здесь	1	1
387	место в	1	1
388	должны были	1	1
389	одном из	1	1
390	но эта	1	1
391	в прямом	1	1
392	их в	2	1
393	однако в	1	1
394	не должно	1	1
395	по себе	1	1
396	даже в	3	1
397	этой области	5	1
398	всех их	1	1
399	случае в	4	1
400	iv и	1	1
401	но они	1	1
402	а иногда	2	1
403	трудно было	1	1
404	что с	2	1
405	из нас	1	1
406	и ясно	1	1
407	является лишь	1	1
408	дело не	4	1
409	того как	1	1
410	не по	3	1
411	над тем	2	1
412	судя по	2	1
413	казалось бы	1	1
414	ничего не	2	1
415	они являются	1	1
416	ставит себе	3	1
417	грех перед	1	1
418	за исключением	1	1
419	то у	1	1
420	другой стороны	7	1
421	это слово	4	1
422	к этим	1	1
423	бы по	1	1
424	не нужен	1	1
425	в сознании	2	1
426	для одной	1	1
427	только с	2	1
428	и делает	1	1
429	но даже	1	1
430	в каком	3	1
431	у нас	11	1
432	и далее	1	1
433	когда мы	1	1
434	могут быть	5	1
435	должны быть	3	1
436	и другим	1	1
437	всего что	1	1
438	и конечно	1	1
439	слова с	1	1
440	две разные	1	1
441	пустоту образовавшуюся	1	1
442	для себя	3	1
443	в количестве	1	1
444	без всякого	2	1
445	некоторые другие	1	1
446	в ее	4	1
447	данном случае	6	1
448	люди которые	3	1
449	только то	1	1
450	прямом смысле	1	1
451	традиции не	1	1
452	котором он	1	1
453	на путь	1	1
454	нужно было	2	1
455	чем у	2	1
456	том как	4	1
457	что от	2	1
458	между собой	1	1
459	стремление к	3	1
460	хотя это	1	1
461	против этого	1	1
462	лишь то	1	1
463	это объясняется	2	1
464	камня на	1	1
465	уже больше	1	1
466	и других	1	1
467	грамматики и	1	1
468	настоящее время	1	1
469	в глаза	1	1
470	притом в	1	1
471	после того	1	1
472	может не	2	1
473	времени в	1	1
474	и во	2	1
475	все в	2	1
476	каждом из	1	1
477	и лишь	1	1
478	тем или	3	1
479	указывает в	3	1
480	во втором	4	1
481	а потому	2	1
482	которые совершенно	1	1
483	во всей	1	1
484	не надо	2	1
485	совершенно неправильно	1	1
486	них в	1	1
487	виде эта	1	1
488	и об	7	1
489	что здесь	2	1
490	известно что	1	1
491	каком он	1	1
492	совсем не	2	1
493	этот вопрос	4	1
494	дело с	2	1
495	которым он	1	1
496	пор не	1	1
497	как нечто	1	1
498	еще и	2	1
499	и так	3	1
500	согласно которой	1	1
501	всех его	1	1
502	в уста	3	1
503	и его	8	1
504	чтобы найти	1	1
505	значение которое	1	1
506	указания на	1	1
507	и всякая	1	1
508	чтобы он	1	1
509	при помощи	2	1
510	в ином	1	1
511	который как	2	1
512	не так	1	1
513	себе в	1	1
514	и их	2	1
515	представить себе	1	1
516	не означает	1	1
517	могло бы	2	1
518	ценное чем	1	1
519	сами по	1	1
520	чтобы она	1	1
521	не для	2	1
522	с этими	1	1
523	у него	2	1
524	вообще можно	1	1
525	и никогда	1	1
526	как раз	4	1
527	тем что	5	1
528	вокруг его	1	1
529	характерны для	1	1
530	в очень	3	1
531	из двух	3	1
532	видно из	1	1
533	представляется в	1	1
534	не были	1	1
535	возможно что	3	1
536	тот который	1	1
537	а именно	3	1
538	что тот	1	1
539	такое же	1	1
540	из таких	1	1
541	соответствующее количество	1	1
542	или о	1	1
543	надо думать	1	1
544	в соответствии	1	1
545	притом не	1	1
546	по тем	1	1
547	о чем	1	1
548	на эту	4	1
549	нашей точки	1	1
550	именно не	1	1
551	эти особенности	1	1
552	с нашей	2	1
553	в момент	1	1
554	нет никаких	2	1
555	является его	1	1
556	их с	1	1
557	него в	1	1
558	ни на	2	1
559	тот факт	1	1
560	с этим	3	1
561	без труда	1	1
562	так называемая	3	1
563	в данном	14	1
564	и за	3	1
565	в той	6	1
566	и vii	1	1
567	смысле этого	2	1
568	которые по	1	1
