N	2gram	Vinokur_Ku_3	Marksizm
1	точки зрения	23	34
2	может быть	14	26
3	и не	10	26
4	не может	6	24
5	с точки	16	20
6	и в	23	19
7	и его	1	19
8	языка как	4	17
9	таким образом	9	17
10	в этом	16	16
11	как бы	5	15
12	в процессе	3	14
13	языка в	6	14
14	как мы	5	13
15	языка и	2	13
16	прежде всего	9	13
17	как и	5	12
18	социального общения	1	12
19	и пр	3	12
20	если мы	7	11
21	так и	6	11
22	связи с	6	11
23	и для	1	11
24	самом деле	14	10
25	в слове	4	10
26	в самом	13	10
27	лишь в	8	9
28	только в	6	9
29	для него	1	9
30	в результате	3	9
31	на материале	2	8
32	бы то	1	8
33	все же	5	8
34	не только	17	8
35	без исключения	1	8
36	при этом	6	8
37	о языке	6	8
38	то ни	1	8
39	до сих	8	8
40	но и	3	8
41	в контексте	1	8
42	сих пор	8	8
43	то что	4	8
44	язык как	1	7
45	в ее	4	7
46	точка зрения	4	7
47	но в	2	7
48	все эти	7	7
49	и те	1	7
50	то же	6	7
51	в каждом	1	7
52	слова как	2	7
53	а не	11	7
54	систему языка	2	7
55	в связи	5	7
56	так же	2	7
57	отнюдь не	3	6
58	кроме того	2	6
59	так сказать	2	6
60	мы не	3	6
61	и того	2	6
62	ничего не	6	6
63	в пределах	2	6
64	и здесь	2	6
65	в его	11	6
66	в том	22	6
67	является не	1	6
68	с помощью	6	6
69	в смысле	1	6
70	другой стороны	3	6
71	того же	4	6
72	отличие от	2	5
73	конечно не	2	5
74	по преимуществу	3	5
75	входит в	1	5
76	рядом с	1	5
77	одного и	2	5
78	в отличие	2	5
79	не в	5	5
80	того чтобы	11	5
81	общения и	1	5
82	те же	7	5
83	языковых форм	1	5
84	этот вопрос	3	5
85	ясно что	4	5
86	в начале	1	5
87	вовсе не	5	5
88	с другой	7	5
89	за пределы	2	5
90	именно в	3	5
91	мы знаем	1	5
92	и потому	1	5
93	является слово	1	5
94	хотя бы	9	5
95	к этому	1	5
96	во всяком	2	5
97	что слово	3	4
98	вопрос о	11	4
99	и на	1	4
100	как такой	1	4
101	науки о	1	4
102	нет и	1	4
103	чем же	2	4
104	как в	4	4
105	не будем	5	4
106	и тот	2	4
107	лишь с	4	4
108	здесь мы	1	4
109	не будет	1	4
110	было бы	16	4
111	не столько	4	4
112	мысли и	2	4
113	не менее	12	4
114	по себе	6	4
115	в отношении	3	4
116	в ней	3	4
117	в языке	7	4
118	язык есть	4	4
119	еще не	9	4
120	слово как	1	4
121	от того	5	4
122	для того	12	4
123	далеко не	5	4
124	как же	3	4
125	с этим	1	4
126	в данном	7	4
127	что же	5	4
128	дело идет	1	4
129	в лингвистике	1	4
130	в условиях	2	4
131	тот же	6	4
132	а в	5	4
133	отношении к	1	4
134	между ними	1	4
135	и эта	1	4
136	сказать что	7	4
137	что в	13	4
138	формы и	3	3
139	вопрос мы	1	3
140	на самом	3	3
141	и есть	5	3
142	между двумя	1	3
143	не имеют	1	3
144	в сущности	4	3
145	внутри этой	1	3
146	по отношению	3	3
147	один и	2	3
148	целый ряд	4	3
149	и как	2	3
150	и к	3	3
151	в первом	5	3
152	ее целом	1	3
153	в которой	1	3
154	к другому	2	3
155	основных проблем	1	3
156	этот процесс	1	3
157	понимания и	1	3
158	в корне	2	3
159	но все	2	3
160	этих форм	2	3
161	его в	2	3
162	он не	3	3
163	он является	1	3
164	том что	11	3
165	в своей	4	3
166	и ее	1	3
167	в котором	2	3
168	более того	1	3
169	речи в	7	3
170	в то	3	3
171	к этим	1	3
172	русской лингвистической	1	3
173	все без	1	3
174	для всего	1	3
175	не имеет	3	3
176	на язык	1	3
177	же время	1	3
178	в области	14	3
179	не могут	5	3
180	же самое	1	3
181	должны быть	1	3
182	не есть	3	3
183	в дальнейшем	2	3
184	понятно что	1	3
185	сводится к	1	3
186	одного из	1	3
187	можно сказать	2	3
188	с другими	2	3
189	того что	11	3
190	быть и	1	3
191	одной из	1	3
192	нуждается в	1	3
193	в какой	3	3
194	и действительно	3	3
195	между тем	4	3
196	не дает	2	3
197	в систему	1	3
198	языковой системы	1	3
199	в целях	1	3
200	или иной	7	3
201	в каком	3	3
202	не было	4	3
203	на этот	2	3
204	все это	2	3
205	к другой	2	3
206	xix века	3	3
207	смысле этого	2	3
208	языковой формы	1	3
209	и формы	1	3
210	слова и	7	3
211	этом случае	4	3
212	и от	1	3
213	над языком	1	3
214	язык является	1	3
215	она может	2	3
216	слово в	3	3
217	и при	2	3
218	речи и	1	3
219	совершенно не	5	3
220	мы должны	3	3
221	первом случае	2	3
222	это и	3	3
223	говорили о	1	2
224	ту же	1	2
225	языка с	1	2
226	же как	1	2
227	в объяснении	1	2
228	связана с	1	2
229	делают его	1	2
230	той же	3	2
231	содержания в	2	2
232	таком случае	2	2
233	для нашей	4	2
234	зависимости от	8	2
235	свою очередь	1	2
236	быть в	2	2
237	в чем	5	2
238	то мы	3	2
239	что язык	1	2
240	не все	2	2
241	не просто	2	2
242	сама по	2	2
243	конечно совершенно	1	2
244	что во	1	2
245	в одной	1	2
246	поэтому-то и	1	2
247	как к	2	2
248	в своем	4	2
249	мы тем	1	2
250	то в	3	2
251	идет конечно	1	2
252	друга в	1	2
253	бы и	3	2
254	формы в	1	2
255	в нашем	7	2
256	из этих	5	2
257	в себе	1	2
258	как он	2	2
259	если он	1	2
260	выделения и	1	2
261	как оно	1	2
262	тем не	9	2
263	должна быть	3	2
264	в понимании	1	2
265	не как	2	2
266	одной и	1	2
267	можно было	11	2
268	что все	2	2
