N	3gram	Tiupa_Anal_3	PoTuStor
1	с точки зрения	2	6
2	по ту сторону	1	4
3	на самом деле	1	4
4	в этом смысле	1	3
5	до сих пор	1	3
6	по крайней мере	4	3
7	во всяком случае	2	3
8	не может быть	1	3
9	можно сказать что	2	3
10	в большинстве случаев	1	3
11	а потому и	1	2
12	и может быть	1	2
13	в самом деле	1	2
14	не могут быть	1	2
15	о том что	5	2
16	в конечном счете	2	2
17	не нуждается в	1	2
18	если бы он	1	1
19	я и мир	1	1
20	и того же	3	1
21	моменты своей жизни	1	1
22	ничего не говорит	1	1
23	всех без исключения	3	1
24	уже не может	1	1
25	дело в том	2	1
26	из этих трех	1	1
27	подобно тому как	2	1
28	одного и того	3	1
29	герой нашего времени	1	1
30	в этом отношении	3	1
31	со всех сторон	1	1
32	том что мы	1	1
33	в данном случае	3	1
34	с одной стороны	2	1
35	в связи с	1	1
36	в себя и	1	1
37	в применении к	1	1
38	а с другой	1	1
39	имеем дело с	1	1
40	всяком случае не	1	1
41	его за пределы	1	1
42	в свое время	2	1
43	в том что	7	1
44	и к ним	1	1
45	так и в	1	1
46	не говорит и	1	1
47	прежде всего к	1	1
48	и теперь в	1	1
49	и прежде всего	2	1
50	что иное как	1	1
51	его мысли и	1	1
52	и в итоге	1	1
53	не что иное	1	1
54	для того чтобы	1	1
55	обратим внимание на	1	1
56	я и его	1	1
57	той или иной	3	1
