N	3gram	Berdyaev_M_2	Myslijsy
1	по отношению к	2	8
2	в том что	2	7
3	не может быть	8	5
4	о том что	2	5
5	а между тем	1	4
6	до сих пор	3	4
7	сам по себе	1	4
8	и в этом	3	4
9	только тогда когда	1	4
10	на то что	1	4
11	для того чтобы	4	4
12	на самом деле	1	3
13	может быть назван	2	3
14	с точки зрения	1	3
15	от того что	3	3
16	потому что в	1	3
17	что иное как	3	2
18	подобно тому как	2	2
19	если бы не	1	2
20	я представляю себе	1	2
21	между тем как	1	2
22	не было в	1	2
23	после того как	2	2
24	что и в	4	2
25	не что иное	3	2
26	независимо от его	1	2
27	а следовательно и	1	1
28	она и есть	1	1
29	друга потому что	1	1
30	к ближнему и	1	1
31	он сам не	1	1
32	к другу и	2	1
33	можно видеть на	1	1
34	а не в	2	1
35	и той же	2	1
36	но так как	1	1
37	лишь один из	1	1
38	а не из	1	1
39	и во многих	1	1
40	во многих других	1	1
41	и в той	1	1
42	то я не	1	1
43	и быть может	1	1
44	но и в	1	1
45	и та же	2	1
46	а может быть	1	1
47	в этом отношении	1	1
48	не доходит до	2	1
49	и к нему	1	1
50	человеческого духа и	1	1
51	но и мир	1	1
52	может быть и	2	1
53	в такой степени	2	1
54	нас в этом	1	1
55	смысле этого слова	1	1
56	не в ее	1	1
57	друг друга до	1	1
58	смотрели бы на	1	1
59	с которым это	1	1
60	то стало быть	1	1
61	духа так как	1	1
62	один из моментов	1	1
63	в себе всю	1	1
64	так как нет	1	1
65	друг к другу	5	1
66	одна и та	2	1
67	да и нет	2	1
68	на что не	1	1
69	потому только что	1	1
70	сих пор не	1	1
71	есть не что	3	1
72	на наших глазах	1	1
73	нет ничего кроме	1	1
74	друг друга потому	1	1
75	может быть названо	1	1
76	и не могу	1	1
77	как теперь и	1	1
78	что это не	2	1
79	есть одна и	1	1
80	к тому что	3	1
81	одной и той	2	1
82	только в этом	1	1
83	то же что	1	1
84	такой степени как	1	1
85	любви к ближнему	2	1
86	как и в	2	1
87	в мире для	1	1
88	что он в	1	1
