N	4gram	Vinokur_St_2	Myshleni
1	заключается в том что	1	4
2	одно и то же	1	3
3	в том что она	1	2
4	и вместе с тем	1	2
5	той мере в какой	2	2
6	точно так же как	1	2
7	в той мере в	2	2
8	в том что он	2	2
9	одним и тем же	1	2
10	оставляет никаких сомнений в	1	1
11	не оставляет никаких сомнений	1	1
12	в пользу того что	1	1
13	для того чтобы показать	1	1
14	до сих пор в	1	1
15	в том что в	2	1
16	в этом случае и	1	1
17	внимание на то что	1	1
18	том что он не	2	1
19	только потому что они	1	1
20	но вместе с тем	1	1
21	сомнений в том что	1	1
