N	2gram	Berdyaev_O_1	Myslijsy
1	потому что	9	46
2	в том	5	32
3	и в	19	30
4	может быть	11	28
5	не только	11	21
6	но и	13	19
7	того что	3	18
8	том что	2	18
9	то что	5	18
10	не есть	2	17
11	что в	4	17
12	в себе	3	16
13	по себе	2	16
14	и не	13	15
15	не в	11	15
16	в сознании	1	15
17	а не	11	15
18	что и	2	13
19	так как	2	13
20	если бы	1	12
21	а в	5	12
22	так и	2	11
23	этого слова	1	11
24	есть уже	1	11
25	как в	1	10
26	в этом	12	10
27	в душе	2	10
28	как и	6	10
29	и что	1	10
30	мы не	1	9
31	в нем	10	9
32	было бы	3	9
33	для него	5	9
34	и то	2	8
35	в ней	1	8
36	в самом	5	8
37	от того	1	8
38	что не	4	8
39	есть не	1	7
40	но не	1	7
41	с тем	2	7
42	и без	1	7
43	тем что	2	7
44	так что	2	7
45	вовсе не	1	7
46	смысле этого	1	7
47	например в	1	6
48	с ним	3	6
49	не имеет	2	6
50	указывает на	1	6
51	что он	3	6
52	уже не	1	6
53	из них	1	6
54	а потому	1	6
55	но оно	1	6
56	не может	4	6
57	образ и	1	6
58	что только	1	6
59	но это	1	6
60	человека и	10	5
61	сам по	1	5
62	еще не	3	5
63	в своем	2	5
64	и как	1	5
65	есть для	1	5
66	думать что	1	5
67	к одному	1	5
68	заключает в	1	5
69	в них	1	5
70	к ней	2	5
71	не могут	3	5
72	мысль о	2	5
73	уже в	2	5
74	одно из	2	5
75	должно быть	2	5
76	сказать что	2	5
77	тем же	1	4
78	не все	2	4
79	не было	9	4
80	что это	1	4
81	он не	7	4
82	в котором	1	4
83	того как	1	4
84	и его	4	4
85	для того	3	4
86	и это	1	4
87	в его	7	4
88	один из	1	4
89	что для	2	4
90	для человека	2	4
91	и потому	2	4
92	все это	6	4
93	и от	3	4
94	была бы	1	4
95	все что	3	4
96	и есть	3	3
97	бы ни	1	3
98	и на	2	3
99	что она	1	3
100	в силу	1	3
101	в человеческой	1	3
102	мысли как	1	3
103	в каждом	1	3
104	что все	2	3
105	его в	2	3
106	и тогда	1	3
107	как бы	3	3
108	того чтобы	4	3
109	могут быть	3	3
110	том как	1	3
111	быть может	3	3
112	со стороны	1	3
113	жизни не	1	3
114	это было	3	3
115	к нему	3	3
116	мысли не	1	3
117	же и	1	3
118	никто не	3	3
119	прежде всего	9	3
120	само по	1	3
121	в одно	1	3
122	связь с	1	3
123	в человеке	9	3
124	то к	2	3
125	одно только	1	3
126	не существует	1	3
127	к одной	1	3
128	и все	10	3
129	в которой	2	3
130	к этому	2	3
131	о любви	2	2
132	самом деле	1	2
133	но тем	1	2
134	и до	1	2
135	все в	4	2
136	себе что	1	2
137	вопрос об	1	2
138	одним словом	1	2
139	то он	1	2
140	в новом	1	2
141	отношение к	5	2
142	существование в	1	2
143	что они	2	2
144	человек может	1	2
145	все же	2	2
146	на человека	1	2
147	та же	1	2
148	есть дело	1	2
149	в этой	5	2
150	человеке и	5	2
151	на то	1	2
152	человек не	7	2
153	и почему	1	2
154	из него	1	2
155	людей и	1	2
156	человеческой душе	1	2
157	в своей	2	2
158	мысли и	3	2
159	что есть	2	2
160	она не	1	2
161	или лучше	1	2
162	в разных	1	2
163	природы в	2	2
164	этом отношении	1	2
165	от этого	1	2
166	его с	1	2
167	в нас	1	2
168	и самое	1	2
169	и о	2	2
170	в ее	2	2
171	с каким	1	2
172	лучше сказать	1	2
173	свою мысль	1	2
174	и с	2	2
175	о том	3	2
176	его жизни	1	2
177	от него	7	2
178	природы и	2	2
179	в форме	1	2
180	частью в	2	2
181	по содержанию	1	2
182	и после	1	2
183	мысли есть	1	2
184	был бы	1	2
185	в одном	1	2
186	у него	22	2
187	почему не	1	2
188	в других	2	2
189	и даже	1	2
190	что человек	3	2
191	только один	1	2
192	а с	1	2
193	притом не	1	2
194	ко всем	2	2
195	он говорит	1	2
196	что же	2	2
197	что как	1	2
198	быть не	1	2
199	есть одно	1	2
200	бы в	1	2
201	отношении к	1	2
202	в свой	1	2
203	нему как	1	2
204	в свое	1	2
205	жизни и	1	2
206	народ в	1	1
207	отношения к	1	1
208	в строгом	1	1
209	есть самая	1	1
210	на самом	1	1
211	чего не	1	1
212	когда человек	1	1
213	человеческой души	6	1
214	должна быть	1	1
215	сказать с	1	1
216	его не	2	1
217	человеческой природы	20	1
218	в первый	1	1
219	вопрос о	10	1
220	чтобы не	1	1
221	можно ожидать	1	1
222	в сущности	1	1
223	не вполне	1	1
224	сложнее и	2	1
225	и он	8	1
226	было до	1	1
227	не иметь	1	1
228	он был	8	1
229	он сам	4	1
230	с его	4	1
231	так для	1	1
232	совсем не	2	1
233	себе и	1	1
234	жизни все	3	1
235	и чем	1	1
236	заключено в	1	1
237	и я	1	1
238	в истории	2	1
239	своей и	1	1
240	хотя и	2	1
