N	2gram	Berdyaev_O_1	BTomashe
1	у нас	1	3
2	и не	13	2
3	в ней	1	2
4	можно было	1	2
5	видеть в	1	2
6	все это	6	2
7	во всяком	1	1
8	не все	2	1
9	вопрос о	10	1
10	совершенно не	1	1
11	в своей	2	1
12	всяком случае	1	1
13	и о	2	1
14	до конца	7	1
15	и ее	3	1
16	не вполне	1	1
17	в эпоху	1	1
18	и в	19	1
19	будто бы	1	1
20	так и	2	1
21	что все	2	1
22	же не	1	1
23	и нет	2	1
24	не было	9	1
25	должна быть	1	1
26	было бы	3	1
27	было и	1	1
28	и потому	2	1
29	что опять-таки	1	1
30	полно не	1	1
31	чем на	3	1
32	все же	2	1
33	его не	2	1
34	и более	1	1
35	прежде всего	9	1
36	что в	4	1
37	к ней	2	1
38	всего в	2	1
39	еще не	3	1
40	как будто	1	1
41	не только	11	1
42	и на	2	1
43	на самом	1	1
44	а не	11	1
