N	3gram	Medvedev_F_3	SlovoVZh
1	по отношению к	3	11
2	не может быть	14	7
3	можно сказать что	1	5
4	дело в том	2	4
5	в том что	3	4
6	и не может	4	3
7	и по отношению	1	3
8	тем не менее	2	3
9	бы то ни	4	3
10	этой точки зрения	1	3
11	до сих пор	1	3
12	то ни было	4	3
13	в художественном произведении	3	3
14	это не так	1	2
15	в такой же	1	2
16	имеем в виду	1	2
17	на самом деле	12	2
18	с другой стороны	5	2
19	мы все время	1	2
20	же самое справедливо	1	2
21	то же самое	3	2
22	с точки зрения	14	2
23	в зависимости от	5	2
24	до известной степени	2	2
25	мы можем сказать	1	2
26	но отнюдь не	1	2
27	справедливо и для	2	2
28	только в процессе	2	2
29	в отношении к	1	2
30	самое справедливо и	1	2
31	в данном случае	4	2
32	в настоящее время	1	2
33	формы и содержания	2	2
34	в жизни и	1	2
35	с одной стороны	1	2
36	тех или иных	1	1
37	между формой и	1	1
38	зависимости от того	1	1
39	не перестает быть	1	1
40	и является задачей	1	1
41	так именно и	1	1
42	входит в высказывание	1	1
43	но все же	1	1
44	каких бы то	1	1
45	один и тот	1	1
46	была бы разрешена	1	1
47	каково бы оно	1	1
48	хотя бы не	1	1
49	себе в своей	1	1
50	здесь имеет место	1	1
51	произведения и его	1	1
52	из словаря а	1	1
53	художественное произведение если	1	1
54	ровно ничего не	2	1
55	бы оно ни	1	1
56	все более и	1	1
57	какой бы то	1	1
58	произведение если же	1	1
59	одним и тем	2	1
60	во всяком случае	6	1
61	разрешена если бы	1	1
62	не из словаря	1	1
63	мы не найдем	1	1
64	без того чтобы	1	1
65	если бы удалось	1	1
66	в самом деле	4	1
67	в этом смысле	2	1
68	самом же деле	2	1
69	свое выражение в	1	1
70	в кругозор говорящих	1	1
71	данной социальной группы	2	1
72	формой и содержанием	1	1
73	нам кажется что	2	1
74	и выбор формы	1	1
75	между тем как	1	1
76	не могут выйти	1	1
77	мы убедились что	1	1
78	в нем и	2	1
79	в частности в	1	1
80	оно ни было	1	1
81	убедиться в этом	1	1
82	выбор содержания и	1	1
83	но уже в	2	1
84	если же он	1	1
85	она находит в	1	1
86	равно как и	2	1
87	сам по себе	1	1
88	сами по себе	2	1
89	ни в коем	1	1
90	но для этого	1	1
91	не может опираться	1	1
92	художественном произведении в	1	1
93	выражение она находит	1	1
94	же время не	1	1
95	опираться только на	1	1
96	оставаясь в пределах	1	1
97	на самом же	2	1
98	в истории литературы	3	1
99	о том что	1	1
100	только то что	2	1
101	в этом отношении	3	1
102	с самого начала	1	1
103	обстоит дело и	1	1
104	такой же степени	1	1
105	не в такой	1	1
106	в определенную эпоху	1	1
107	более и более	1	1
108	можно было бы	1	1
109	же справедливо и	1	1
110	в поэтическом произведении	1	1
111	более того если	1	1
112	в высказывание как	1	1
113	то же время	7	1
114	подобно тому как	4	1
115	не может стать	2	1
116	высказывания и его	1	1
117	можно выставить обратное	1	1
118	мы имеем в	1	1
119	в противном случае	1	1
120	в лучшем случае	1	1
121	сводится только к	1	1
122	по себе в	1	1
123	со всех сторон	1	1
124	в процессе этого	2	1
125	может быть только	2	1
126	здесь вовсе не	1	1
127	формы в поэзии	1	1
128	в то же	7	1
129	говорит о том	1	1
130	таким образом самая	1	1
131	содержания и выбор	1	1
132	в коем случае	1	1
133	как о материале	1	1
134	словаря а из	1	1
135	бы разрешена если	1	1
136	слова и его	2	1
137	может быть понято	4	1
138	как не может	1	1
139	в такой степени	1	1
140	того чтобы не	1	1
141	и тогда когда	1	1
142	в значительной степени	1	1
143	сама по себе	1	1
144	и в нем	1	1
145	место в творчестве	1	1
146	чтобы убедиться в	1	1
147	может опираться только	1	1
148	так же как	1	1
149	в двух направлениях	1	1
150	не совпадает с	1	1
151	так и о	1	1
152	за его пределы	1	1
153	она не может	1	1
154	как и в	1	1
155	и поэтическое произведение	1	1
156	и тем же	2	1
157	мы увидим что	2	1
158	в этом достаточно	1	1
159	в высшей степени	2	1
160	и на этом	1	1
161	в том же	1	1
162	свое выражение она	1	1
163	и тот же	1	1
