N	2gram	Voloshinov_1	VerxiiNi
1	и в	13	26
2	таким образом	6	22
3	в этом	2	15
4	вместе с	1	15
5	точки зрения	7	13
6	как бы	6	12
7	в том	2	11
8	не только	6	10
9	может быть	8	10
10	связи с	1	9
11	в области	2	9
12	так как	3	9
13	но и	3	9
14	что в	3	9
15	но не	1	8
16	в общем	2	8
17	в индии	1	8
18	и у	1	8
19	с другой	2	8
20	и не	8	8
21	но в	4	7
22	связанные с	2	7
23	том что	2	7
24	потому что	1	7
25	в эпоху	1	7
26	к нему	1	7
27	с одной	2	7
28	то что	6	7
29	одной стороны	2	7
30	того же	1	6
31	представление о	1	6
32	все же	5	6
33	все эти	2	6
34	в себе	3	6
35	с точки	5	6
36	в отношении	2	6
37	к тому	2	6
38	так и	3	6
39	и т.д	5	6
40	в конце	1	6
41	несмотря на	2	6
42	все это	4	6
43	мы должны	6	6
44	отношение к	1	5
45	и к	2	5
46	в мире	1	5
47	лишь в	4	5
48	или менее	1	5
49	не имеет	2	5
50	того чтобы	1	5
51	никогда не	3	5
52	для того	1	5
53	в его	7	5
54	а не	2	5
55	и для	3	5
56	так же	2	5
57	одной из	1	5
58	более или	1	5
59	то же	4	4
60	в течение	2	4
61	в самом	2	4
62	учение о	2	4
63	в этой	1	4
64	далеко не	1	4
65	и тогда	1	4
66	в которых	1	4
67	в то	1	4
68	в нем	2	4
69	а в	2	4
70	и что	1	4
71	только в	6	4
72	и вместе	1	4
73	не может	8	4
74	что он	1	4
75	в виде	1	4
76	же как	1	3
77	не вполне	1	3
78	к сожалению	2	3
79	в своем	1	3
80	и как	1	3
81	в которой	3	3
82	и если	1	3
83	при этом	2	3
84	подойти к	2	3
85	и при	2	3
86	тем не	1	3
87	если бы	2	3
88	не менее	2	3
89	как о	1	3
90	и о	1	3
91	с самого	2	3
92	в значительной	1	3
93	хотя бы	5	3
94	для него	2	3
95	в одном	3	3
96	в связи	2	3
97	с этой	2	3
98	отношению к	3	3
99	к этому	1	3
100	одним из	1	2
101	связана с	3	2
102	и это	1	2
103	мы имеем	1	2
104	еще не	1	2
105	с его	1	2
106	или иное	1	2
107	общего с	3	2
108	и наконец	5	2
109	ни один	3	2
110	на то	1	2
111	не как	3	2
112	из него	1	2
113	состоит в	1	2
114	его можно	1	2
115	людей и	1	2
116	те же	2	2
117	на все	1	2
118	в них	2	2
119	творца и	1	2
120	не всегда	1	2
121	но если	1	2
122	не в	3	2
123	вплоть до	1	2
124	самого начала	2	2
125	тех пор	4	2
126	в разных	1	2
127	в самой	1	2
128	же время	1	2
129	с одним	1	2
130	и является	2	2
131	этом отношении	1	2
132	ему в	1	2
133	и здесь	1	2
134	с телом	2	2
135	ничего общего	3	2
136	значительной мере	1	2
137	но при	1	2
138	и сами	1	2
139	то или	1	2
140	в образе	1	2
141	особенно в	1	2
142	связанных с	2	2
143	не исчерпывается	2	2
144	для этого	1	2
145	в виду	1	2
146	от тела	1	2
147	психической жизни	1	2
148	а также	2	2
149	должно было	1	2
150	между тем	2	2
151	вслед за	2	2
152	наконец в	2	2
153	быть и	1	2
154	по своей	1	2
155	один из	1	2
156	тот же	2	2
157	иной характер	1	2
158	со всеми	1	2
159	для всех	1	2
160	конечно не	1	2
161	уже в	2	2
162	в начале	1	2
163	одно из	1	2
164	мы можем	4	2
165	к которому	1	2
166	прежде всего	9	2
167	превращается в	3	2
168	не было	1	2
169	и все	3	2
170	среди них	1	2
171	если не	1	2
172	связь с	1	2
173	и особенно	1	2
174	что мы	1	2
175	же самое	1	2
176	сознании и	1	2
177	при таком	1	2
178	пути к	2	2
179	но когда	1	2
180	только что	1	2
181	связанный с	1	2
182	в процессе	5	2
183	сказать что	1	2
184	этой точки	1	2
185	себя как	1	1
186	как известно	1	1
187	вряд ли	3	1
188	можно говорить	1	1
189	в этот	2	1
190	и через	1	1
191	смысле слова	2	1
192	самом деле	3	1
193	это и	1	1
194	пусть эта	1	1
195	но тем	1	1
196	и есть	1	1
197	которое мы	2	1
198	произведений которые	1	1
199	существующего в	1	1
200	и до	1	1
201	и этот	2	1
202	мы уже	2	1
203	а как	2	1
204	мы не	4	1
205	сложнее и	1	1
206	не совсем	1	1
207	благодаря трудам	1	1
208	в ней	2	1
209	связи со	1	1
210	в широком	1	1
211	в чем	2	1
212	художественном творчестве	1	1
213	природы и	1	1
214	помимо этого	2	1
215	эта особенность	1	1
216	по отношению	3	1
217	с духом	1	1
218	отличие от	1	1
219	что они	2	1
220	один и	1	1
221	материалом для	2	1
222	в одной	1	1
223	эта связь	1	1
224	как в	2	1
225	единиц в	1	1
226	как к	1	1
227	с их	1	1
228	что касается	1	1
229	и превращается	1	1
230	его к	1	1
231	от этого	2	1
232	и отчасти	2	1
233	более детальному	1	1
234	не приходится	1	1
235	чуть ли	1	1
236	его может	1	1
237	думать что	2	1
238	что к	1	1
239	элементов в	1	1
240	и тот	1	1
241	сливаются в	1	1
242	если он	1	1
243	вследствие этого	1	1
244	как совершенно	1	1
245	соприкасается с	1	1
246	в нашей	1	1
247	к одному	3	1
248	порвать с	1	1
249	и более	1	1
250	эта способность	1	1
251	которые только	2	1
252	на этом	1	1
253	только некоторые	1	1
254	что она	1	1
255	что мир	1	1
256	бы быть	1	1
257	говорить не	1	1
258	его в	1	1
259	входит в	2	1
260	в музыке	5	1
261	заключается в	1	1
262	есть не	2	1
263	было бы	4	1
264	между отдельными	1	1
265	явствует что	1	1
266	о которых	1	1
267	и произошло	1	1
268	она и	1	1
269	соответствии с	2	1
270	как и	3	1
271	должно быть	1	1
272	к тем	1	1
273	от своего	2	1
274	в своей	4	1
275	что такое	1	1
276	никто не	1	1
277	в такой	1	1
278	тяготением к	2	1
279	телом и	2	1
280	в их	3	1
281	однако этот	1	1
282	ничего в	1	1
283	в отличие	1	1
284	перекинуть мост	1	1
285	их в	1	1
286	не должно	1	1
287	необходимо чтобы	1	1
288	по себе	1	1
289	на три	1	1
290	является лишь	1	1
291	того как	1	1
292	иметь в	1	1
293	проникают в	1	1
294	которые и	1	1
295	за исключением	1	1
296	другой стороны	2	1
297	это слово	1	1
298	бы по	1	1
299	в сознании	4	1
300	только с	1	1
301	но даже	1	1
302	тела и	3	1
303	и несколько	1	1
304	когда мы	1	1
305	могут быть	2	1
306	лежит в	1	1
307	не знаем	1	1
308	должны быть	1	1
309	этого и	1	1
310	в каждой	1	1
311	для себя	2	1
312	с ее	1	1
313	правда тот	1	1
314	но далеко	1	1
315	в ее	3	1
316	данном случае	2	1
317	не произойдет	1	1
318	только то	1	1
319	в себя	1	1
320	роль в	2	1
321	материи и	1	1
322	сознании не	1	1
323	найти в	1	1
324	из одного	1	1
325	по мере	1	1
326	но такая	1	1
327	похожим на	3	1
328	и должно	2	1
329	и других	1	1
330	грамматики и	2	1
331	другими словами	1	1
332	времени в	1	1
333	и своей	1	1
334	развития не	1	1
335	выбор и	2	1
336	жизни он	1	1
337	в которую	2	1
338	а у	1	1
339	в ряд	2	1
340	на одном	1	1
341	во всей	2	1
342	и следовательно	2	1
343	совсем не	1	1
344	мы видим	2	1
345	при всяком	1	1
346	с ними	2	1
347	этот вопрос	1	1
348	еще и	4	1
349	и ее	2	1
350	с момента	1	1
351	и его	12	1
352	не имеющие	1	1
353	не можем	1	1
354	только на	1	1
355	языка как	3	1
356	себе в	1	1
357	и их	7	1
358	неизменная и	1	1
359	привела к	1	1
360	пустоту и	1	1
361	и никогда	1	1
362	с системой	1	1
363	тем что	2	1
364	явления природы	1	1
365	но одно	2	1
366	в догматической	1	1
367	на словах	1	1
368	и пр	7	1
369	она является	2	1
370	и самый	1	1
371	сдвиг в	1	1
372	всей своей	2	1
373	на эту	1	1
374	с помощью	2	1
375	нет ничего	2	1
376	эти слова	1	1
377	с этим	3	1
378	и глубоко	1	1
379	в данном	2	1
380	да и	3	1
381	как средство	1	1
382	там где	2	1
383	человека и	1	1
384	ли не	1	1
385	этого слова	1	1
386	как из	1	1
387	является для	1	1
388	призыв к	1	1
389	такой же	1	1
390	но это	1	1
391	этом следует	1	1
392	к двум	1	1
393	но для	3	1
394	не является	4	1
395	которых он	1	1
396	но такой	1	1
397	не существует	1	1
398	то не	1	1
399	находит свое	1	1
400	бы в	2	1
401	тем более	1	1
402	же есть	1	1
403	важное значение	1	1
404	может и	1	1
405	о сущности	1	1
406	впервые в	1	1
407	бытия то	1	1
408	для создания	1	1
409	в своих	2	1
410	они не	1	1
