N	2gram	Savitsky_E_1	Sotsiolo
1	в этом	12	5
2	в том	11	5
3	для нас	4	3
4	более чем	2	3
5	не только	18	3
6	как же	2	3
7	в его	2	3
8	и в	37	3
9	не в	5	3
10	и только	3	3
11	только в	9	2
12	это зависит	1	2
13	может быть	6	2
14	по природе	1	2
15	и что	2	2
16	в результате	3	2
17	главным образом	2	2
18	то же	15	2
19	должна быть	2	2
20	было бы	8	2
21	она может	1	2
22	далеко не	2	2
23	и мы	3	2
24	таким образом	2	2
25	но и	14	2
26	как будто	2	2
27	тем более	4	2
28	то что	6	2
29	за пределы	1	2
30	по отношению	1	2
31	в частности	5	2
32	литературы и	1	2
33	к которому	1	2
34	очевидно что	3	2
35	что в	21	2
36	как бы	6	2
37	в смысле	9	2
38	том что	6	2
39	и не	14	1
40	в мире	2	1
41	и затем	1	1
42	в этой	2	1
43	столь же	5	1
44	в процессе	4	1
45	в своей	8	1
46	которая должна	1	1
47	в свои	2	1
48	бы в	2	1
49	может не	1	1
50	по себе	4	1
51	все эти	1	1
52	понимать что	1	1
53	лучшем случае	1	1
54	его построения	1	1
55	представить себе	1	1
56	и его	1	1
57	не дает	3	1
58	с другой	7	1
59	бы они	1	1
60	связи с	1	1
61	от друга	2	1
62	вне пределов	1	1
63	в них	3	1
64	в связи	1	1
65	что все	2	1
66	не было	1	1
67	в лучшем	1	1
68	когда мы	1	1
69	будет тем	1	1
70	ли не	1	1
71	не из	3	1
72	но не	5	1
73	его собственная	2	1
74	зависит от	1	1
75	и более	2	1
76	вовсе не	6	1
77	все же	1	1
78	что на	2	1
79	мы думаем	1	1
80	между тем	8	1
81	но как	2	1
82	а в	2	1
83	выходит за	1	1
84	это значит	2	1
85	в то	16	1
86	те же	1	1
87	мы должны	2	1
88	между ними	2	1
89	конечно не	1	1
90	и наконец	2	1
91	для этого	1	1
92	никогда не	3	1
93	в силу	2	1
94	во всяком	3	1
95	входящие в	1	1
96	в противном	1	1
97	на тех	1	1
98	в котором	2	1
99	тому что	1	1
100	отнюдь не	9	1
101	иначе говоря	2	1
102	и о	1	1
103	чуть ли	1	1
104	в этих	2	1
105	как и	7	1
106	не способен	1	1
107	но именно	2	1
108	психологии и	1	1
109	с ним	1	1
110	место в	3	1
111	ни на	3	1
112	не выходит	1	1
113	как совокупность	4	1
114	в любой	1	1
115	один из	1	1
116	из себя	1	1
117	констатирования факта	1	1
118	и как	2	1
119	как то	1	1
120	именно и	1	1
121	с одной	8	1
122	о том	3	1
123	же законы	1	1
124	даже в	4	1
125	же по	1	1
126	одной стороны	8	1
127	их на	1	1
128	связь между	1	1
129	пришлось бы	1	1
130	и потому	5	1
131	хотя бы	15	1
132	что автор	1	1
133	дает нам	1	1
134	время в	3	1
135	и по	5	1
136	способен ни	1	1
137	что это	2	1
138	между собой	2	1
139	может она	1	1
140	на основании	2	1
141	бы о	2	1
142	на этот	2	1
143	мы не	4	1
144	не может	9	1
145	тех кто	1	1
146	же время	14	1
147	а тем	2	1
148	даже не	1	1
149	прежде всего	9	1
150	противном случае	1	1
151	следующий вывод	1	1
152	любой области	1	1
153	всяком случае	3	1
154	друг от	2	1
155	тем что	3	1
156	что эти	2	1
157	так и	10	1
158	в данном	3	1
159	в виде	5	1
160	именно в	4	1
161	и будет	1	1
162	только тогда	1	1
163	эти два	1	1
164	в области	11	1
