1	во времени и пространстве	3	5
2	в то же время	6	4
3	обращает на себя внимание	1	3
4	одно и то же	1	2
5	состоит в том что	3	2
6	мы имеем дело с	3	2
7	одна и та же	1	1
8	события событие о котором	1	1
9	о котором рассказано в	1	1
10	два события событие о	1	1
11	а в то же	2	1
12	однако и до сего	1	1
13	самого рассказывания в этом	1	1
14	дело не только в	1	1
15	в произведении и событие	1	1
16	лишь в том случае	1	1
17	бы то ни было	3	1
18	в его событийной полноте	1	1
19	котором рассказано в произведении	1	1
20	рассказано в произведении и	1	1
21	последнем мы и сами	1	1
22	то же время они	1	1
23	нами два события событие	1	1
24	и не может быть	4	1
25	как единого художественного высказывания	1	1
26	произведении и событие самого	1	1
27	представляет собой ни что	1	1
28	исходя из того что	2	1
29	этом последнем мы и	1	1
30	не сами по себе	1	1
31	в этом последнем мы	1	1
32	событие о котором рассказано	1	1
33	не было и не	1	1
34	собой ни что иное	1	1
35	один и тот же	1	1
36	в той или иной	3	1
37	какой бы то ни	2	1
38	мы и сами участвуем	1	1
39	в том случае если	1	1
40	произведение в его событийной	1	1
41	рассказывания в этом последнем	1	1
42	с той или иной	1	1
43	одного и того же	2	1
44	в том что именно	1	1
45	ни что иное как	1	1
46	в той же мере	1	1
47	места времени и действия	1	1
48	и событие самого рассказывания	1	1
49	событие самого рассказывания в	1	1
50	перед нами два события	1	1
51	и до сего времени	1	1
52	сами участвуем как слушатели-читатели	1	1
53	в том числе и	1	1
54	и сами участвуем как	1	1
