N	2gram	Bakhtin_Fr_8	Otkroven
1	он не	5	4
2	в самой	1	3
3	от него	1	2
4	для него	2	2
5	в этом	14	2
6	те которые	1	2
7	он всегда	1	2
8	а не	2	2
9	него и	1	1
10	что для	3	1
11	в другом	3	1
12	другом месте	3	1
13	которой в	1	1
14	у него	7	1
15	как и	5	1
16	и темное	1	1
17	также и	2	1
18	мысли и	1	1
19	но он	3	1
20	оказывается что	1	1
21	что она	2	1
22	был бы	3	1
23	человека и	2	1
24	должен был	1	1
25	в борьбе	2	1
26	него в	1	1
27	говорит о	2	1
28	если бы	2	1
29	его и	1	1
30	и эта	2	1
31	она должна	1	1
32	и он	1	1
33	и в	56	1
34	это не	2	1
35	он был	12	1
36	душе не	1	1
37	но и	9	1
38	в отношении	5	1
39	не только	8	1
40	и вот	1	1
41	то он	1	1
42	одна из	4	1
43	никогда не	5	1
44	его в	2	1
