N	3gram	Bakhtin_Fr_3	UchenyiS
1	не может быть	2	4
2	с другой стороны	1	3
3	то же время	6	3
4	бы то ни	1	3
5	в то же	6	3
6	то ни было	1	3
7	и в этой	1	2
8	но даже и	1	2
9	до сих пор	4	2
10	хотя бы и	1	2
11	в этом отношении	2	2
12	в том что	1	2
13	и в частности	1	2
14	тех или иных	1	2
15	так много в	2	1
16	в большей или	2	1
17	или меньшей степени	2	1
18	имеем в виду	1	1
19	большей или меньшей	3	1
20	в точном смысле	1	1
21	в значительной мере	1	1
22	в этом случае	1	1
23	на первый план	1	1
24	одно из первых	1	1
25	о котором говорил	1	1
26	в той же	4	1
27	само по себе	1	1
28	же время не	1	1
29	и прежде всего	3	1
30	которых так много	2	1
31	можно сказать что	2	1
32	мы имеем в	1	1
33	теории и истории	1	1
34	только к этому	1	1
35	из первых мест	1	1
36	в данном случае	2	1
37	но именно этот	1	1
38	может быть в	2	1
39	но в то	4	1
40	и с другой	1	1
