N	3gram	Potebnia_M_3	Narrotol
1	в том что	16	8
2	в данном случае	1	6
3	не только в	4	6
4	по отношению к	5	5
5	с одной стороны	3	5
6	о том что	1	4
7	к тому же	1	4
8	тем не менее	3	4
9	в этом отношении	2	3
10	то же время	5	3
11	можно сказать что	2	3
12	в то же	5	3
13	к тому что	2	3
14	на самом деле	1	2
15	подобно тому как	2	2
16	именно то что	2	2
17	но и в	4	2
18	и т п	2	2
19	не зависит от	1	2
20	в том как	3	2
21	в себе самом	1	2
22	а в том	5	2
23	и тем самым	1	2
24	не только не	2	2
25	видя в нем	1	2
26	не может быть	3	2
27	бы с такою	1	2
28	все то что	1	2
29	и оно не	1	1
30	таким образом что	1	1
31	в том виде	1	1
32	а между тем	2	1
33	одной стороны и	1	1
34	в чем не	1	1
35	то что я	2	1
36	в живой речи	2	1
37	в чем же	1	1
38	противном случае он	1	1
39	одним и тем	3	1
40	более или менее	3	1
41	в этом последнем	2	1
42	одной из этих	1	1
43	в самом деле	1	1
44	в слове и	5	1
45	то же самое	1	1
46	а тем более	1	1
47	в таком случае	2	1
48	что только в	2	1
49	в строгом смысле	1	1
50	что все эти	1	1
51	и все что	1	1
52	того и другого	1	1
53	в противном случае	1	1
54	а не другое	1	1
55	может быть только	3	1
56	до сих пор	3	1
57	так или иначе	1	1
58	то время как	1	1
59	не глядя на	1	1
60	следует заметить что	1	1
61	далеко не всегда	1	1
62	и тем же	3	1
63	каждого из этих	1	1
64	на первый взгляд	1	1
65	если бы эти	1	1
66	того о ком	1	1
67	слово есть выражение	1	1
68	он может и	1	1
69	не в том	5	1
70	и что в	1	1
71	и в других	1	1
72	уже не к	1	1
73	и стало быть	1	1
74	здесь не только	1	1
75	потому что я	1	1
76	по всей вероятности	1	1
77	в то время	4	1
78	так и в	2	1
79	что в ней	2	1
80	в своем воображении	1	1
81	свое я как	1	1
82	упускать из виду	2	1
83	с этой стороны	2	1
84	тем более что	1	1
85	если бы она	1	1
86	внутреннюю и внешнюю	1	1
87	в том смысле	3	1
88	только в форме	1	1
89	для того чтобы	3	1
90	легко представить себе	1	1
91	в каждой из	1	1
92	в разговоре с	1	1
