N	2gram	Berdyaev_N_1	Istorich
1	и в	16	26
2	так как	1	18
3	никогда не	6	13
4	потому что	4	13
5	и на	2	12
6	в этом	7	12
7	в том	8	12
8	что в	9	12
9	может быть	7	11
10	не только	5	10
11	том что	2	10
12	в образе	1	10
13	с другой	3	10
14	и не	11	10
15	еще не	3	9
16	что он	1	9
17	но и	3	9
18	и это	2	8
19	все эти	2	8
20	в нем	5	8
21	с ним	1	8
22	вместе с	2	8
23	другой стороны	2	8
24	но в	2	7
25	и его	1	7
26	о том	4	7
27	с одной	2	7
28	уже не	2	7
29	у него	2	7
30	превращается в	1	7
31	одной стороны	2	7
32	власть над	1	7
33	мы уже	1	6
34	мы не	2	6
35	как в	3	6
36	и с	2	6
37	то что	4	6
38	в более	1	6
39	не может	16	6
40	в ней	5	5
41	не будет	7	5
42	как и	7	5
43	и что	2	5
44	в то	2	5
45	то это	1	5
46	так и	2	5
47	нас к	1	5
48	в его	1	5
49	только в	1	5
50	тем что	1	5
51	связаны с	2	5
52	у нас	1	5
53	как это	2	5
54	с его	6	4
55	из этих	1	4
56	это не	4	4
57	с тем	3	4
58	не всегда	1	4
59	а также	1	4
60	до сих	1	4
61	прежде всего	4	4
62	связано с	1	4
63	зависит от	2	4
64	одну из	1	4
65	в это	1	4
66	сих пор	1	4
67	но это	6	4
68	есть и	1	4
69	все что	1	4
70	же как	2	3
71	и через	1	3
72	связана с	2	3
73	должна быть	3	3
74	на место	1	3
75	время как	2	3
76	в себе	2	3
77	вообще не	1	3
78	что она	2	3
79	него и	1	3
80	в них	4	3
81	нет в	1	3
82	такой же	2	3
83	в своей	3	3
84	не в	6	3
85	их в	1	3
86	она не	3	3
87	могут быть	2	3
88	вот почему	2	3
89	то время	1	3
90	от того	1	3
91	и только	1	3
92	от этого	1	3
93	не было	4	3
94	попал в	1	3
95	наряду с	3	3
96	как будто	2	3
97	и от	2	3
98	только одна	1	3
99	вопрос о	3	3
100	а в	2	3
101	еще в	1	3
102	сказать что	3	3
103	как на	1	3
104	они не	1	3
105	того же	1	2
106	оно может	1	2
107	но не	2	2
108	то он	1	2
109	в свои	2	2
110	для борьбы	1	2
111	с этим	2	2
112	в своем	1	2
113	ней нет	1	2
114	так на	1	2
115	в этой	1	2
116	и до	1	2
117	но он	1	2
118	на западе	1	2
119	он не	8	2
120	людей и	1	2
121	можно было	2	2
122	но все	1	2
123	человека в	1	2
124	было бы	1	2
125	ни в	6	2
126	вопрос этот	1	2
127	в эту	1	2
128	земли и	1	2
129	и сейчас	1	2
130	установить что	1	2
131	своего рода	1	2
132	есть еще	1	2
133	что этот	1	2
134	одна сторона	1	2
135	не имеет	4	2
136	одна из	2	2
137	иного мира	1	2
138	нет ни	1	2
139	ее на	1	2
140	зависимости от	1	2
141	должны быть	1	2
142	к тому	3	2
143	от нее	1	2
144	с собой	1	2
145	как существо	1	2
146	можно сказать	1	2
147	все время	2	2
148	свои интересы	1	2
149	мир не	1	2
150	не будут	2	2
151	всяком случае	1	2
152	что не	1	2
153	не означает	3	2
154	а не	17	2
155	он и	1	2
156	может иметь	1	2
157	уже давно	1	2
158	так же	2	2
159	к себе	1	2
160	когда мы	2	2
161	быть только	1	2
162	значит что	4	2
163	и формы	2	2
164	что мы	1	2
165	но для	2	2
166	мира и	2	2
167	мы должны	1	2
168	в этих	1	2
169	не есть	3	2
170	жизни и	8	2
171	я могу	1	2
172	во всяком	1	2
173	также что	1	1
174	только потому	1	1
175	силы и	2	1
176	не через	1	1
177	и есть	10	1
178	он находится	1	1
179	этого мира	1	1
180	поставлен вопрос	1	1
181	к античности	1	1
182	за человеком	1	1
183	в зависимости	1	1
184	и этот	1	1
185	со всех	4	1
186	он также	1	1
187	героя но	1	1
188	равно как	2	1
189	но она	2	1
190	в дальний	1	1
191	оно есть	1	1
192	есть вместе	1	1
193	всех сторон	4	1
194	на них	1	1
195	не имел	1	1
196	чего оно	1	1
197	что его	1	1
198	во всех	3	1
199	отличие от	1	1
200	лицом к	3	1
201	в истории	3	1
202	и нет	1	1
203	помнить что	2	1
204	хотя и	2	1
205	борьбы со	1	1
206	и к	5	1
207	с душой	1	1
208	в этот	1	1
209	а во-вторых	1	1
210	к единству	1	1
211	единству и	1	1
212	он в	1	1
213	жизни которые	3	1
214	дальше и	1	1
215	жизнью и	1	1
216	не имеют	2	1
217	все другие	1	1
218	она становится	1	1
219	не значит	3	1
220	в силу	1	1
221	бога и	3	1
222	подобно тому	3	1
223	жить в	1	1
224	в одну	2	1
225	это значит	1	1
226	что все	2	1
227	этом он	1	1
228	в мире	3	1
229	чего он	1	1
230	не типа	1	1
231	знает что	1	1
232	свою противоположность	1	1
233	в жизни	5	1
234	по существу	2	1
235	с богом	1	1
236	духа в	2	1
237	был и	1	1
238	к образованию	2	1
239	люди не	2	1
240	очень сложное	1	1
241	перед собой	1	1
242	от религии	2	1
243	но если	1	1
244	она сама	1	1
245	в котором	1	1
246	страны в	1	1
247	не столько	1	1
248	дальнейшее развитие	1	1
249	живущий на	1	1
250	большую роль	4	1
251	обращение к	2	1
252	все это	5	1
253	и более	1	1
254	природу и	1	1
255	и вся	1	1
256	и очень	1	1
257	не менее	4	1
258	к такой	1	1
259	мира не	1	1
260	это всегда	1	1
261	между небом	1	1
262	в основе	3	1
263	не случайно	1	1
264	того чтобы	2	1
265	небом и	1	1
266	есть уже	1	1
267	о природе	1	1
268	под этим	1	1
269	а во	1	1
270	к ней	1	1
271	по своей	1	1
272	в области	1	1
273	ли это	2	1
274	и оно	1	1
275	бог и	1	1
276	с идеями	1	1
277	не могут	1	1
278	есть только	1	1
279	числе и	1	1
280	бы он	1	1
281	в наши	3	1
282	все еще	1	1
283	должен быть	5	1
284	играют большую	1	1
285	из их	1	1
286	солнце его	1	1
287	с ее	5	1
288	на нем	1	1
289	не могу	1	1
290	в ее	3	1
291	чтобы быть	1	1
292	на растерзание	1	1
293	приводит к	1	1
294	и когда	1	1
295	не с	1	1
296	стоят на	2	1
297	для этого	2	1
298	стремление к	2	1
299	нас и	1	1
300	них не	1	1
301	а по	1	1
302	в пристани	1	1
303	более высокой	1	1
304	и из	1	1
305	к одному	1	1
306	теперь и	1	1
307	это была	1	1
308	должно было	2	1
309	нет у	1	1
310	самый процесс	2	1
311	к нему	1	1
312	переходит в	1	1
313	но тут	1	1
314	античности к	1	1
315	он есть	1	1
316	время когда	1	1
317	ли он	1	1
318	друг друга	1	1
319	их не	1	1
320	формы жизни	1	1
321	было так	1	1
322	же и	1	1
323	есть в	2	1
324	уже в	1	1
325	а это	1	1
326	и царства	1	1
327	мир в	1	1
328	к ним	3	1
329	и пр	3	1
330	могли не	1	1
331	они будут	1	1
332	о берег	1	1
333	и вместе	1	1
334	для того	1	1
335	и даже	2	1
336	а на	1	1
337	государство и	2	1
338	сам себя	1	1
339	труда самый	1	1
340	жизни народа	1	1
341	социальной жизни	1	1
342	не знает	6	1
343	долгое время	1	1
344	когда она	1	1
345	как ни	1	1
346	к лицу	3	1
347	вступает в	1	1
348	выход из	1	1
349	не удалось	1	1
350	дня а	1	1
351	тому как	3	1
352	это есть	7	1
353	эту мысль	1	1
354	в мир	1	1
355	и вполне	1	1
356	эти черты	1	1
357	том смысле	1	1
358	неба и	1	1
359	и для	4	1
360	случае если	1	1
361	не существует	3	1
362	всего мира	1	1
363	новые формы	1	1
364	будто бы	1	1
365	имея в	1	1
366	уже нет	1	1
367	давно уже	1	1
368	в свою	1	1
369	должны помнить	1	1
370	оно не	1	1
371	к этой	1	1
372	том числе	1	1
