N	2gram	Medvedev_B_1	Psycholo
1	и в	1	33
2	что в	1	21
3	и не	2	13
4	таким образом	1	13
5	все это	2	13
6	было бы	1	12
7	что все	1	11
8	как будто	1	8
9	до конца	1	7
10	не только	1	7
11	на самом	1	6
12	а не	1	6
13	в ней	2	6
14	никак не	1	6
15	все же	1	5
16	и на	1	5
17	в своей	1	4
18	об этом	1	4
19	совершенно не	1	4
20	у нас	3	4
21	не то	2	4
22	и о	1	4
23	можно было	2	4
24	во всяком	1	3
25	говорить о	1	3
26	так и	1	3
27	не было	1	3
28	всяком случае	1	3
29	далеко не	1	3
30	в пределах	1	3
31	больше чем	2	2
32	прежде всего	1	2
33	и ее	1	2
34	но автор	1	2
35	не все	1	2
36	то как	1	2
37	вопрос о	1	2
38	и потому	1	2
39	о них	1	2
40	другой стороны	1	2
41	с другой	1	2
42	его не	1	2
43	еще не	1	1
44	и во	1	1
45	не следует	1	1
46	не воспринималось	1	1
47	забывать что	1	1
48	от значения	1	1
49	будто бы	1	1
50	материала по	1	1
51	одной из	1	1
52	к ней	1	1
53	за пределы	1	1
54	следует конечно	1	1
55	следовало бы	1	1
56	когда начинает	1	1
57	а о	1	1
58	со всем	1	1
59	художественного произведения	1	1
60	стих и	1	1
61	является только	1	1
62	художественном произведении	1	1
63	скромную роль	1	1
64	и более	1	1
