N	3gram	Tiupa_Lite_1	VrazhdaK
1	то же время	5	4
2	в то же	5	4
3	в связи с	4	3
4	имел в виду	1	3
5	в русской литературе	3	3
6	с точки зрения	2	2
7	но в то	1	2
8	не может быть	1	2
9	в том что	11	2
10	в е годы	2	1
11	то что я	1	1
12	но не менее	1	1
13	в году когда	1	1
14	между прочим и	1	1
15	х годов в	1	1
16	в ответ на	1	1
17	в соответствии с	1	1
18	в том же	3	1
19	тем более что	1	1
20	до сих пор	1	1
21	в романе достоевского	1	1
22	в этом отношении	2	1
23	все же в	2	1
24	по крайней мере	1	1
25	и то что	2	1
26	в это время	1	1
27	войне и мире	1	1
28	едва ли не	1	1
29	преступления и наказания	1	1
30	на первый взгляд	1	1
31	одним из первых	1	1
32	тогда же в	1	1
33	но при этом	2	1
34	и в этом	1	1
35	а с другой	1	1
36	и во всей	1	1
37	что он сам	1	1
38	во всяком случае	2	1
39	с другой стороны	1	1
40	тем не менее	2	1
41	и т.п ему	1	1
42	в войне и	1	1
43	в свою очередь	1	1
44	о том что	2	1
45	уже в году	2	1
46	но и от	1	1
47	на то что	1	1
48	имеется в виду	1	1
49	не только от	1	1
