N	2gram	Medvedev_S_1	Problemy
1	и в	3	46
2	и не	1	27
3	может быть	2	23
4	не может	1	19
5	как бы	2	19
6	в этом	5	16
7	не только	3	14
8	перед нами	1	12
9	но и	2	12
10	как и	1	12
11	не в	3	10
12	между ними	1	10
13	в его	3	9
14	в том	5	9
15	вовсе не	1	9
16	прежде всего	1	9
17	конечно не	1	8
18	в сущности	1	7
19	еще не	2	7
20	по себе	1	7
21	то же	2	6
22	никогда не	1	6
23	в каждом	1	6
24	и его	1	6
25	в него	1	6
26	что он	1	6
27	только в	2	6
28	все это	7	6
29	в котором	1	5
30	по отношению	2	5
31	за пределы	2	5
32	это не	1	5
33	в то	1	5
34	о том	1	5
35	же время	1	5
36	у него	1	5
37	отношению к	2	5
38	мы не	1	4
39	но не	1	4
40	все же	1	4
41	все эти	1	4
42	таким образом	2	4
43	и наконец	1	4
44	том что	2	4
45	в этих	1	4
46	в процессе	1	4
47	слова но	1	4
48	так и	1	4
49	еще и	1	4
50	то что	2	4
51	что в	2	4
52	и понимает	1	3
53	тем же	1	3
54	и о	1	3
55	для наших	1	3
56	в этой	1	3
57	но именно	1	3
58	в мире	1	3
59	было бы	2	3
60	далеко не	2	3
61	в своей	1	3
62	никак не	1	3
63	и что	2	3
64	и только	3	3
65	ведь это	2	3
66	в конце	2	3
67	тем что	1	3
68	с другой	1	3
69	с помощью	1	3
70	по существу	2	3
71	бы в	1	3
72	а между	1	2
73	и должны	1	2
74	положения в	1	2
75	сама по	1	2
76	и как	1	2
77	не было	1	2
78	но ведь	3	2
79	развиваться в	1	2
80	должна быть	2	2
81	могут оказаться	1	2
82	и по	1	2
83	на все	1	2
84	хотя бы	1	2
85	переходим к	1	2
86	но она	1	2
87	ничего не	1	2
88	те же	1	2
89	это вовсе	1	2
90	не место	1	2
91	с ним	1	2
92	автор не	1	2
93	между тем	1	2
94	а в	1	2
95	для этого	1	2
96	на этот	1	2
97	в строгом	1	2
98	в данном	1	2
99	остается в	1	2
100	в результате	2	2
101	для нас	3	2
102	не дает	1	2
103	в заключение	1	2
104	во всяком	1	2
105	они не	1	2
106	я и	1	1
107	и есть	1	1
108	этом не	1	1
109	как то	1	1
110	от друга	1	1
111	литературы и	2	1
112	между собой	1	1
113	время в	1	1
114	любой области	1	1
115	но как	1	1
116	друг от	1	1
117	вокруг этих	1	1
118	что это	1	1
119	в целом	1	1
120	что автор	1	1
121	иначе и	1	1
122	что она	1	1
123	в силу	1	1
124	новое и	1	1
125	ни были	1	1
126	что все	1	1
127	же не	1	1
128	его в	1	1
129	выходит за	1	1
130	и мы	2	1
131	в них	1	1
132	благодаря этому	1	1
133	именно и	1	1
134	и благодаря	1	1
135	место в	1	1
136	может развиваться	1	1
137	для изучения	1	1
138	бы о	1	1
139	не должна	1	1
140	даже в	1	1
141	а вот	1	1
142	тому что	1	1
143	мысли в	1	1
144	дело не	2	1
145	но только	1	1
146	ровно ничего	1	1
147	связи с	1	1
148	как будто	2	1
149	что на	1	1
150	в области	1	1
151	стиля как	1	1
152	когда мы	1	1
153	не способен	1	1
154	бы он	1	1
155	нашей работы	1	1
156	каждом своем	1	1
157	на что	1	1
158	может не	1	1
159	эти два	1	1
160	наконец в	1	1
161	и самые	1	1
162	единство не	1	1
163	один из	1	1
164	его собственная	1	1
165	стиль в	1	1
166	это же	1	1
167	с одной	1	1
168	именно на	1	1
169	него и	1	1
170	всяком случае	1	1
171	может служить	1	1
172	нужно было	2	1
173	одной стороны	1	1
174	даже не	1	1
175	совокупность приемов	1	1
176	именно в	1	1
177	к которому	2	1
178	а с	1	1
179	на ней	1	1
180	точке зрения	1	1
181	в любой	1	1
182	их друг	1	1
183	в связи	1	1
184	между собою	1	1
185	ни на	1	1
186	сущности есть	1	1
187	и потому	1	1
188	но сам	1	1
189	дело конечно	1	1
190	историка литературы	2	1
191	эти вопросы	1	1
192	не меняет	1	1
193	конце концов	2	1
194	мы переходим	1	1
195	в частности	2	1
