N	3gram	Berdyaev_M_1	RusskieA
1	в том что	1	18
2	для того чтобы	2	6
3	вместе с тем	5	4
4	о том что	1	4
5	в отличие от	1	3
6	не может быть	17	3
7	но она не	1	2
8	что иное как	1	2
9	в своей книге	1	2
10	не что иное	1	2
11	бросается в глаза	1	2
12	в то время	2	2
13	решить вопрос о	1	2
14	для него не	1	1
15	потому что он	1	1
16	не может не	2	1
17	с этим связано	1	1
18	и по своим	1	1
19	потому что в	3	1
20	с одним из	1	1
21	может быть назван	1	1
22	напоминает так называемый	1	1
23	с тем он	2	1
24	но и в	4	1
25	между тем как	1	1
26	но это не	1	1
27	можно было бы	1	1
28	от них идет	1	1
29	а иногда и	1	1
30	человека а не	1	1
31	может быть и	1	1
32	что она может	1	1
33	во всяком случае	1	1
34	во всех этих	1	1
35	то время как	2	1
36	одним из самых	1	1
37	на этом основании	1	1
38	и в том	1	1
39	может быть принята	2	1
40	все это нужно	1	1
41	с того что	1	1
42	этот иной мир	1	1
43	и возвращается к	1	1
44	во многих отношениях	1	1
45	и еще в	1	1
46	но не только	1	1
47	это не было	3	1
48	это и есть	4	1
49	к жизни в	1	1
