N	3gram	Tiupa_Anal_1	Formalny
1	с точки зрения	4	14
2	не может быть	16	14
3	в то же	8	7
4	то же время	6	7
5	во всяком случае	1	6
6	и т п	3	5
7	в зависимости от	1	5
8	с другой стороны	2	5
9	а вовсе не	1	4
10	в самом деле	2	4
11	подобно тому как	3	4
12	и не может	4	4
13	в данном случае	2	4
14	в связи с	1	4
15	бы то ни	3	4
16	то ни было	3	4
17	для того чтобы	3	4
18	а не в	3	3
19	по отношению к	5	3
20	то же самое	2	3
21	все без исключения	1	3
22	в самом произведении	1	3
23	в этом отношении	2	3
24	вместе с тем	1	3
25	в художественном произведении	1	3
26	и не могут	1	3
27	одни и те	1	3
28	в том что	9	3
29	и те же	1	3
30	нет и не	2	2
31	равно как и	1	2
32	в этом смысле	1	2
33	о том как	1	2
34	самом же деле	1	2
35	то или иное	1	2
36	сами по себе	2	2
37	в отличие от	6	2
38	лишь одним из	1	2
39	на самом же	1	2
40	в какой это	1	2
41	химическом соединении с	1	2
42	творчества и восприятия	1	2
43	произведения так и	1	2
44	между которыми располагается	1	2
45	в химическом соединении	1	2
46	к тому что	1	2
47	дело не в	1	2
48	в процессе его	1	2
49	смысле этого слова	1	2
50	и того же	2	1
51	так и не	1	1
52	при этом от	1	1
53	действительно имеет место	1	1
54	каков бы ни	1	1
55	какой бы то	2	1
56	бы ни был	1	1
57	то и просто	1	1
58	имеем в виду	1	1
59	как одну из	1	1
60	чего бы то	1	1
61	в том же	1	1
62	один и тот	1	1
63	что же касается	1	1
64	всякое высказывание в	1	1
65	можно утверждать что	1	1
66	оно ни было	1	1
67	в том или	2	1
68	сам по себе	1	1
69	ни в коем	2	1
70	может иметь место	1	1
71	как это происходит	1	1
72	из того что	3	1
73	в собственном смысле	1	1
74	в той мере	2	1
75	том или ином	3	1
76	а то и	1	1
77	в противном случае	1	1
78	по себе в	1	1
79	вне произведения как	1	1
80	с этой точки	1	1
81	внешнее и внутреннее	1	1
82	именно в этом	2	1
83	до сих пор	1	1
84	в коем случае	2	1
85	литературное произведение есть	1	1
86	но в таком	1	1
87	и тогда когда	1	1
88	п таким образом	1	1
89	ином ее аспекте	1	1
90	не только в	1	1
91	с одной стороны	3	1
92	или ином ее	1	1
93	и тот же	1	1
94	т п таким	1	1
95	неизменным в течение	1	1
96	и вместе с	1	1
97	коем случае не	2	1
98	отца к сыну	1	1
99	в такой же	1	1
100	не в том	3	1
101	бы оно ни	1	1
102	смысла но не	1	1
103	событие самого рассказывания	1	1
104	собственном смысле слова	1	1
105	в таком случае	3	1
106	иметь место в	1	1
107	мере в какой	2	1
108	и той же	1	1
109	между тем как	1	1
110	этой точки зрения	1	1
111	о том что	3	1
112	того или иного	3	1
113	в той же	1	1
114	и все же	2	1
115	с той или	1	1
116	от отца к	1	1
117	не от отца	1	1
118	между ними могут	1	1
119	это происходит в	1	1
120	и в самом	1	1
121	но отнюдь не	1	1
122	и не будет	1	1
123	выходит за пределы	1	1
124	той или иной	6	1
125	мы имеем в	1	1
126	быть понято как	1	1
127	одного и того	2	1
128	а вместе с	1	1
129	же мере и	1	1
130	не сводится к	2	1
131	в том числе	3	1
132	одной и той	1	1
133	той же мере	1	1
134	тех или иных	2	1
135	друг с другом	1	1
136	той мере в	2	1
137	как и в	1	1
138	художественное произведение является	1	1
139	том числе и	1	1
140	этого слова в	1	1
