N	3gram	Voloshinov_1	Komedia
1	в том что	2	9
2	в самом деле	2	6
3	для того чтобы	1	6
4	в то же	1	4
5	то же время	1	4
6	с самого начала	2	4
7	по отношению к	3	3
8	с точки зрения	5	3
9	в связи с	1	3
10	до тех пор	4	3
11	с одной стороны	2	3
12	тем не менее	1	3
13	то же самое	1	3
14	само собой разумеется	1	2
15	состоит в том	1	2
16	он и не	1	2
17	в этом отношении	1	2
18	с другой стороны	2	2
19	того же автора	1	2
20	собой разумеется что	1	2
21	в конечном счете	1	2
22	в г в	2	1
23	и к тому	1	1
24	и призыв к	1	1
25	чуть ли не	1	1
26	в виду что	1	1
27	более или менее	1	1
28	в нем только	1	1
29	равно как и	1	1
30	подобно тому как	1	1
31	должно было бы	1	1
32	в зависимости от	2	1
33	в отличие от	1	1
34	и все социальное	1	1
35	предположение о возможности	1	1
36	и не может	1	1
37	на то что	1	1
38	с этой точки	1	1
39	так как все	1	1
40	для понимания всего	1	1
41	далеко не всегда	1	1
42	едва ли кто-нибудь	1	1
43	его роль в	1	1
44	в течение всей	1	1
45	в этот момент	1	1
46	в пределах того	1	1
47	этой точки зрения	1	1
48	но столь же	1	1
49	так же точно	1	1
50	ничего общего с	2	1
51	и никогда не	1	1
52	если говорить о	1	1
53	в задачу данной	1	1
54	к тому что	1	1
55	и в его	1	1
56	человека и его	1	1
