N	3gram	Berdyaev_O_1	Myslijsy
1	заключает в себе	1	8
2	в том что	1	7
3	не может быть	2	5
4	само по себе	1	5
5	о том что	1	5
6	с тем что	2	4
7	и то что	1	4
8	сам по себе	1	4
9	и в этом	2	4
10	на то что	1	4
11	для того чтобы	3	4
12	может быть назван	1	3
13	в том случае	1	3
14	во всяком случае	1	3
15	от того что	1	3
16	потому что в	1	3
17	то что в	1	2
18	это потому что	1	2
19	не могут быть	2	2
20	не в том	1	2
21	и в том	1	2
22	не было и	1	2
23	после того как	1	2
24	нет ничего легче	1	1
25	хотя и не	1	1
26	а не в	2	1
27	о том как	1	1
28	бы он ни	1	1
29	и состоит чтобы	1	1
30	том случае если	1	1
31	в том только	1	1
32	но и в	2	1
33	в этом отношении	1	1
34	и к нему	1	1
35	даже и в	1	1
36	и не может	1	1
37	он ни был	1	1
38	и не в	1	1
39	может быть что	1	1
40	в которой нет	1	1
41	смысле этого слова	1	1
42	по себе есть	1	1
43	человека и все	1	1
44	друг к другу	1	1
45	ничего легче как	1	1
46	это было бы	2	1
47	человеческой природы и	2	1
48	нет ничего кроме	2	1
49	но в этой	1	1
50	ясно видно что	1	1
51	и все это	1	1
52	и в самом	1	1
53	или лучше сказать	1	1
54	и все что	1	1
55	как и в	1	1
56	науки о человеке	1	1
