N	2gram	Vinokur_Vv_1	Tragedij
1	и в	27	18
2	в этом	34	9
3	не только	21	8
4	он сам	3	7
5	и с	2	7
6	и на	3	7
7	может быть	24	7
8	как бы	5	7
9	и не	13	7
10	но в	10	6
11	и его	5	6
12	же время	5	6
13	что он	4	6
14	у него	1	6
15	то же	8	5
16	все же	8	5
17	что это	3	5
18	это не	8	5
19	как и	5	5
20	несмотря на	2	5
21	в то	5	5
22	в дальнейшем	2	5
23	так и	1	5
24	не может	13	5
25	еще не	4	4
26	в себе	4	4
27	в целом	5	4
28	в этой	3	4
29	в нем	13	4
30	об этом	5	4
31	том что	26	4
32	и что	4	4
33	но и	5	4
34	и даже	5	4
35	прежде всего	8	4
36	так же	3	4
37	но это	1	4
38	все это	6	4
39	этот образ	1	4
40	что в	11	4
41	и все	1	4
42	то что	17	4
43	достоевского в	1	3
44	своего рода	3	3
45	как в	1	3
46	в своем	3	3
47	и как	9	3
48	все эти	3	3
49	при этом	3	3
50	должно быть	2	3
51	что с	3	3
52	о чем	4	3
53	и сам	2	3
54	мог бы	2	3
55	жизнь и	1	3
56	с ним	1	3
57	к нему	2	3
58	в его	10	3
59	один из	6	3
60	уже в	5	3
61	для него	1	3
62	в конце	3	3
63	как будто	3	3
64	как это	5	3
65	вряд ли	2	2
66	в первом	5	2
67	из самых	1	2
68	и до	2	2
69	что эти	1	2
70	и за	1	2
71	а как	3	2
72	никогда не	3	2
73	и то	5	2
74	он был	1	2
75	отношение к	3	2
76	отличие от	3	2
77	не просто	4	2
78	так что	5	2
79	и я	1	2
80	о жизни	1	2
81	говорит что	1	2
82	впечатление что	1	2
83	в самом	12	2
84	бы и	2	2
85	по словам	1	2
86	что она	3	2
87	но все	3	2
88	что все	1	2
89	его в	6	2
90	к области	1	2
91	с тем	6	2
92	не мог	2	2
93	любви и	1	2
94	в ходе	1	2
95	в отличие	3	2
96	вопрос о	8	2
97	не в	8	2
98	что этот	1	2
99	романа достоевского	1	2
100	одна из	2	2
101	не имеет	4	2
102	в русском	1	2
103	не могут	5	2
104	он и	2	2
105	к тому	4	2
106	и это	6	2
107	в ее	11	2
108	данном случае	5	2
109	еще в	1	2
110	ничего не	2	2
111	о том	15	2
112	теперь и	1	2
113	времени в	3	2
114	что и	3	2
115	в том	31	2
116	и ее	4	2
117	человеческой личности	1	2
118	на всем	1	2
119	уже не	5	2
120	в виде	4	2
121	в известной	3	2
122	в одном	4	2
123	тем что	6	2
124	говорит о	3	2
125	до конца	3	2
126	в данном	11	2
127	еще раз	1	2
128	это уже	1	2
129	потому что	14	2
130	состоит из	1	2
131	в частности	3	2
132	только о	2	2
133	этим объясняется	1	2
134	по поводу	1	2
135	русской литературы	1	2
136	точно так	2	2
137	я и	1	1
138	а между	1	1
139	сохраняет свое	1	1
140	также что	1	1
141	и т	43	1
142	одним из	5	1
143	например в	2	1
144	человека и	1	1
145	сам по	1	1
146	и др	2	1
147	самом деле	6	1
148	это и	1	1
149	становится искусством	1	1
150	на деле	1	1
151	и есть	3	1
152	на две	1	1
153	в какой-то	1	1
154	должна быть	2	1
155	объясняется и	1	1
156	той же	4	1
157	то для	1	1
158	смотреть на	4	1
159	хотя сам	1	1
160	что уже	3	1
161	и новые	1	1
162	исследования в	1	1
163	не принимали	1	1
164	не вполне	4	1
165	в виду	4	1
166	в ней	3	1
167	было до	1	1
168	в xix	1	1
169	литературы и	1	1
170	встречается в	1	1
171	представляет собой	12	1
172	между собой	1	1
173	быть в	4	1
174	в чем	4	1
175	во всех	2	1
176	но не	7	1
177	могло быть	1	1
178	но как	2	1
179	жизни своей	1	1
180	в противовес	1	1
181	значение и	2	1
182	к проблемам	2	1
183	тогда как	2	1
184	в настоящем	1	1
185	всю эту	1	1
186	чем же	3	1
187	в истории	9	1
188	материалом для	1	1
189	в центре	4	1
190	что именно	2	1
191	то вряд	1	1
192	имеющая целью	1	1
193	не удалась	1	1
194	этой идеи	1	1
195	то в	1	1
196	чтобы превратить	1	1
197	в которой	1	1
198	сливается с	3	1
199	знать и	2	1
200	общеизвестно что	1	1
201	только один	1	1
202	как он	6	1
203	если он	1	1
204	ответом на	1	1
205	не могла	1	1
206	вообще не	3	1
207	идей и	1	1
208	что идет	1	1
209	и критики	1	1
210	заявляет что	2	1
211	так сказать	1	1
212	для разработки	1	1
213	перестает быть	1	1
214	не значит	1	1
215	не к	2	1
216	не как	3	1
217	в россии	1	1
218	что тут	1	1
219	на этом	3	1
220	таким образом	19	1
221	а затем	1	1
222	факт что	1	1
223	им как	1	1
224	в другом	3	1
225	был первым	1	1
226	лишь в	1	1
227	это было	1	1
228	заключается в	4	1
229	обоих случаях	1	1
230	известно что	1	1
231	быть не	1	1
232	а это	1	1
233	лишь на	1	1
234	на свои	2	1
235	но уже	2	1
236	в них	4	1
237	этого не	2	1
238	эту тему	1	1
239	говорится о	1	1
240	и прямо	1	1
241	перед собой	1	1
242	или вообще	5	1
243	не выдерживает	1	1
244	но если	3	1
245	и при	2	1
246	в своей	4	1
247	народа не	1	1
248	как искусство	2	1
249	к истории	6	1
250	взгляд на	1	1
251	в такой	1	1
252	наших дней	1	1
253	почти не	1	1
254	в котором	4	1
255	если можно	1	1
256	не столько	2	1
257	представление о	1	1
258	по самой	2	1
259	понятно что	3	1
260	должны были	1	1
261	сам же	2	1
262	и вот	3	1
263	но он	1	1
264	тем не	8	1
265	превратиться в	1	1
266	не могли	2	1
267	по себе	9	1
268	тому что	2	1
269	истории по	1	1
270	повествованием о	1	1
271	так он	1	1
272	не менее	8	1
273	не раз	1	1
274	с особой	1	1
275	в обоих	2	1
276	самого начала	1	1
277	на котором	2	1
278	связан и	1	1
279	того как	3	1
280	это хорошо	1	1
281	например что	2	1
282	а своеобразный	1	1
283	судя по	1	1
284	и всегда	1	1
285	в отношениях	2	1
286	в самой	1	1
287	или как	3	1
288	иными словами	1	1
289	связь и	1	1
290	это сказывается	1	1
291	связи с	3	1
292	входят в	1	1
293	что на	1	1
294	в области	4	1
295	ли это	1	1
296	он вполне	1	1
297	и далее	2	1
298	в момент	1	1
299	значение только	1	1
300	могут быть	4	1
301	обратно в	1	1
302	что оно	2	1
303	и т.д	4	1
304	к речи	1	1
305	не есть	4	1
306	свое значение	2	1
307	что при	1	1
308	утверждать что	1	1
309	в применении	6	1
310	на нечто	1	1
311	как мы	9	1
312	и о	1	1
313	того чтобы	21	1
314	с каким	1	1
315	с самого	1	1
316	ли есть	1	1
317	можно было	7	1
318	на нее	2	1
319	больше в	1	1
320	известной мере	2	1
321	какой она	1	1
322	по сравнению	3	1
323	в эпоху	1	1
324	только за	1	1
325	говорил что	1	1
326	и должно	1	1
327	вот почему	3	1
328	на вопрос	6	1
329	после того	2	1
330	по вопросу	1	1
331	а также	3	1
332	нас от	1	1
333	чтобы не	1	1
334	все в	1	1
335	по слову	1	1
336	связь между	4	1
337	между тем	8	1
338	нуждается в	2	1
339	говорит он	2	1
340	в форме	2	1
341	вполне ясно	1	1
342	он рассматривает	1	1
343	все время	1	1
344	общем смысле	1	1
345	нет он	1	1
346	в литературе	1	1
347	того что	12	1
348	нашел в	1	1
349	он есть	1	1
350	в новой	1	1
351	оказалось что	2	1
352	и дело	1	1
353	мы видим	1	1
354	с ними	1	1
355	ответа на	2	1
356	что даже	2	1
357	всю ее	1	1
358	только в	13	1
359	во всем	2	1
360	как нечто	8	1
361	в самое	1	1
362	с одной	4	1
363	именно на	2	1
364	первостепенное значение	1	1
365	есть в	1	1
366	только на	3	1
367	дело с	6	1
368	чтобы он	2	1
369	не знать	1	1
370	был прав	1	1
371	но от	1	1
372	в общем	12	1
373	одно из	5	1
374	всяком случае	3	1
375	слова в	1	1
376	т п	5	1
377	и должна	1	1
378	ее не	1	1
379	к ним	1	1
380	второй части	1	1
381	во взглядах	1	1
382	русский язык	3	1
383	рядом с	2	1
384	в особенности	4	1
385	вопрос об	1	1
386	именно в	8	1
387	в каких	1	1
388	была и	1	1
389	под заглавием	1	1
390	что не	5	1
391	обратиться к	1	1
392	только по	3	1
393	не было	1	1
394	на этот	4	1
395	а не	3	1
396	именно так	1	1
397	одну из	1	1
398	находился под	1	1
399	вывод этот	1	1
400	точности соответствует	1	1
401	в и	4	1
402	этом случае	6	1
403	в связи	2	1
404	виде в	2	1
405	с помощью	1	1
406	вместе с	6	1
407	и особенно	1	1
408	эта связь	1	1
409	самой действительности	1	1
410	в духе	1	1
411	создает и	1	1
412	видит в	4	1
413	сравнению с	3	1
414	наряду с	2	1
415	в той	7	1
416	смысле этого	8	1
417	применении к	6	1
418	деятельность не	1	1
419	очевидно для	1	1
420	от природы	1	1
421	и судьбы	1	1
422	этого слова	2	1
423	с этой	4	1
424	и от	1	1
425	это выражение	1	1
426	не любил	1	1
427	на одной	1	1
428	любовь к	4	1
429	как своего	1	1
430	об отношении	2	1
431	в результате	3	1
432	именно такого	1	1
433	это как	1	1
434	а к	1	1
435	это может	2	1
436	из себя	1	1
437	бы в	1	1
438	и совершенно	2	1
439	случае и	1	1
440	конце концов	2	1
441	хотя бы	5	1
442	превратился в	1	1
443	только что	4	1
444	к числу	1	1
445	имеет целью	1	1
446	враждебное отношение	1	1
447	виде и	1	1
448	совершенно не	1	1
449	в точности	1	1
450	конфликт между	3	1
451	самой своей	2	1
452	ко всему	1	1
453	т е	38	1
454	есть и	4	1
455	может ли	1	1
456	впечатление на	2	1
457	но еще	1	1
458	и эта	1	1
459	это в	2	1
460	это понятие	2	1
461	отправлялся от	1	1
462	во всяком	3	1
