N	2gram	Bakhtin_sl_1	Marksizm
1	чужой речи	7	53
2	может быть	14	28
3	и в	41	19
4	как бы	12	19
5	и не	16	19
6	в процессе	4	18
7	не может	14	18
8	точки зрения	16	17
9	то же	14	16
10	и его	14	16
11	как мы	8	15
12	в этом	12	15
13	языка и	12	15
14	в сущности	13	14
15	так сказать	5	14
16	таким образом	9	14
17	лишь в	4	14
18	чужого слова	2	13
19	не только	16	13
20	косвенной речи	1	13
21	с точки	8	13
22	связи с	2	13
23	речи и	1	13
24	в нем	30	11
25	высказывания и	2	11
26	если бы	1	11
27	вовсе не	7	11
28	не в	7	10
29	речи в	4	10
30	так и	11	10
31	но и	16	10
32	в пределах	14	10
33	прямая речь	1	10
34	том что	2	10
35	чужое высказывание	2	9
36	при этом	6	9
37	как и	4	9
38	как целое	1	9
39	для него	3	9
40	языка как	4	9
41	в основе	5	9
42	и чужой	1	9
43	а не	15	9
44	на почве	4	9
45	прямой речи	1	9
46	с его	4	8
47	чужое слово	1	8
48	высказывание в	1	8
49	в то	14	8
50	же время	12	8
51	только в	6	8
52	слова в	8	8
53	не является	2	8
54	на самом	2	7
55	внутренней речи	3	7
56	чужая речь	9	7
57	его в	3	7
58	высказывания как	1	7
59	и более	1	7
60	высказывания в	1	7
61	одна из	2	7
62	никогда не	3	7
63	чужую речь	1	7
64	в том	3	7
65	в языке	5	7
66	прежде всего	8	7
67	и для	4	7
68	но в	8	7
69	в таком	1	7
70	мы уже	2	6
71	язык как	3	6
72	социальной группы	2	6
73	во всех	17	6
74	в самом	5	6
75	если мы	2	6
76	слова и	13	6
77	ни в	1	6
78	в смысле	4	6
79	того чтобы	1	6
80	в направлении	1	6
81	к тому	3	6
82	для того	2	6
83	и следовательно	7	6
84	быть и	4	6
85	форм передачи	1	6
86	между тем	2	6
87	более того	3	6
88	с помощью	1	6
89	и все	4	6
90	хотя бы	3	6
91	ни было	2	6
92	в свою	3	6
93	смысле слова	2	5
94	того же	6	5
95	к другому	1	5
96	и на	14	5
97	все же	7	5
98	выражение в	3	5
99	то ни	1	5
100	лишь на	3	5
101	в данном	3	5
102	в их	4	5
103	авторской и	1	5
104	самого начала	1	5
105	свою очередь	2	5
106	с самого	1	5
107	монологического высказывания	1	5
108	и здесь	3	5
109	к нему	5	5
110	в его	13	5
111	в форме	1	5
112	в большинстве	10	5
113	большинстве случаев	6	5
114	отношении к	6	5
115	или иной	9	5
116	данного высказывания	1	5
117	системе языка	1	5
118	в той	10	5
119	этого слова	1	5
120	в контексте	2	5
121	и того	1	5
122	тем более	1	5
123	совершенно не	2	5
124	как слово	1	5
125	к этому	2	5
126	так же	2	5
127	а как	2	4
128	категории и	2	4
129	и ее	3	4
130	бы то	1	4
131	конечно не	3	4
132	является лишь	3	4
133	только на	2	4
134	в себе	3	4
135	на то	1	4
136	значение в	1	4
137	это не	6	4
138	было бы	3	4
139	и тем	2	4
140	данного слова	1	4
141	в слове	7	4
142	мы видели	1	4
143	его формы	1	4
144	пассивного понимания	2	4
145	тому что	2	4
146	в отношении	6	4
147	ничего не	4	4
148	точном смысле	1	4
149	той или	9	4
150	авторской речи	11	4
151	в точном	1	4
152	из одного	2	4
153	того что	3	4
154	с ними	3	4
155	чужого языка	1	4
156	речь в	2	4
157	в душе	1	4
158	и их	1	4
159	речь и	3	4
160	как раз	2	4
161	влияние на	1	4
162	связь с	2	4
163	в основном	3	4
164	авторский контекст	1	4
165	бы в	1	4
166	сказать что	2	4
167	контекста и	1	4
168	и то	2	3
169	лежащая в	2	3
170	в котором	2	3
171	и до	1	3
172	не имеют	1	3
173	на чужое	1	3
174	идеологических систем	1	3
175	в ней	4	3
176	еще не	4	3
177	столь же	2	3
178	в ее	2	3
179	менее всего	1	3
180	слова на	1	3
181	иногда и	1	3
182	отличие от	1	3
183	за пределы	4	3
184	в истории	3	3
185	с этим	3	3
186	перед нами	4	3
187	все эти	9	3
188	в этой	1	3
189	нами в	2	3
190	в чужую	1	3
191	слово в	10	3
192	язык не	2	3
193	он не	3	3
194	не к	1	3
195	не как	4	3
196	какой бы	1	3
197	одно и	2	3
198	в другом	2	3
199	конечно в	1	3
200	той же	2	3
201	с другими	5	3
