N	3gram	Bakhtin_Fr_6	Morfolog
1	мы видим что	1	9
2	в связи с	1	8
3	не может быть	1	8
4	по отношению к	1	4
5	с точки зрения	2	4
6	а также и	2	4
7	с другой стороны	2	4
8	как мы увидим	2	3
9	в первом случае	3	3
10	но все же	1	3
11	в обоих случаях	1	2
12	более или менее	1	2
13	в настоящее время	1	2
14	с одной стороны	4	2
15	в то время	1	2
16	в большинстве случаев	4	2
17	для того чтобы	1	2
18	в том что	2	2
19	к земле и	1	1
20	растения и животные	1	1
21	всегда связана с	1	1
22	том что он	1	1
23	о том как	1	1
24	что же касается	1	1
25	и там где	1	1
26	как бы в	1	1
27	до сих пор	3	1
28	взять его в	1	1
29	случаях перед нами	1	1
30	но если мы	1	1
31	они все же	1	1
32	и др здесь	1	1
33	им вовсе не	1	1
34	это один из	1	1
35	в данном случае	2	1
36	на этот вопрос	1	1
37	но эти же	1	1
38	которым он был	1	1
39	во втором случае	3	1
40	то что он	1	1
41	и др эти	2	1
42	вместо того чтобы	3	1
43	потому что они	1	1
44	самом деле в	1	1
45	во всех этих	2	1
46	друг к другу	1	1
47	так как его	1	1
48	то же время	5	1
49	о том что	5	1
50	то что не	1	1
51	той или иной	1	1
52	можно сказать что	1	1
53	и в последней	1	1
54	в то же	5	1
55	в сущности к	2	1
56	что и в	1	1
