N	3gram	Berdyaev_N_1	Formalny
1	не может быть	4	10
2	во всяком случае	1	5
3	вместе с тем	2	4
4	не могут быть	1	4
5	в высшей степени	6	4
6	и не может	1	3
7	в зависимости от	1	3
8	но и в	1	3
9	в большинстве случаев	1	3
10	в значительной степени	1	3
11	не в том	1	3
12	в том смысле	1	3
13	с другой стороны	2	3
14	в этом смысле	2	2
15	не было и	1	2
16	как это было	1	2
17	сами по себе	1	2
18	в отличие от	1	2
19	в том случае	1	2
20	что в нем	2	2
21	ни в чем	1	2
22	мы говорим о	1	2
23	в том что	1	2
24	и не в	1	2
25	в своем развитии	1	1
26	прежде всего как	1	1
27	равно как и	2	1
28	и до сих	1	1
29	потому что не	1	1
30	он не может	2	1
31	с одной стороны	2	1
32	до сих пор	1	1
33	смысле в каком	1	1
34	должно было быть	1	1
35	бы сказать что	1	1
36	том случае если	1	1
37	в том чтобы	1	1
38	к вопросу о	1	1
39	в такой же	1	1
40	это и есть	1	1
41	то что он	1	1
42	лишь в том	1	1
43	все эти формы	2	1
44	том смысле в	1	1
45	значение все это	1	1
46	новые формы и	1	1
47	и пр в	1	1
48	во всех сферах	3	1
49	было бы сказать	1	1
50	она не может	2	1
51	а не в	1	1
52	как и в	1	1
