N	2gram	Propp_Russ_2	Istorich
1	в сказке	1	50
2	в лесу	10	26
3	и в	29	22
4	мы имеем	6	19
5	в этом	11	17
6	и т	5	16
7	т е	24	16
8	т д	5	15
9	что в	22	15
10	не только	10	14
11	мы видели	7	13
12	в лес	3	12
13	но и	8	12
14	и не	1	12
15	в дом	8	12
16	в этих	3	11
17	может быть	13	11
18	и пр	2	11
19	или в	7	11
20	но в	5	10
21	после чего	2	10
22	таким образом	6	10
23	еще не	6	10
24	в нем	1	9
25	в сказках	1	9
26	что и	2	9
27	в том	22	9
28	что он	1	9
29	вместе с	6	9
30	как мы	3	8
31	этот случай	1	8
32	неи в	1	8
33	дома в	1	8
34	что они	1	8
35	с этим	2	8
36	том что	22	8
37	но не	5	7
38	то что	5	7
39	и здесь	1	7
40	мы должны	1	7
41	уже не	4	7
42	из них	4	7
43	так как	13	7
44	с другой	2	7
45	другой стороны	1	7
46	там где	2	7
47	этих случаях	4	7
48	предположить что	4	7
49	к этому	5	7
50	то же	4	6
51	мы уже	1	6
52	не все	4	6
53	это не	5	6
54	во время	12	6
55	ничего не	1	6
56	связи с	2	6
57	возможно что	1	6
58	все еще	1	6
59	так в	2	6
60	если бы	1	6
61	в них	4	6
62	что здесь	3	6
63	то и	4	6
64	друг друга	3	6
65	а не	4	6
66	связь с	3	6
67	в течение	2	6
68	а в	9	6
69	с ней	5	6
70	а он	2	5
71	все же	2	5
72	что она	3	5
73	здесь мы	2	5
74	в этой	3	5
75	тем не	2	5
76	не менее	2	5
77	могут быть	2	5
78	живет в	3	5
79	в обряде	6	5
80	к нему	4	5
81	в свете	3	5
82	того что	3	5
83	один из	2	5
84	так что	4	5
85	можно установить	1	5
86	не противоречит	1	5
87	на голову	6	5
88	показывает что	8	5
89	на ней	1	5
90	в некоторых	9	5
91	или по	1	5
92	есть и	1	5
93	этом случае	6	5
94	одним из	2	4
95	мы здесь	2	4
96	в царство	1	4
97	и на	6	4
98	все эти	3	4
99	видели что	4	4
100	отношение к	1	4
101	не в	4	4
102	на этом	3	4
103	и с	10	4
104	не всегда	3	4
105	можно найти	1	4
106	у нас	4	4
107	из земли	4	4
108	как это	4	4
109	но он	3	4
110	дом и	1	4
111	к ней	2	4
112	и его	1	4
113	тем что	3	4
114	что на	2	4
115	она не	3	4
116	в пределах	1	4
117	находится в	1	4
118	в другой	1	4
119	только в	1	4
120	в других	15	4
121	представляют собой	7	4
122	а именно	3	4
123	связано с	2	4
124	в данном	6	4
125	и там	3	4
126	для нас	6	4
127	в свою	1	4
128	не может	5	4
129	и другие	14	4
