N	3gram	Berdyaev_M_1	VerxiiNi
1	вместе с тем	5	8
2	в религиозном сознании	1	7
3	во всяком случае	1	6
4	до сих пор	2	5
5	для того чтобы	2	5
6	о том что	1	4
7	и вместе с	4	4
8	в конце концов	2	3
9	в том что	1	3
10	заключает в себе	3	2
11	не только для	1	2
12	может быть и	1	2
13	по сравнению с	1	2
14	между этими двумя	1	2
15	с одним из	1	2
16	не может не	2	1
17	и есть то	1	1
18	психологической точки зрения	1	1
19	по отношению к	2	1
20	в которых он	1	1
21	и в смысле	1	1
22	имеем в виду	1	1
23	в самом деле	1	1
24	по своему значению	2	1
25	но не имеет	1	1
26	с тем что	3	1
27	не имеет самостоятельного	1	1
28	от нее не	1	1
29	человек должен был	1	1
30	любви к богу	1	1
31	с психологической точки	1	1
32	в отличие от	1	1
33	и в этой	4	1
34	потому что в	3	1
35	не в том	1	1
36	все более и	1	1
37	не только от	1	1
38	когда мы читаем	1	1
39	друг к другу	1	1
40	как бы в	1	1
41	но в конце	1	1
42	не может быть	17	1
43	жизни вместе с	1	1
44	в то время	2	1
45	нет ничего кроме	1	1
46	это и есть	4	1
47	и никогда не	1	1
48	отличается не только	1	1
49	более и более	1	1
50	добра и зла	4	1
51	чтобы не иметь	2	1
52	но и от	1	1
53	и по своим	1	1
54	мы имеем в	1	1
55	тем что в	1	1
56	что и в	1	1
