N	3gram	Trubetskoy_1	DiskursI
1	в том что	7	13
2	по отношению к	1	9
3	о том что	2	5
4	то же время	10	4
5	к тому же	1	4
6	но при этом	1	3
7	той или иной	3	3
8	не может быть	4	3
9	и как бы	1	3
10	в свою очередь	1	3
11	в то же	10	3
12	и того же	1	2
13	в том числе	1	2
14	то же самое	1	2
15	а в том	1	2
16	и не только	1	2
17	тот или иной	1	2
18	том числе и	1	2
19	по крайней мере	1	2
20	в значительной степени	1	2
21	в данном случае	3	2
22	в том чтобы	1	2
23	состоит в том	1	2
24	более или менее	4	2
25	только в том	2	2
26	одного и того	1	2
27	к той или	1	2
28	в этом случае	3	1
29	никогда не было	1	1
30	прежде всего в	1	1
31	дело в том	1	1
32	на самом деле	6	1
33	таком взгляде на	1	1
34	он не может	1	1
35	с точки зрения	9	1
36	до сих пор	5	1
37	и не может	3	1
38	том случае если	3	1
39	том что вся	1	1
40	что он не	2	1
41	только то что	1	1
42	перед нами не	1	1
43	между собой и	1	1
44	в противном случае	1	1
45	вместе с тем	3	1
46	во всех областях	1	1
47	при таком взгляде	1	1
48	таким же образом	2	1
49	к себе и	1	1
50	и т.д эта	1	1
51	и в том	2	1
52	тем что он	1	1
53	еще не было	1	1
54	в этом состоит	1	1
55	они принадлежат к	2	1
56	во всех этих	1	1
57	в том случае	4	1
58	в связи с	1	1
59	в этом направлении	2	1
60	не может ли	1	1
61	существуют во всех	1	1
62	во всяком случае	6	1
63	к мысли что	1	1
64	она могла бы	1	1
65	того или иного	2	1
66	в этом отношении	1	1
67	до известной степени	1	1
68	к чему не	1	1
69	это и есть	1	1
70	ни к чему	2	1
71	с самого начала	1	1
72	заключается в том	1	1
73	речь идет о	1	1
74	несмотря на все	1	1
75	на то что	4	1
76	в полной мере	1	1
77	в другом случае	2	1
78	в результате этого	1	1
79	в том и	2	1
80	и прежде всего	1	1
81	тех или иных	1	1
82	том и в	2	1
83	тем не менее	1	1
84	но все же	1	1
85	в большинстве случаев	2	1
86	что не только	1	1
87	но и к	2	1
88	дальше отстоит от	1	1
89	и в другом	2	1
