N	3gram	Tiupa_Narr_1	Otkroven
1	для того чтобы	3	3
2	в человеке в	1	3
3	никогда не было	1	2
4	а не в	1	2
5	что у него	1	2
6	не может быть	4	2
7	как и все	1	2
8	но и в	2	2
9	о бессмертии души	1	1
10	всех действующих лиц	1	1
11	потому что в	1	1
12	на людей и	1	1
13	в самом деле	2	1
14	так и не	2	1
15	бросается в глаза	1	1
16	все та же	1	1
17	преступление и наказание	1	1
18	в его жизни	1	1
19	и все же	2	1
20	не было и	2	1
21	и не может	1	1
22	во всяком случае	2	1
23	было для него	1	1
24	том случае если	1	1
25	сам по себе	1	1
26	само по себе	1	1
27	он и не	1	1
28	о том что	2	1
29	в этом отношении	3	1
30	и в самом	1	1
31	заключает в себе	2	1
32	в том что	5	1
33	на то что	2	1
34	в том случае	1	1
35	и то что	1	1
36	все что было	1	1
37	друг с другом	1	1
38	что это за	1	1
39	в самом начале	1	1
40	с его собственным	1	1
41	как и в	1	1
