N	2gram	Ircho_Kome_3	VelikijI
1	и не	21	20
2	и в	22	16
3	так как	11	9
4	то что	4	9
5	еще не	6	8
6	в истории	1	8
7	что они	2	7
8	на земле	1	7
9	а не	4	7
10	и потому	1	7
11	человека и	2	6
12	на себя	4	5
13	но и	4	5
14	хотя и	5	5
15	в мире	2	5
16	бога и	1	5
17	все это	5	5
18	как бы	3	5
19	ты не	1	5
20	в образе	2	4
21	говорить о	3	4
22	в его	8	4
23	и я	2	4
24	в этом	8	4
25	что он	8	4
26	потому что	10	4
27	в нем	3	4
28	так и	4	4
29	что все	1	4
30	что не	3	4
31	как и	3	4
32	что мы	2	4
33	в котором	2	4
34	в ней	4	4
35	и все	2	4
36	они будут	2	4
37	все что	3	4
38	от этого	1	3
39	и что	6	3
40	за то	2	3
41	же ты	1	3
42	хотя бы	4	3
43	то это	5	3
44	в чем	1	3
45	с его	3	3
46	во всех	2	3
47	что и	8	3
48	в том	12	3
49	тот же	2	3
50	но в	5	3
51	по этому	1	3
52	все эти	1	3
53	за ним	2	3
54	от которого	1	3
55	в конце	7	3
56	их в	3	3
57	в своей	5	3
58	и мы	3	3
59	ни в	10	3
60	в них	3	3
61	не было	2	3
62	отвращение к	1	3
63	если не	3	3
64	в этих	1	3
65	нет ничего	2	3
66	что я	1	3
67	не в	4	3
68	любовь к	3	3
69	тому что	2	3
70	в средство	1	3
71	не имеет	3	3
72	никогда не	3	3
73	к счастью	1	3
74	превращается в	1	3
75	и для	4	3
76	что ты	2	3
77	к тому	6	3
78	жизни и	1	3
79	что в	5	3
80	и это	2	2
81	того чтобы	6	2
82	от своей	2	2
83	и сам	5	2
84	и т	4	2
85	можно было	2	2
86	его не	2	2
87	мы не	2	2
88	когда в	1	2
89	с ним	5	2
90	и во	2	2
91	между тем	2	2
92	нет и	4	2
93	вслед за	1	2
94	которые не	1	2
95	не с	2	2
96	только в	1	2
97	в себя	1	2
98	третье и	1	2
99	конечно не	3	2
100	не только	5	2
101	ненависти и	1	2
102	все тот	1	2
103	его и	1	2
104	не так	3	2
