N	4gram	Tiupa_Vved_1	Analitik
1	в то же время	3	6
2	не что иное как	1	4
3	мы имеем дело с	2	3
4	состоит в том что	1	3
5	в той или иной	1	3
6	во времени и пространстве	1	3
7	той мере в какой	2	2
8	в том или ином	1	2
9	исходя из того что	1	2
10	одного и того же	1	2
11	в той мере в	2	2
12	геннепа и в тэрнера	1	1
13	в том же году	1	1
14	сколько в том что	1	1
15	сами участвуем как слушатели-читатели	1	1
16	самого рассказывания в этом	1	1
17	собой не что иное	1	1
18	места времени и действия	1	1
19	перед нами два события	1	1
20	одна и та же	1	1
21	и сами участвуем как	1	1
22	мы и сами участвуем	1	1
23	в этнографии терминологией а	1	1
24	субъекта объекта и адресата	1	1
25	в этом последнем мы	1	1
26	последнем мы и сами	1	1
27	с той или иной	1	1
28	не следует смешивать с	1	1
29	о котором рассказано в	1	1
30	мысль о том что	1	1
31	рассказывания в этом последнем	1	1
32	при таком взгляде на	1	1
33	событие о котором рассказано	1	1
34	в науке о литературе	1	1
35	в его событийной полноте	1	1
36	и событие самого рассказывания	1	1
37	этом последнем мы и	1	1
38	представляет собой не что	1	1
39	в том числе и	1	1
40	ван геннепа и в	1	1
41	как по анфиладе комнат	1	1
42	столько в том что	1	1
43	один и тот же	1	1
44	котором рассказано в произведении	1	1
45	пребывания в стране мертвых	1	1
46	умирающего и воскресающего бога	1	1
47	может быть сведена к	1	1
48	терминологией а ван геннепа	1	1
49	не было и не	1	1
50	то же время они	1	1
51	а ван геннепа и	1	1
52	в произведении и событие	1	1
53	событие самого рассказывания в	1	1
54	произведение в его событийной	1	1
55	этнографии терминологией а ван	1	1
56	не столько в том	1	1
57	рассказано в произведении и	1	1
58	произведении и событие самого	1	1
