N	2gram	Potebnia_M_1	Komedia
1	и в	39	22
2	том что	16	12
3	в г	2	11
4	но и	20	11
5	в том	26	11
6	не только	21	10
7	в то	4	10
8	из них	1	10
9	и т	6	9
10	как и	9	9
11	может быть	27	9
12	таким образом	13	8
13	должны были	1	8
14	о том	2	8
15	и его	5	8
16	в одном	8	8
17	и не	18	8
18	едва ли	1	7
19	в этой	3	7
20	и других	4	7
21	то же	6	6
22	и по	6	6
23	не в	15	6
24	в отношении	1	6
25	ни в	1	6
26	одного из	2	6
27	что он	1	6
28	такого рода	1	6
29	к тому	4	6
30	а в	5	6
31	в которой	2	6
32	что в	22	6
33	в истории	7	5
34	как в	10	5
35	то время	1	5
36	на его	1	5
37	при этом	6	5
38	во время	1	5
39	потому что	52	5
40	так и	13	5
41	еще в	1	5
42	и даже	4	5
43	между тем	5	5
44	один из	1	5
45	уже в	1	5
46	в его	5	5
47	прежде всего	4	5
48	т п	4	5
49	о которых	2	5
50	с другой	7	5
51	когда же	1	5
52	все это	1	5
53	другой стороны	5	5
54	по которым	1	4
55	из его	1	4
56	что они	1	4
57	но в	9	4
58	в нем	20	4
59	т д	4	4
60	в другом	1	4
61	известно что	2	4
62	несмотря на	5	4
63	точки зрения	8	4
64	в котором	1	4
65	в их	2	4
66	одном из	1	4
67	так как	21	4
68	как мы	2	4
69	на него	3	4
70	же время	4	4
71	так в	1	4
72	что и	6	4
73	мы можем	2	4
74	тем что	9	4
75	именно в	1	4
76	и опять	1	4
77	в результате	1	4
78	же в	2	4
79	по поводу	3	4
80	к этому	1	4
81	же как	1	3
82	в тех	1	3
83	мы не	10	3
84	и о	2	3
85	и на	1	3
86	в чем	1	3
87	с одной	3	3
88	в этом	15	3
89	все же	6	3
90	хотя и	3	3
91	и как	6	3
92	в целом	2	3
93	на то	2	3
94	да и	1	3
95	он не	3	3
96	и с	3	3
97	его в	1	3
98	в них	3	3
99	на основании	2	3
100	и ее	1	3
101	вопрос о	4	3
102	не менее	6	3
103	однако в	4	3
104	даже в	1	3
105	по отношению	13	3
106	того как	6	3
107	к этим	1	3
108	ничего не	1	3
109	в сознании	3	3
110	этом отношении	1	3
111	с участием	1	3
112	у нас	2	3
113	могут быть	9	3
114	после того	1	3
115	там же	9	3
116	в образе	1	3
117	только в	25	3
118	в виде	1	3
119	в начале	2	3
120	у него	1	3
121	к которому	3	3
122	все более	3	3
123	так же	5	3
124	их к	2	3
125	одной стороны	3	3
126	в течение	2	3
127	не мог	3	3
128	в более	4	3
129	и все	3	3
130	все остальные	4	3
131	отношению к	13	3
132	того же	3	2
133	видеть в	2	2
134	причем и	1	2
135	в сущности	2	2
136	на себя	1	2
137	которые он	1	2
138	столь же	3	2
139	бы то	2	2
140	тем как	3	2
141	за пределы	2	2
142	к сожалению	1	2
143	относится к	3	2
144	независимо от	6	2
145	что к	2	2
146	что касается	1	2
147	что по	3	2
148	было только	2	2
149	в противоположность	1	2
150	этой цели	2	2
151	и хотя	1	2
152	в самом	3	2
153	в известном	1	2
154	в себе	13	2
155	не следует	5	2
156	если они	1	2
157	на этом	1	2
158	то ни	3	2
159	связанные с	1	2
160	на все	2	2
161	было бы	12	2
162	и тем	3	2
163	для них	2	2
164	были в	1	2
165	мы видели	4	2
166	или менее	1	2
167	в следующем	1	2
168	и без	3	2
169	всяком случае	1	2
170	и самого	1	2
171	ни малейшего	2	2
172	но он	2	2
173	тем не	6	2
174	при всем	1	2
175	к ней	2	2
176	на те	1	2
177	по своей	1	2
178	и теперь	1	2
179	как будто	2	2
180	это убеждение	1	2
181	и вероятно	1	2
182	в области	1	2
183	уже о	1	2
184	указывает на	1	2
185	для себя	3	2
186	с ее	2	2
187	всего этого	1	2
188	только при	2	2
189	что у	1	2
190	времени и	2	2
191	из всего	1	2
192	мог бы	2	2
193	для этого	2	2
194	образом в	1	2
195	из других	1	2
196	аналогии с	1	2
197	нас в	1	2
198	затем в	1	2
199	и во	3	2
200	от них	1	2
201	еще не	6	2
202	время когда	1	2
203	для всех	5	2
204	могли быть	1	2
205	вовсе не	5	2
206	в других	2	2
207	со стороны	8	2
208	до сих	1	2
209	вслед за	1	2
210	еще и	1	2
211	и притом	4	2
212	то и	7	2
213	чем когда	1	2
214	не может	22	2
215	вместе с	8	2
216	за тем	2	2
217	или по	1	2
218	но не	8	2
219	говоря уже	1	2
220	в состоянии	3	2
221	их было	1	2
222	и формы	1	2
223	к нему	1	2
224	сих пор	1	2
225	но это	5	2
226	и таким	1	2
227	между прочим	2	2
228	и дают	1	2
229	об отношении	3	2
230	или в	2	2
231	видно из	1	2
232	как теперь	1	2
233	указания на	2	2
234	будто бы	1	2
235	только что	2	2
236	ни было	2	2
237	то что	10	2
238	не говоря	1	2
239	в свою	4	2
240	по одному	1	2
241	в действительности	4	2
242	где он	1	2
243	в своих	4	2
244	во всяком	3	2
245	все что	2	2
246	а между	3	1
247	в применении	2	1
248	чтобы не	2	1
249	переходит к	1	1
250	сам по	1	1
251	на самом	1	1
252	не что	2	1
253	по времени	2	1
254	такое же	1	1
255	отношений в	1	1
256	своего выражения	1	1
257	тем же	2	1
258	и всем	1	1
259	и естественное	1	1
260	об исторической	1	1
261	в основании	3	1
262	высшей степени	1	1
263	в действие	1	1
264	объясняется и	1	1
265	в зависимости	1	1
266	вырастают из	1	1
267	уже по	1	1
268	по его	7	1
269	одним из	2	1
270	той же	3	1
271	которым он	1	1
272	по мнению	3	1
273	из своих	1	1
274	духовной и	1	1
275	совпадает с	1	1
276	что иное	2	1
277	чисто внешней	1	1
278	средств к	1	1
279	из того	2	1
280	ему в	1	1
281	то это	5	1
282	похожи на	1	1
283	и различных	1	1
284	зависимости от	1	1
285	в мире	3	1
286	вопросы о	1	1
287	в ней	7	1
288	проявляется в	2	1
289	свидетельствует что	1	1
290	с двумя	1	1
291	иное как	2	1
292	не найдем	1	1
293	прибавляет к	1	1
294	а только	4	1
295	служит для	2	1
296	во всех	5	1
297	общих чертах	1	1
298	других источников	1	1
299	он может	1	1
300	друг на	1	1
301	своем сочинении	1	1
302	не все	2	1
303	то совсем	1	1
304	ответ на	1	1
305	есть по	1	1
306	очевидно что	3	1
307	а и	1	1
308	что во	2	1
309	каждая из	1	1
310	с этим	7	1
311	для создания	1	1
312	дает нам	1	1
313	в своем	3	1
314	в полном	2	1
315	смысле этого	1	1
316	когда он	1	1
