N	2gram	Losev_Dial_3	Komedia
1	и в	24	22
2	т е	48	13
3	том что	8	12
4	но и	9	11
5	в том	5	11
6	не только	23	10
7	в то	5	10
8	из них	3	10
9	и т	24	9
10	как и	7	9
11	может быть	13	9
12	таким образом	13	8
13	о том	6	8
14	и его	5	8
15	в одном	1	8
16	и не	27	8
17	едва ли	1	7
18	то же	6	6
19	тому же	2	6
20	и по	2	6
21	не в	3	6
22	в отношении	1	6
23	ни в	9	6
24	что он	13	6
25	к тому	4	6
26	а в	2	6
27	в которой	1	6
28	что в	7	6
29	в истории	4	5
30	то время	4	5
31	при этом	2	5
32	во время	1	5
33	потому что	7	5
34	так и	5	5
35	и даже	13	5
36	в его	2	5
37	прежде всего	8	5
38	с другой	4	5
39	нового времени	2	5
40	все это	6	5
41	другой стороны	2	5
42	по которым	1	4
43	время как	4	4
44	но в	2	4
45	в нем	3	4
46	т д	23	4
47	и вот	2	4
48	известно что	1	4
49	несмотря на	2	4
50	точки зрения	25	4
51	в котором	1	4
52	в их	2	4
53	одном из	1	4
54	так как	6	4
55	как мы	2	4
56	на него	1	4
57	же время	3	4
58	так в	2	4
59	ясно что	7	4
60	что и	6	4
61	в качестве	1	4
62	мы можем	1	4
63	тем что	3	4
64	именно в	2	4
65	обвинения в	1	4
66	в результате	1	4
67	же в	2	4
68	новое время	1	3
69	речь идет	1	3
70	же как	2	3
71	идет о	1	3
72	мы не	5	3
73	и о	3	3
74	и на	3	3
75	в чем	4	3
76	с одной	3	3
77	в этом	8	3
78	все же	3	3
79	хотя и	5	3
80	и как	8	3
81	на то	3	3
82	да и	1	3
83	он не	5	3
84	и с	6	3
85	его в	1	3
86	чаще всего	2	3
87	в них	5	3
88	на основании	2	3
89	и ее	3	3
90	место в	1	3
91	вопрос о	5	3
92	не менее	11	3
93	даже в	1	3
94	того как	1	3
95	казалось бы	1	3
96	ничего не	17	3
97	этом отношении	1	3
98	у нас	4	3
99	могут быть	2	3
100	и сам	1	3
101	в частности	2	3
102	тот же	1	3
103	одной из	1	3
104	только в	5	3
105	и у	2	3
106	в виде	8	3
107	у него	2	3
108	каждый из	1	3
109	как раз	7	3
110	в свои	1	3
111	к которому	1	3
112	так же	4	3
113	как это	5	3
114	по своему	1	3
115	одной стороны	3	3
116	в течение	1	3
117	не мог	1	3
118	здесь в	1	3
119	всего в	1	3
120	и все	6	3
121	это однако	1	2
122	ту же	1	2
123	в сущности	10	2
124	на себя	3	2
125	слова о	1	2
126	которую можно	1	2
127	он был	1	2
128	бы то	2	2
129	за пределы	3	2
130	чем же	1	2
131	независимо от	1	2
132	что к	1	2
133	со своей	1	2
134	в самом	7	2
135	право на	1	2
136	в себе	2	2
137	только один	1	2
138	не к	1	2
139	в силу	3	2
140	на этом	2	2
141	то ни	1	2
142	было бы	5	2
143	и тем	2	2
144	такой же	1	2
145	или менее	1	2
