N	2gram	Vygotskiy__1	Mirosoze
1	может быть	22	30
2	не только	13	29
3	и в	31	28
4	не может	17	28
5	но и	2	25
6	а не	13	25
7	он не	3	24
8	в этом	12	20
9	не было	3	18
10	у него	4	17
11	не в	11	16
12	потому что	10	16
13	в ней	1	15
14	в своей	3	15
15	человека и	2	14
16	и есть	5	14
17	никогда не	8	14
18	до конца	6	14
19	человека в	1	13
20	в нем	2	13
21	и это	3	12
22	в самом	11	11
23	для него	1	11
24	и не	16	11
25	в своем	3	10
26	в творчестве	1	10
27	человек не	1	10
28	было бы	6	10
29	что в	23	10
30	в мире	1	10
31	прежде всего	4	10
32	что он	7	10
33	был бы	5	10
34	и потому	2	10
35	и все	5	10
36	те которые	1	9
37	с тем	3	9
38	и его	7	9
39	не есть	3	9
40	в его	6	9
41	из самых	1	8
42	в котором	4	8
43	но не	3	8
44	но в	3	7
45	в себе	4	7
46	быть может	1	7
47	в конце	3	7
48	к нему	2	7
49	того что	10	7
50	должна быть	3	6
51	и на	1	6
52	в которой	4	6
53	в этой	3	6
54	ведет к	1	6
55	все в	1	6
56	только в	14	6
57	он уже	1	6
58	вместе с	8	6
59	все это	8	6
60	в том	30	6
61	нет и	1	5
62	это не	1	5
63	как и	16	5
64	что есть	2	5
65	у нас	4	5
66	не могут	3	5
67	то что	32	5
68	смысле слова	3	4
69	или к	1	4
70	это и	3	4
71	и этот	1	4
72	есть не	2	4
73	отношение к	2	4
74	за пределы	1	4
75	духа и	1	4
76	увидим что	2	4
77	привести к	1	4
78	не к	1	4
79	и по	3	4
80	в них	2	4
81	в этих	4	4
82	точки зрения	15	4
83	в их	1	4
84	в которых	3	4
85	она не	5	4
86	что и	13	4
87	один из	4	4
88	уже не	2	4
89	уже в	3	4
90	а в	6	4
91	и вместе	2	4
92	человек есть	1	4
93	и там	2	4
94	с этой	4	4
95	от него	2	4
96	человека не	3	4
97	его не	2	3
98	не была	1	3
99	с его	1	3
100	с этим	3	3
101	когда он	2	3
102	бы и	2	3
103	когда человек	1	3
104	идей и	1	3
105	и еще	1	3
106	и вот	3	3
107	заключает в	1	3
108	и с	2	3
109	то есть	26	3
110	его в	2	3
111	в жизни	2	3
112	том что	16	3
113	но если	1	3
114	ничего не	2	3
115	к тому	4	3
116	которая есть	1	3
117	в ее	5	3
118	особенно в	1	3
119	учение о	1	3
120	только и	1	3
121	начинается в	1	3
122	в него	2	3
123	конечно не	1	3
124	одно из	2	3
125	не так	1	3
126	и их	2	3
127	так как	18	3
128	не хотел	1	3
129	что человек	1	3
130	себя и	2	3
131	я хочу	1	3
132	о себе	1	3
133	это есть	5	3
134	должно быть	1	3
135	он должен	1	3
136	потому не	3	3
137	для нас	5	3
138	хотя бы	1	3
139	будто бы	2	3
140	в свете	1	3
141	мы увидим	4	3
142	от природы	1	3
143	с новыми	1	2
144	связана с	1	2
145	он хотел	1	2
146	к чему	2	2
147	а как	1	2
148	вопрос о	3	2
149	который был	1	2
150	время как	5	2
151	в виду	4	2
152	литературы и	1	2
153	человеку и	1	2
154	относится к	1	2
155	т е	3	2
156	в центре	1	2
157	как в	9	2
158	все же	5	2
159	на человека	1	2
160	и как	2	2
161	и к	3	2
162	человеческое общество	1	2
163	за собой	1	2
164	и у	4	2
165	приводит к	2	2
166	с их	1	2
167	только один	1	2
168	как он	2	2
169	если бы	6	2
170	людей и	1	2
171	тому чтобы	3	2
172	этом он	1	2
173	и мы	1	2
174	чем в	1	2
175	прийти к	1	2
176	начинает с	2	2
177	оказывается что	5	2
178	мысли и	2	2
179	сих пор	3	2
180	природу и	1	2
181	с которой	1	2
182	в то	5	2
183	в основе	2	2
184	того чтобы	7	2
185	не принадлежит	1	2
186	в каком	2	2
187	когда мы	3	2
188	есть только	2	2
189	могут быть	11	2
190	отличается от	2	2
191	его с	1	2
192	как для	1	2
193	он никогда	1	2
194	должен быть	1	2
