N	4gram	Bakhtin_Pr_2	Myshleni
1	в то время как	1	4
2	в той мере в	1	3
3	одного и того же	1	3
4	подобно тому как в	1	3
5	по самой своей природе	1	2
6	той мере в какой	1	2
7	совершенно так же как	2	1
8	мы имеем в виду	2	1
9	по отношению к ним	1	1
10	мере в какой мы	1	1
11	в том числе и	2	1
12	по самой природе своей	1	1
13	какое огромное значение имеет	1	1
14	с интересующей нас точки	1	1
15	мы постараемся показать что	1	1
16	интересующей нас точки зрения	1	1
17	так же как и	2	1
18	только в той мере	1	1
19	одной и той же	1	1
