N	3gram	Losev_Vlad_3	Vvedenie
1	для того чтобы	1	20
2	в том что	10	12
3	о том что	8	12
4	в этом смысле	3	8
5	не может быть	6	8
6	тем не менее	9	8
7	до сих пор	1	6
8	в самом деле	1	6
9	то же время	2	6
10	в то же	3	6
11	с другой стороны	2	5
12	что иное как	1	4
13	в этом случае	1	4
14	в этом отношении	2	4
15	можно было бы	1	4
16	в данном случае	2	4
17	не только в	1	4
18	и в этом	5	4
19	так или иначе	2	4
20	во всяком случае	3	4
21	само по себе	3	4
22	не что иное	1	4
23	с одной стороны	3	4
24	также и в	2	3
25	одной стороны и	2	3
26	в строгом смысле	1	3
27	с тем что	1	3
28	вместе с тем	6	3
29	и тем не	1	3
30	вопрос о том	1	3
31	в известном смысле	1	3
32	и в том	2	3
33	заключается в том	1	3
34	сама по себе	1	3
35	как мы видели	3	3
36	потому что он	1	2
37	вовсе не только	1	2
38	что несмотря на	2	2
39	что в этом	2	2
40	дело в том	5	2
41	не говоря уже	1	2
42	то же самое	1	2
43	что же касается	5	2
44	как будто бы	1	2
45	что она была	1	2
46	как об этом	1	2
47	с точки зрения	6	2
48	хотя бы и	3	2
49	представить себе что	1	2
50	что в нем	1	2
51	точно так же	4	2
52	может быть и	1	2
53	в данном отношении	1	2
54	в конце концов	5	2
55	в существенном смысле	2	2
56	второй половины xix	1	2
57	чтобы можно было	1	2
58	или иначе но	1	2
59	в связи с	2	2
60	но вместе с	1	2
61	а также и	6	2
62	а так как	1	2
63	по этому поводу	1	2
64	мы уже знаем	1	2
65	той или иной	1	2
66	не могут привести	1	1
67	не может не	1	1
68	в этом учении	1	1
69	сказать что в	1	1
70	потому что в	1	1
71	мы имеем право	1	1
72	более или менее	5	1
73	а есть только	1	1
74	в настоящее время	3	1
75	в том же	1	1
76	он мог бы	1	1
77	в своей специальной	1	1
78	как это было	1	1
79	в таком случае	2	1
80	брокгауза и ефрона	1	1
81	сам по себе	2	1
82	в отличие от	3	1
83	также и то	3	1
84	и в дальнейшем	1	1
85	каждой из этих	1	1
86	только в том	3	1
87	только то что	1	1
88	и это есть	1	1
89	отчет в том	1	1
90	себе полный отчет	1	1
91	каждое из этих	1	1
92	нечего и говорить	1	1
93	с этой точки	1	1
94	и не в	1	1
95	и можно было	1	1
96	и то что	4	1
97	и об отношении	1	1
98	одно и то	1	1
99	все то что	1	1
100	так а не	1	1
101	большой сложностью и	1	1
102	на эту тему	1	1
103	так же как	2	1
104	а не только	2	1
105	в своем понимании	1	1
106	первой по времени	1	1
107	себе отчет в	2	1
108	то ни было	1	1
109	именно в этой	1	1
110	в самом процессе	1	1
111	как на нечто	1	1
112	в его время	1	1
113	и то же	1	1
114	и потому что	2	1
115	все это у	1	1
116	не иначе как	1	1
117	в духе этого	1	1
118	притом не только	1	1
119	но уже в	1	1
120	какой бы то	1	1
121	то более то	1	1
122	еще и потому	2	1
123	бы то ни	3	1
124	более то менее	1	1
125	хотя бы на	1	1
126	в одно целое	1	1
127	лишь в том	1	1
128	тем что в	1	1
129	потому что они	1	1
130	на вопрос что	1	1
131	этой точки зрения	1	1
132	не мог не	1	1
133	у него в	4	1
134	имел в виду	1	1
135	здесь не может	1	1
136	не только с	1	1
137	с самого начала	1	1
138	не соглашаться с	1	1
139	а не иначе	1	1
140	что это есть	2	1
141	так как в	1	1
142	в каждой из	1	1
143	что отличало бы	1	1
144	уже не только	1	1
145	к тому что	2	1
146	истории и в	1	1
147	по вопросу о	1	1
148	в сравнении с	2	1
149	быть и не	1	1
150	и в результате	1	1
151	это было у	1	1
152	как мы знаем	2	1
153	такой точки зрения	1	1
