N	3gram	Bakhtin_KF_1	Komedia
1	в том что	2	9
2	то же время	2	4
3	в то же	2	4
4	по отношению к	22	3
5	во второй половине	1	2
6	то же самое	1	2
7	то ни было	2	2
8	бы то ни	2	2
9	во всяком случае	1	2
10	на то что	1	2
11	но прежде всего	1	1
12	но ни в	1	1
13	до конца в	1	1
14	время от времени	1	1
15	мы ничего не	1	1
16	он может быть	2	1
17	в соответствии с	2	1
18	в том же	1	1
19	в зависимости от	1	1
20	вместе с тем	1	1
21	в чем не	4	1
22	независимо от того	1	1
23	со всех сторон	1	1
24	в значительной степени	1	1
25	включая сюда и	2	1
26	именно в этой	1	1
27	смысле этого слова	1	1
28	во всех отношениях	2	1
29	в одном случае	1	1
30	за собой и	1	1
31	мы не найдем	1	1
32	ни было и	1	1
33	ни в чем	4	1
34	до конца и	1	1
35	в другом случае	1	1
36	в большинстве случаев	1	1
37	него самого и	1	1
38	к тому что	1	1
39	тем не менее	2	1
40	для того чтобы	1	1
41	как единственного и	1	1
42	может быть в	3	1
43	и тот же	1	1
44	поэтому он не	1	1
