N	3gram	Tiupa_Hudo_2	KulturaY
1	и т п	2	18
2	для того чтобы	3	15
3	в том что	11	15
4	и т д	2	14
5	с точки зрения	2	9
6	по отношению к	7	8
7	в самом деле	3	7
8	с другой стороны	1	6
9	о том что	7	5
10	в этом отношении	1	5
11	до сих пор	2	4
12	тем не менее	3	4
13	состоит в том	2	3
14	в соответствии с	3	3
15	о том как	2	3
16	того или иного	2	3
17	только в том	2	3
18	можно было бы	2	3
19	а с другой	1	3
20	не может быть	3	3
21	сводится к тому	1	2
22	так или иначе	1	2
23	в этом случае	1	2
24	а в том	1	2
25	то же время	4	2
26	заключается в том	1	2
27	хотя бы и	2	2
28	и в самом	1	2
29	но все же	1	2
30	в то же	4	2
31	к тому что	4	2
32	том что она	2	1
33	как это часто	1	1
34	на том что	1	1
35	как например в	1	1
36	в ней все	1	1
37	всего тем что	1	1
38	это было бы	1	1
39	в настоящее время	1	1
40	это уже не	1	1
41	боялся как бы	1	1
42	так и не	4	1
43	с одной стороны	3	1
44	как раз и	1	1
45	том случае если	1	1
46	и в то	2	1
47	он видел ее	1	1
48	только для того	1	1
49	при этом что	1	1
50	можно сказать на	1	1
51	не то что	1	1
52	в том случае	1	1
53	в это время	1	1
54	тогда как в	2	1
55	в конечном итоге	1	1
56	едва ли не	1	1
57	в первом случае	1	1
58	не только в	2	1
59	чтобы ответить на	1	1
60	та или иная	1	1
61	как одно из	1	1
62	на улице и	1	1
63	бы уже не	1	1
64	так же как	2	1
65	об этом и	1	1
66	что несмотря на	1	1
67	и все же	1	1
68	как и всякая	1	1
69	между тем как	1	1
70	но с другой	1	1
71	на наших глазах	1	1
72	не сказал бы	1	1
73	в соединении с	1	1
74	лишь в том	1	1
75	с ним было	1	1
76	берет на себя	1	1
77	а всего лишь	2	1
78	той или иной	1	1
79	друг от друга	1	1
80	после того как	1	1
81	только о том	1	1
82	того факта что	1	1
83	точно так же	1	1
84	что и в	1	1
85	но еще и	2	1
86	тот или иной	1	1
