N	3gram	Medvedev_F_2	Istorich
1	и т д	5	22
2	не может быть	10	7
3	тем не менее	1	6
4	более или менее	1	5
5	с другой стороны	3	5
6	до сих пор	1	5
7	в большинстве случаев	3	4
8	с одной стороны	1	4
9	в том что	2	4
10	в связи с	10	3
11	но все же	2	3
12	в зависимости от	3	2
13	бы то ни	1	2
14	но и в	3	2
15	на этот вопрос	1	2
16	вместе с тем	4	2
17	таким образом мы	1	2
18	в отличие от	2	2
19	все же не	1	2
20	как мы увидим	1	2
21	один и тот	1	2
22	мы не можем	1	2
23	большей или меньшей	1	2
24	с самого начала	2	2
25	по этому поводу	1	2
26	именно так и	1	2
27	и тот же	1	2
28	и в конце	1	1
29	к тому чтобы	2	1
30	и глубже чем	1	1
31	сводится к тому	1	1
32	и здесь не	1	1
33	все дело в	1	1
34	иметь в виду	1	1
35	и пр то	1	1
36	прежде всего в	2	1
37	все же сами	1	1
38	равно как и	1	1
39	не говоря уже	1	1
40	т е то	1	1
41	и в особенности	1	1
42	и др но	1	1
43	в этом смысле	2	1
44	материал должен быть	1	1
45	влечет за собой	1	1
46	в этом случае	1	1
47	не было и	2	1
48	и в какой	2	1
49	не типична для	1	1
50	это приводит к	2	1
51	как один из	1	1
52	сами по себе	2	1
53	можно говорить о	1	1
54	но оно не	1	1
55	некоторые изменения и	1	1
56	только то что	1	1
57	но они не	1	1
58	но он не	1	1
59	один из возможных	1	1
60	и т п	9	1
61	только тем что	1	1
62	в противном случае	1	1
63	говоря уже о	1	1
64	является не чем	1	1
65	в том случае	2	1
66	возникает вопрос о	1	1
67	может быть понят	1	1
68	при таком положении	1	1
69	в значительной степени	3	1
70	и многие другие	1	1
71	не чем иным	1	1
72	это может быть	1	1
73	каждый из этих	1	1
74	в том чтобы	1	1
75	но в то	1	1
76	то что уже	1	1
77	в том как	1	1
78	и должно было	1	1
79	это не так	1	1
80	а не как	1	1
81	в большей или	1	1
82	не в том	3	1
83	не могут быть	4	1
84	но и с	1	1
85	должен был быть	1	1
86	мы не найдем	1	1
87	очень близки к	1	1
88	что они не	1	1
89	в своем развитии	1	1
90	есть не что	1	1
91	только в связи	1	1
92	таким образом в	1	1
93	чем иным как	1	1
94	в этих работах	1	1
95	именно из этого	1	1
96	того или иного	4	1
97	в сторону от	1	1
98	хотя бы в	3	1
99	мы знаем что	1	1
100	что иное как	1	1
101	смысле этого слова	1	1
102	мы обратимся к	1	1
103	к тому что	2	1
104	не что иное	1	1
105	и в этом	5	1
106	для того чтобы	3	1
107	что и в	1	1
108	по себе а	2	1
109	но тем не	1	1
110	в этом отношении	7	1
111	до известной степени	3	1
