N	3gram	Medvedev_F_1	Analitik
1	в том что	1	7
2	по отношению к	4	7
3	так и не	1	5
4	с другой стороны	1	5
5	в свою очередь	6	4
6	всех без исключения	1	3
7	в данном случае	1	3
8	то же время	8	3
9	не только не	2	3
10	в то же	8	3
11	в этом отношении	1	3
12	с точки зрения	13	2
13	в отличие от	1	2
14	тот или иной	1	2
15	с одной стороны	4	2
16	сама по себе	2	2
17	тем не менее	1	2
18	во всяком случае	4	2
19	по своей природе	1	1
20	и может быть	1	1
21	не могла не	1	1
22	не говоря уже	1	1
23	на самом деле	6	1
24	в этом смысле	1	1
25	к роману как	1	1
26	и свою собственную	1	1
27	как если бы	2	1
28	до сих пор	6	1
29	искусства так и	1	1
30	говоря уже о	1	1
31	в зависимости от	2	1
32	хотя бы и	1	1
33	между тем как	1	1
34	может и не	1	1
35	и без остатка	1	1
36	со всех сторон	1	1
37	в самом начале	1	1
38	в том чтобы	2	1
39	и на всю	1	1
40	входит в состав	1	1
41	так и в	4	1
42	не столько в	1	1
43	в применении к	2	1
44	в предыдущей части	1	1
45	и как бы	1	1
46	а не как	1	1
47	так или иначе	1	1
48	в связи с	2	1
49	так и на	1	1
50	того или иного	2	1
51	не может быть	5	1
52	отнюдь не является	1	1
53	как бы ни	3	1
54	с этой стороны	1	1
55	и вступает в	1	1
56	в этой роли	1	1
57	до тех пор	1	1
58	друг от друга	2	1
59	заключается в том	1	1
60	в большинстве случаев	2	1
61	не сводится к	2	1
62	произведения в его	1	1
63	и не должно	1	1
64	этого целого в	1	1
65	произведение искусства является	1	1
66	в иные моменты	1	1
67	что и в	1	1
68	в отдельности и	1	1
