N	3gram	Tiupa_Teor_1	Sovremen
1	с точки зрения	3	5
2	не может быть	4	4
3	тем не менее	3	2
4	в отличие от	6	2
5	в свою очередь	2	2
6	может быть и	2	2
7	то же самое	1	2
8	каждая из этих	1	1
9	точки зрения и	1	1
10	что иное как	1	1
11	в известном смысле	1	1
12	по крайней мере	1	1
13	не могут быть	2	1
14	в одном случае	1	1
15	две половины и	1	1
16	в связи с	1	1
17	дело в том	1	1
18	по отношению к	4	1
19	в этом смысле	2	1
20	так же как	1	1
21	смысле можно говорить	1	1
22	то же время	5	1
23	тот или иной	2	1
24	и в то	1	1
25	ему принадлежит только	1	1
26	есть не что	1	1
27	бы то ни	1	1
28	ведь это не	1	1
29	существенно отличается от	1	1
30	в конечном счете	6	1
31	заключает в себе	1	1
32	на две половины	1	1
33	той или иной	1	1
34	заключать в себе	1	1
35	мы говорим о	1	1
36	в том случае	1	1
37	в то же	5	1
38	из этих двух	1	1
39	не что иное	1	1
40	между ним и	1	1
41	в том что	8	1
42	в данном случае	5	1
43	этом смысле можно	1	1
44	той же природы	1	1
45	то ни было	1	1
46	с одной стороны	2	1
