N	3gram	Vygotskiy__3	Morfolog
1	в этом случае	1	9
2	в связи с	5	8
3	не может быть	2	8
4	подобно тому как	1	5
5	связи с этим	1	5
6	по отношению к	2	4
7	мы увидим ниже	1	4
8	с точки зрения	1	4
9	тем не менее	5	4
10	с другой стороны	3	4
11	как и в	2	3
12	независимо от того	3	3
13	не могут быть	1	3
14	как мы увидим	2	3
15	с одной стороны	5	2
16	этих случаях нет	1	2
17	с этого момента	1	2
18	прежде всего следует	1	2
19	для того чтобы	7	2
20	вне связи с	1	2
21	в том что	17	2
22	состоит в том	3	2
23	в то время	4	2
24	более или менее	1	2
25	мы не сумеем	1	2
26	точно так же	1	2
27	в собственном смысле	6	2
28	собственном смысле слова	2	2
29	то время как	4	2
30	с самого начала	6	1
31	таким образом что	2	1
32	вслед за этим	1	1
33	вовсе не необходимо	1	1
34	и в качестве	1	1
35	это значит что	4	1
36	из них не	1	1
37	о том как	1	1
38	вывод который можно	1	1
39	бы то ни	1	1
40	друг с другом	5	1
41	и здесь этот	1	1
42	из которых каждый	2	1
43	то мы увидим	1	1
44	является то что	4	1
45	с этим мы	1	1
46	то что они	1	1
47	здесь как и	1	1
48	видим таким образом	1	1
49	всех этих случаях	1	1
50	это нисколько не	1	1
51	со всеми другими	1	1
52	мы должны будем	1	1
53	двух точек зрения	1	1
54	к тому что	1	1
55	самого начала в	1	1
56	все же в	2	1
57	во всех этих	1	1
58	о том что	3	1
59	по своему строению	2	1
60	ни одна из	1	1
61	мы имели возможность	4	1
62	что там где	1	1
63	и что следовательно	1	1
64	могло бы быть	1	1
65	можно было бы	5	1
66	но это нисколько	1	1
67	которые не могут	1	1
68	на то что	3	1
69	не что иное	1	1
70	не представляет собой	1	1
71	той или иной	2	1
72	мы видим таким	1	1
73	друг к другу	1	1
74	есть не что	1	1
75	для решения задачи	2	1
76	что эти формы	1	1
77	перед нами в	1	1
78	самая постановка вопроса	1	1
79	и как они	1	1
80	что иное как	1	1
81	в какой степени	1	1
82	так и здесь	1	1
83	от того как	2	1
84	один из них	1	1
85	в применении к	1	1
86	все более и	1	1
87	могут рассматриваться как	1	1
88	совершенно иное чем	1	1
89	во всяком случае	4	1
90	если бы мы	1	1
91	что и в	5	1
92	в данном случае	1	1
93	более и более	1	1
94	до сих пор	1	1
